r,K-Cl,Mg-Cl
Distance (Å),G(r),G(r)
0.026250,0.00000000,0.00000000
0.078750,0.00000000,0.00000000
0.131250,0.00000000,0.00000000
0.183750,0.00000000,0.00000000
0.236250,0.00000000,0.00000000
0.288750,0.00000000,0.00000000
0.341250,0.00000000,0.00000000
0.393750,0.00000000,0.00000000
0.446250,0.00000000,0.00000000
0.498750,0.00000000,0.00000000
0.551250,0.00000000,0.00000000
0.603750,0.00000000,0.00000000
0.656250,0.00000000,0.00000000
0.708750,0.00000000,0.00000000
0.761250,0.00000000,0.00000000
0.813750,0.00000000,0.00000000
0.866250,0.00000000,0.00000000
0.918750,0.00000000,0.00000000
0.971250,0.00000000,0.00000000
1.023750,0.00000000,0.00000000
1.076250,0.00000000,0.00000000
1.128750,0.00000000,0.00000000
1.181250,0.00000000,0.00000000
1.233750,0.00000000,0.00000000
1.286250,0.00000000,0.00000000
1.338750,0.00000000,0.00000000
1.391250,0.00000000,0.00000000
1.443750,0.00000000,0.00000000
1.496250,0.00000000,0.00000000
1.548750,0.00000000,0.00000000
1.601250,0.00000000,0.00000000
1.653750,0.00000000,0.00000000
1.706250,0.00000000,0.00009756
1.758750,0.00000000,0.00036730
1.811250,0.00000000,0.00034632
1.863750,0.00000000,0.00049063
1.916250,0.00000000,0.00023206
1.968750,0.00000000,0.00051297
2.021250,0.00000000,0.00146002
2.073750,0.00000000,0.01334193
2.126250,0.00000000,0.07721549
2.178750,0.00011967,0.28500209
2.231250,0.00005705,0.64242904
2.283750,0.00016338,1.02844489
2.336250,0.00015612,1.20730122
2.388750,0.00024889,1.12963024
2.441250,0.00052427,0.90994146
2.493750,0.00137026,0.65187789
2.546250,0.00477543,0.43811267
2.598750,0.01497302,0.29247866
2.651250,0.04146055,0.18503691
2.703750,0.09045644,0.12371707
2.756250,0.17016088,0.08700602
2.808750,0.27295491,0.06092069
2.861250,0.39754678,0.04572934
2.913750,0.52467256,0.03583244
2.966250,0.62141904,0.03002337
3.018750,0.70366466,0.02481139
3.071250,0.72829680,0.02312723
3.123750,0.75088943,0.02066802
3.176250,0.74831814,0.01886422
3.228750,0.72251889,0.01877345
3.281250,0.68557465,0.01817752
3.333750,0.64184001,0.01771175
3.386250,0.59068210,0.01840540
3.438750,0.54609655,0.01926496
3.491250,0.49835910,0.01878314
3.543750,0.45432076,0.01988191
3.596250,0.40858154,0.02040382
3.648750,0.37126304,0.02351198
3.701250,0.33845356,0.02517201
3.753750,0.30482176,0.02713380
3.806250,0.27433519,0.02658652
3.858750,0.25310965,0.02928274
3.911250,0.22885082,0.03030301
3.963750,0.21020935,0.03163898
4.016250,0.19245801,0.03345871
4.068750,0.17808638,0.03675316
4.121250,0.16784178,0.04000375
4.173750,0.15893356,0.04216705
4.226250,0.15163797,0.04511767
4.278750,0.14060087,0.04615842
4.331250,0.13580490,0.05101201
4.383750,0.13496614,0.05495610
4.436250,0.13063595,0.05538064
4.488750,0.12747116,0.05942170
4.541250,0.12746092,0.06152669
4.593750,0.12091639,0.06613184
4.646250,0.12194935,0.06789585
4.698750,0.12293194,0.07254979
4.751250,0.12348923,0.07747333
4.803750,0.12414065,0.08089761
4.856250,0.12578307,0.08244616
4.908750,0.12673779,0.08659807
4.961250,0.12993219,0.09181461
5.013750,0.13258151,0.09705470
5.066250,0.13704146,0.10187086
5.118750,0.13923168,0.10462704
5.171250,0.14510785,0.10977892
5.223750,0.14923229,0.11340239
5.276250,0.15275651,0.11871767
5.328750,0.16096522,0.12489286
5.381250,0.16872799,0.12809832
5.433750,0.17054374,0.13209998
5.486250,0.18102669,0.13904950
5.538750,0.18886120,0.13892601
5.591250,0.19763390,0.14537010
5.643750,0.20805554,0.14634342
5.696250,0.21157423,0.14918227
5.748750,0.22453105,0.15066437
5.801250,0.23064766,0.14893728
5.853750,0.24324912,0.15243691
5.906250,0.25115823,0.14916084
5.958750,0.25690406,0.14656805
6.011250,0.26873973,0.14706913
6.063750,0.27600343,0.14408545
6.116250,0.27974447,0.14326266
6.168750,0.28572977,0.14106594
6.221250,0.28810539,0.13662550
6.273750,0.29075873,0.13664341
6.326250,0.29384538,0.12928886
6.378750,0.29503915,0.12868434
6.431250,0.29726064,0.12596700
6.483750,0.29752715,0.12516507
6.536250,0.29364446,0.11936601
6.588750,0.29400222,0.12083459
6.641250,0.29106614,0.11795281
6.693750,0.28802082,0.11623029
6.746250,0.28606448,0.11465923
6.798750,0.28270827,0.11480032
6.851250,0.27873713,0.11371334
6.903750,0.27574760,0.11120971
6.956250,0.27135455,0.11149805
7.008750,0.26656439,0.10923833
7.061250,0.26317366,0.10942593
7.113750,0.25806303,0.10939404
7.166250,0.25327802,0.10805704
7.218750,0.25027241,0.10763029
7.271250,0.24687022,0.10715619
7.323750,0.24454042,0.10630858
7.376250,0.23817432,0.10846041
