formula,molecularWeight,comp,melt,melt_unc,melt_ref,boil,boil_unc,boil_ref,rho_a,rho_b,rho_range,rho_unc,rho_ref,mu_a,mu_b,mu_a2,mu_b2,mu_c,mu_range,mu_unc,mu_ref,k_a,k_b,k_range,k_unc,k_ref,cp_a,cp_b,cp_c,cp_d,cp_unc,cp_ref,sigma_a,sigma_b,sigma_range,sigma_unc,sigma_ref
AlCl3,133.3405,Pure Salt,465^,----,"Kelley, K.K. Contributions to the Data on Theoretical Metallurgy: [Part] 3. The Free Energies of Vaporization and Vapor Pressures of Inorganic Substances. U.S. Department of the Interior, Bureau of Mines. 1935.",453s,----,"Janz, G. J. Molten Salts Handbook; Elsevier: New York, 1967. https://doi.org/10.1016/B978-0-123-95642-2.X5001-1.",2.56E+00,2.71E-03,462-569,1,"King, L. A.; Seegmiller, D. W. Liquid and vapor densities of aluminum chloride. J. Chem. Eng. Data 1971, 16 (1), 23-26.",2.28E-03,1.94E+04,----,----,----,469-559,1,"Brockner, W.; Torklep, K.; Oye, H.A. Viscosity of Aluminium Chloride and Acidic Sodium Chloroaluminate Melts. Berichte der Bunsengesellschaft for Phys. Chemie 1979b, 83 (1), 1-11.",----,----,----,----,----,125.52,----,----,----,----,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,--------,----,----
AlCl3-KCl,77.7847,0.055-0.945,1024,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,5.29E-02,2.68E+04,----,----,----,----,15*,"Borisoglebskii, Y. V.; Huong, B; Van, Vetyukov, M. M.; Izy. Vyssh. Uchebn. Zaved. Tvetn. Metall. 1980, 3, 16.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,81.3121,0.115-0.885,1000,10,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,4.07E-02,2.77E+04,----,----,----,----,15*,"Borisoglebskii, Y. V.; Huong, B; Van, Vetyukov, M. M.; Izy. Vyssh. Uchebn. Zaved. Tvetn. Metall. 1980, 3, 16.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,85.3097,0.183-0.817,972,10,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,2.85E-02,2.98E+04,----,----,----,----,15*,"Borisoglebskii, Y. V.; Huong, B; Van, Vetyukov, M. M.; Izy. Vyssh. Uchebn. Zaved. Tvetn. Metall. 1980, 3, 16.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,89.6601,0.257-0.743,942,10,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,----,----,----,----,----,1.97E-02,3.19E+04,----,----,----,----,15*,"Borisoglebskii, Y. V.; Huong, B; Van, Vetyukov, M. M.; Izy. Vyssh. Uchebn. Zaved. Tvetn. Metall. 1980, 3, 16.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,94.1281,0.333-0.667,905,10,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,1.97E+00,6.10E-04,960-1040,1,"Morrey, J. R.; Carter, D. G. Densities of molten mixtures of potassium chloride and aluminum chloride. J. Chem. Eng. Data. 1968, 13 (1), 94-96.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,103.9459,0.5-0.5,531,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,1.96E+00,6.62E-04,740-1040,1,"Morrey, J. R.; Carter, D. G. Densities of molten mixtures of potassium chloride and aluminum chloride. J. Chem. Eng. Data. 1968, 13 (1), 94-96.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,113.7637,0.667-0.333,414,5*,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,1.99E+00,7.90E-04,500-780,1,"Morrey, J. R.; Carter, D. G. Densities of molten mixtures of potassium chloride and aluminum chloride. J. Chem. Eng. Data. 1968, 13 (1), 94-96.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-KCl,121.5827,0.8-0.2,452LG,10,"Robelin, C.; Chartrand, P.; Pelton, A. D. Thermodynamic evaluation and optimization of the (NaCl + KCl + AlCl3) system. J. Chem. Thermodyn. 2004, 36 (8) 683-699.",----,----,----,2.03E+00,1.00E-03,480-540,1,"Morrey, J. R.; Carter, D. G. Densities of molten mixtures of potassium chloride and aluminum chloride. J. Chem. Eng. Data. 1968, 13 (1), 94-96.",----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
AlCl3-LiCl-NaCl,94.2868,0.5-0.1-0.4,414,----,MSTDB-TC,----,----,----,2.04E+00,7.91E-04,432-606,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",5.38E-02,1.50E+04,----,----,----,383-556,1,"Carpio, R. A.; Kibler, F. C.; King, L. A. Density, Viscosity, and Electrical Conductivity of Acidic AlCl3-LiCl-NaCl Melts. Ber. Buunsenges. Phys. Chem. 1981, 85, 31-38.",----,----,----,----,----,----,----,----,----,----,----,----,----,--------,----,----
