Freq_rad_ps,VDOS_Li,VDOS_K
0.000000000000000000e+00,6.602520082421383697e-03,3.641986751604798372e-02
8.974696910697879670e-02,3.326272465009384640e-03,1.742786869619502785e-02
1.794939382139575934e-01,1.979598791758995988e-03,1.063642251792485359e-02
2.692409073209364179e-01,2.212578081288663068e-03,1.096857926917131111e-02
3.589878764279151868e-01,2.109996661683133032e-03,1.228628760647373919e-02
4.487348455348939558e-01,2.568195289593837305e-03,1.028167037405688065e-02
5.384818146418728357e-01,2.280160001802344124e-03,9.783170061402108111e-03
6.282287837488516047e-01,2.077969146474268301e-03,1.124848909107294993e-02
7.179757528558303736e-01,2.231923457095675353e-03,1.232085475057112176e-02
8.077227219628092536e-01,1.978030722718810124e-03,1.211959400245786814e-02
8.974696910697879115e-01,2.397499738396527500e-03,1.333518126387435616e-02
9.872166601767666805e-01,2.363341670143276948e-03,1.352063532672037084e-02
1.076963629283745671e+00,2.737484636573702269e-03,1.487821624189382755e-02
1.166710598390724440e+00,3.279143567577599491e-03,1.420081688572879565e-02
1.256457567497703209e+00,2.857726069942407871e-03,1.438231629175070782e-02
1.346204536604681978e+00,2.694877442390561286e-03,1.400731369384845999e-02
1.435951505711660747e+00,2.793956508234001976e-03,1.367306270349445685e-02
1.525698474818639516e+00,3.017409903233467163e-03,1.474641086274631856e-02
1.615445443925618507e+00,2.947630005717044588e-03,1.503583303230318462e-02
1.705192413032597054e+00,3.173752091983443168e-03,1.369219082927555439e-02
1.794939382139575823e+00,3.010780525409882929e-03,1.296748677962197317e-02
1.884686351246554592e+00,3.226317302140399319e-03,1.410555370031570284e-02
1.974433320353533361e+00,3.497839889211027710e-03,1.691882062433120934e-02
2.064180289460512352e+00,3.646209444275753855e-03,1.686443078439547535e-02
2.153927258567491343e+00,3.250547287449767880e-03,1.711611630974710016e-02
2.243674227674469890e+00,2.812868073723559861e-03,1.814359914389310560e-02
2.333421196781448881e+00,2.833956802544790061e-03,1.869511028402865219e-02
2.423168165888427428e+00,3.003625730924584531e-03,1.912119463466244521e-02
2.512915134995406419e+00,3.310893695426518103e-03,1.839133251289917781e-02
2.602662104102385410e+00,2.918231840093439122e-03,1.830403349705778115e-02
2.692409073209363957e+00,3.379231724808286208e-03,2.081606184867867276e-02
2.782156042316342948e+00,3.297302092911040625e-03,2.044513716081956117e-02
2.871903011423321495e+00,3.220863247978624638e-03,2.149261408767862494e-02
2.961649980530300041e+00,2.827118024795152468e-03,2.123407376291257601e-02
3.051396949637279032e+00,3.561651432964638413e-03,2.072246032305735328e-02
3.141143918744257579e+00,4.112549709794114175e-03,2.219474021688743262e-02
3.230890887851237014e+00,3.670132634308362340e-03,2.339513031929770989e-02
3.320637856958215117e+00,3.225641462633104146e-03,2.271105879500835006e-02
3.410384826065194108e+00,3.549739585209567110e-03,2.237939410949138855e-02
3.500131795172173543e+00,3.606111966114753254e-03,2.364141273960933265e-02
3.589878764279151646e+00,3.684047590687987862e-03,2.334336250454412121e-02
3.679625733386131081e+00,3.775184185476480533e-03,2.458437720003273097e-02
3.769372702493109184e+00,3.750435938280235505e-03,2.700335922366332853e-02
3.859119671600088175e+00,3.311094755922229429e-03,2.425676834102173662e-02
3.948866640707066722e+00,3.629590158066065258e-03,2.398649636362108414e-02
4.038613609814046157e+00,4.438528839651847795e-03,2.570257488624571457e-02
4.128360578921024704e+00,3.529646049250237134e-03,2.486065413969436311e-02
4.218107548028003251e+00,3.762109759339806337e-03,2.570203960919911768e-02
4.307854517134982686e+00,4.403806228094036407e-03,2.592605827358734558e-02
4.397601486241961233e+00,4.248824475262841238e-03,2.339686219492239511e-02
4.487348455348939780e+00,4.336148281175703119e-03,2.504510668708779739e-02
4.577095424455918327e+00,3.813813077415714563e-03,3.008908998049893840e-02
4.666842393562897762e+00,3.611286660817193510e-03,3.015926948649569339e-02
4.756589362669876309e+00,4.048323734900665001e-03,2.758382740501961680e-02
4.846336331776854855e+00,4.342836179980561796e-03,2.681049734318269318e-02
4.936083300883834291e+00,4.157060901738863015e-03,2.700379820395698224e-02
5.025830269990812837e+00,4.041575445368339806e-03,2.551488698834927446e-02
5.115577239097791384e+00,5.055121108763230287e-03,2.556136572545129881e-02
5.205324208204770819e+00,4.276447138959618179e-03,2.503910043879849917e-02
5.295071177311749366e+00,4.022852162511786518e-03,2.563149550048375580e-02
5.384818146418727913e+00,3.841479323496538225e-03,2.804823958043017873e-02
5.474565115525706460e+00,4.108852466450840270e-03,2.973172654793302880e-02
5.564312084632685895e+00,4.503839594426946834e-03,3.529342076145108864e-02
5.654059053739663554e+00,4.568359422835685871e-03,3.383357467620669301e-02
5.743806022846642989e+00,4.573960758984074552e-03,3.069427675309484987e-02
5.833552991953622424e+00,3.648545932862497752e-03,3.165848086430297220e-02
5.923299961060600083e+00,3.692749587565333138e-03,3.120728283943311615e-02
6.013046930167579518e+00,4.888013584512052555e-03,3.212413058107937980e-02
6.102793899274558065e+00,4.614666919602818280e-03,3.366619066006774214e-02
6.192540868381537500e+00,4.091760073408077202e-03,3.099227449170459739e-02
6.282287837488515159e+00,4.779852537114995074e-03,3.074306484712523158e-02
6.372034806595494594e+00,5.816151292367933989e-03,3.178839588012263850e-02
6.461781775702474029e+00,6.606414127953702010e-03,3.522701392883510751e-02
6.551528744809452576e+00,5.903555586053410228e-03,3.601531706657105925e-02
6.641275713916430234e+00,4.874210417319329615e-03,3.236540447725599901e-02
6.731022683023409670e+00,5.609623121140648941e-03,3.498868571302118924e-02
6.820769652130388216e+00,5.796223199518542833e-03,3.752559707412337492e-02
6.910516621237367652e+00,6.050342855941653712e-03,3.404899945490760110e-02
7.000263590344347087e+00,6.474478208444293600e-03,2.968419591358411116e-02
7.090010559451324745e+00,5.629919095656165870e-03,3.129166999470712335e-02
7.179757528558303292e+00,6.089128996604959224e-03,3.330876946496448554e-02
7.269504497665282727e+00,5.972418281441277572e-03,3.450933264642171150e-02
7.359251466772262162e+00,5.184981853470012510e-03,3.557984815760235897e-02
7.448998435879239821e+00,4.920394072671606389e-03,4.001822088076718853e-02
7.538745404986218368e+00,6.259293604593856725e-03,3.660657735983609967e-02
7.628492374093197803e+00,5.522140933899014580e-03,3.583853444597075166e-02
7.718239343200176350e+00,5.027669407554670802e-03,3.569463029251677272e-02
7.807986312307155785e+00,5.768703766390851848e-03,3.608285315557467621e-02
7.897733281414133444e+00,5.776474064862554755e-03,3.343130716019125648e-02
7.987480250521112879e+00,5.532825683630545298e-03,3.322750990077311117e-02
8.077227219628092314e+00,5.156922197979936680e-03,3.555838089253952894e-02
8.166974188735069973e+00,4.676751643771118704e-03,3.540777822263656283e-02
8.256721157842049408e+00,4.187944501050759778e-03,3.612351722594044773e-02
8.346468126949027067e+00,4.743789573045952696e-03,3.854616414552144293e-02
8.436215096056006502e+00,5.408665626711155194e-03,3.852129966751360879e-02
8.525962065162985937e+00,5.362204529554586568e-03,3.705528269165869054e-02
8.615709034269965372e+00,4.859784698531861499e-03,3.770468840823788109e-02
8.705456003376944807e+00,4.464590353079173589e-03,3.817857051845307409e-02
8.795202972483922466e+00,4.715260557568834617e-03,3.948687354106138192e-02
8.884949941590900124e+00,5.256993025020058677e-03,4.145999180123152716e-02
8.974696910697879559e+00,5.587870978874557790e-03,4.010628756873452910e-02
9.064443879804858994e+00,5.928874566741644710e-03,3.688451169496000798e-02
9.154190848911836653e+00,5.450078279475316714e-03,3.781238373141189435e-02
9.243937818018816088e+00,5.666407150554991258e-03,3.931270441548088274e-02
9.333684787125795523e+00,5.694708843431192657e-03,3.866465144848909435e-02
9.423431756232773182e+00,5.189898834110228884e-03,3.993790626061487214e-02
9.513178725339752617e+00,4.975492438677894987e-03,4.368780646847263832e-02
9.602925694446730276e+00,5.079443528739853442e-03,4.477628527686165066e-02
9.692672663553709711e+00,5.910875599533554209e-03,4.137534252786066735e-02
9.782419632660689146e+00,4.690233112958755446e-03,3.445004456516516378e-02
9.872166601767668581e+00,6.111645272843643263e-03,3.717556939019217577e-02
9.961913570874646240e+00,6.968058531531225348e-03,3.975077014106708634e-02
1.005166053998162567e+01,6.132915678359046954e-03,4.231241446277392293e-02
1.014140750908860333e+01,5.163198980314064220e-03,4.310213318744497007e-02
1.023115447819558277e+01,6.140570774354227150e-03,3.918197891267861943e-02
1.032090144730256220e+01,6.721618086492561761e-03,3.705446358151981423e-02
1.041064841640954164e+01,5.725786106727252973e-03,3.742282429433010926e-02
1.050039538551651930e+01,6.582613367076961021e-03,3.726957174007743817e-02
1.059014235462349873e+01,6.397513749012847910e-03,4.115417129628776149e-02
1.067988932373047639e+01,6.585038532656214798e-03,4.412289100849181578e-02
1.076963629283745583e+01,5.724761963135970369e-03,4.272344190583593493e-02
1.085938326194443349e+01,5.125993616913854765e-03,4.179443778022794848e-02
1.094913023105141292e+01,5.711791349207430250e-03,4.230438263550855699e-02
1.103887720015839236e+01,5.527977530891048027e-03,4.394601318280857288e-02
1.112862416926537179e+01,5.802416803992569913e-03,3.906350327395303329e-02
1.121837113837234945e+01,5.724333104993377559e-03,3.864590495402128040e-02
1.130811810747932711e+01,5.209088984401860113e-03,4.127828164984551074e-02
1.139786507658630654e+01,6.064339965007428321e-03,3.866939383282295278e-02
1.148761204569328598e+01,5.994306037449444180e-03,3.528462743075936464e-02
1.157735901480026541e+01,5.234498092709027710e-03,3.726535222781955647e-02
1.166710598390724485e+01,5.078550111389443927e-03,3.787597217999649768e-02
1.175685295301422251e+01,5.085497949446177515e-03,3.905174092821864923e-02
1.184659992212120017e+01,6.151344090610428444e-03,4.177075326666351146e-02
1.193634689122817960e+01,5.755986930867380835e-03,4.209438972988772953e-02
1.202609386033515904e+01,4.603568198615737295e-03,4.173677727462729581e-02
1.211584082944213847e+01,5.807253341838181093e-03,3.967999594421960097e-02
1.220558779854911613e+01,5.482407311558123823e-03,3.757345878918985638e-02
1.229533476765609556e+01,4.975164907329700757e-03,4.015301908807595438e-02
1.238508173676307500e+01,5.356097884548247784e-03,4.508043688405728722e-02
1.247482870587005266e+01,5.955315232479683162e-03,4.179879555915383404e-02
1.256457567497703032e+01,5.722605972004805169e-03,4.267546139204440175e-02
1.265432264408400975e+01,5.057168244643477258e-03,4.291420234662502581e-02
1.274406961319098919e+01,4.902851352289962564e-03,4.057514575127909445e-02
1.283381658229796862e+01,5.964342303454449150e-03,4.332177049184323531e-02
1.292356355140494806e+01,5.678091475667682887e-03,4.313847211983928842e-02
1.301331052051192572e+01,6.268744619474994444e-03,4.303313161691253025e-02
1.310305748961890515e+01,7.836123200398949565e-03,4.388174548718723478e-02
1.319280445872588103e+01,6.883402997241131957e-03,4.711555556657950200e-02
1.328255142783286047e+01,5.176602164481052676e-03,4.352681362425589451e-02
1.337229839693983990e+01,5.085224565928431022e-03,4.363014550246238632e-02
1.346204536604681934e+01,7.115253048336856422e-03,4.545315112844268424e-02
1.355179233515379877e+01,8.208999006679646229e-03,4.585994214955807502e-02
1.364153930426077643e+01,6.399757512202667274e-03,4.191816419270168181e-02
1.373128627336775587e+01,6.698698841711464742e-03,4.118509126123761493e-02
1.382103324247473530e+01,6.759038067656514270e-03,4.368190988448871631e-02
1.391078021158171474e+01,6.718388189711509140e-03,4.125630626165312925e-02
1.400052718068869417e+01,5.949704768538376272e-03,4.088001329937492045e-02
1.409027414979567006e+01,7.492289537030663929e-03,4.224769560990878497e-02
1.418002111890264949e+01,6.687176418087826917e-03,4.217206534169985060e-02
1.426976808800962893e+01,6.176635811090781976e-03,4.476813158939677018e-02
1.435951505711660658e+01,5.812761327833210721e-03,4.526806303862215830e-02
1.444926202622358602e+01,6.377862307348203946e-03,4.512478712385640384e-02
1.453900899533056545e+01,6.307363769808484177e-03,4.447667918704083928e-02
1.462875596443754489e+01,5.840027667699801937e-03,4.118142847026951686e-02
1.471850293354452432e+01,6.196410697176413240e-03,3.917153271258082964e-02
1.480824990265150198e+01,6.347037668112454935e-03,4.273338069834485553e-02
1.489799687175847964e+01,5.611837889686627050e-03,4.174238396439942933e-02
1.498774384086545730e+01,5.855609855631088885e-03,3.959965598710175200e-02
1.507749080997243674e+01,6.057540232202662626e-03,3.896616842094753619e-02
1.516723777907941617e+01,5.714315148393546775e-03,4.202840472642244835e-02
1.525698474818639561e+01,6.875958858319137709e-03,4.297050381478842440e-02
1.534673171729337504e+01,5.838741609955381932e-03,4.346705058747202949e-02
1.543647868640035270e+01,5.310711436781753204e-03,4.100382538732187665e-02
1.552622565550733214e+01,5.768636936619773656e-03,4.114883614378476301e-02
1.561597262461431157e+01,5.941772838368630273e-03,4.100231797046157561e-02
1.570571959372129101e+01,6.491604151279039420e-03,3.937651027376748436e-02
1.579546656282826689e+01,5.861204375415868598e-03,4.076335184815636781e-02
1.588521353193524632e+01,5.720730239314533727e-03,3.952166890271199828e-02
1.597496050104222576e+01,6.596003249262617080e-03,3.770060542252163388e-02
1.606470747014920519e+01,6.025263837559209808e-03,3.832651238532216315e-02
1.615445443925618463e+01,5.069412209665565862e-03,3.857313830497297036e-02
1.624420140836316406e+01,5.087076501034487608e-03,4.058198319581608760e-02
1.633394837747013995e+01,5.357565207410561713e-03,4.575023225469228294e-02
1.642369534657711938e+01,5.648299483885373465e-03,4.420541688387016194e-02
1.651344231568409882e+01,5.687502029783552022e-03,4.083866618870996001e-02
1.660318928479107470e+01,7.211085379097226591e-03,3.906261398480199293e-02
