Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_K_x,J_K_y,J_K_z,J_Cl_x,J_Cl_y,J_Cl_z,J_Mg_x,J_Mg_y,J_Mg_z,J_Na_x,J_Na_y,J_Na_z
0,7922.875316480056,-0.0010738663,0.0019110399,-0.0006936836,0.5496640160843644,-10.94626110979238,-8.41757609635808,9.230197297538723,5.754543479184824,5.93770619728136,-6.698393946721825,7.815521056917558,7.470910041481524,-1.998470881317889,0.3075705968527691,-1.5394375731636742
5,7922.875316480056,-0.0011141376,0.0019624298,-0.0009725035,0.7822046840436205,-12.335651329261003,-8.86299005708408,9.40730945834406,4.750254671620743,5.217771133317434,-7.878498282849268,9.750475947986184,8.877300178462438,-1.2280195262763023,0.7662944336203728,-1.7804786415297045
10,7922.875316480056,-0.0010780676,0.0018545741,-0.0011868799,1.034545352138422,-13.365837829573996,-8.965065872594112,8.835862257569204,4.310581512705786,4.218617198730932,-8.064870659507523,10.738665150523074,10.217194427919289,-0.7225403989766797,1.2479649245520918,-2.0191436391585076
15,7922.875316480056,-0.0009958707,0.0016157641,-0.0012896842,1.2995423631126073,-13.97657331816385,-8.739221446157007,7.580504637555297,4.31645157904156,3.4012461648537524,-7.31287832950149,10.855366132703264,10.985545073477091,-0.48417209920150484,1.7361293608352062,-2.1959678014106667
20,7922.875316480056,-0.0009006763,0.0013197827,-0.0012660589,1.5590785341390188,-14.136271438653187,-8.201325476423353,5.882694733127158,4.713608146732684,3.1275746511084677,-5.87750841577328,10.143699717286863,10.808867646309785,-0.48126809855309083,2.2103371068966444,-2.2835145688447724
25,7922.875316480056,-0.0008083502,0.0010353663,-0.0011380279,1.7897787509189689,-13.841548803270546,-7.369248848051046,4.098481395807487,5.5059893616419355,3.4065631192472448,-4.142014957336885,8.621424844998753,9.702997335568774,-0.6632481976155489,2.64550822910462,-2.288709280751142
30,7922.875316480056,-0.0007170527,0.0007978622,-0.00095023523,1.9690146845876484,-13.117516187609857,-6.266188436754436,2.5263978902984805,6.666647766717025,3.951288173144553,-2.437297060585496,6.369463617077623,8.009041509053908,-0.975118565040948,3.0127785336204616,-2.242538847975745
35,7922.875316480056,-0.00061762217,0.0006159219,-0.0007541122,2.0803835218301288,-12.019280745206691,-4.924472408433775,1.3386321010565894,8.072788874662606,4.3732854200627305,-0.9681943190136509,3.595509274063285,6.1862131494430415,-1.3678240055330841,3.2823562898098526,-2.183423470604545
40,7922.875316480056,-0.0005068915,0.0004848243,-0.0005960039,2.117493264004054,-10.631881723852478,-3.3884357598499424,0.642429588421626,9.53012498947307,4.348201991019073,0.12769758146334897,0.6054745215815514,4.634421374431817,-1.8046230862726313,3.4276560044505677,-2.142584950682
45,7922.875316480056,-0.00039819715,0.00038828963,-0.00050138385,2.0842304147279833,-9.064039456427912,-1.7142655939942582,0.4860841405265308,10.87140151787414,3.7280427098832893,0.7774986116072116,-2.3050892221026285,3.5740681483233985,-2.2648159561729426,3.4291010701614355,-2.136242563371276
