Mode_Index,Frequency_cm-1,Type,Participation_Ratio
0,110.97339869623352j,Real,0.01669400150297438
1,92.98545694700375j,Real,0.03747730798158375
2,89.81957654488328j,Real,0.0254011032569671
3,88.00872876406838j,Real,0.026570145182704435
4,86.66877498422367j,Real,0.024959749422120595
5,86.11945755398813j,Real,0.006835772327870025
6,83.15323804750298j,Real,0.018988509043848103
7,81.56225774960794j,Real,0.00922211863224827
8,77.23524256574626j,Real,0.033593232408816245
9,75.29254933570857j,Real,0.044592287787558506
10,73.7264927964534j,Real,0.05790527244038006
11,70.5193608661245j,Real,0.07166426978919656
12,68.7430505779229j,Real,0.03738989214296763
13,66.7362088167836j,Real,0.07849591215861511
14,64.54542841078852j,Real,0.12403949001252876
15,63.70181980227106j,Real,0.10736219563127934
16,63.19337605319394j,Real,0.059340630702124655
17,61.328349694459554j,Real,0.15289690307896048
18,60.93073331593032j,Real,0.1189723333495678
19,60.43005146545311j,Real,0.16683268172436444
20,59.32491963908517j,Real,0.17975631806342734
21,58.84579742981724j,Real,0.24320732023152164
22,57.73981266155933j,Real,0.21411380920807857
23,57.07922550004701j,Real,0.1389339588257002
24,56.407843385165854j,Real,0.10435143678578641
25,55.87817820875726j,Real,0.1070153494990047
26,55.25188625946643j,Real,0.1142165635623023
27,53.68305819220766j,Real,0.10587622187127475
28,52.60105481462892j,Real,0.14065398074086014
29,52.154511752422096j,Real,0.21686824265577076
30,51.63348218675186j,Real,0.0663667957860207
31,50.740056575675474j,Real,0.2258653292981313
32,49.83878339090368j,Real,0.18204380792804584
33,49.679127144045765j,Real,0.18448787534769168
34,48.92204911504407j,Real,0.1727292891634764
35,48.51119001688193j,Real,0.287422191582493
36,47.32722377913799j,Real,0.11088116562290565
37,46.9755051528318j,Real,0.21664741817948624
38,46.66926333563057j,Real,0.08052866672286559
39,46.165395355813665j,Real,0.2601040201320487
40,45.852290605020514j,Real,0.17081938821154605
41,45.15042248170804j,Real,0.28757145289849284
42,44.62652219422279j,Real,0.20900380667586596
43,44.084758052410194j,Real,0.10071084631849447
44,43.314742487584j,Real,0.1729223531104997
45,43.115187807600336j,Real,0.13157685455634086
46,42.06828383335862j,Real,0.21103660125800694
47,41.58953207749154j,Real,0.28741323109083367
48,40.5585603191898j,Real,0.2146914185505529
49,40.10078404048955j,Real,0.1766153494826947
50,39.88001323340649j,Real,0.34586236775046136
51,39.60463083738646j,Real,0.2389217319897422
52,38.74950572060487j,Real,0.2162220496510306
53,37.99668267345453j,Real,0.236316898416712
54,37.6438149234475j,Real,0.1826406565392048
55,37.2746631724228j,Real,0.2211318639167752
56,36.80832843577344j,Real,0.12977059032145552
57,36.10289751358439j,Real,0.1658351671121711
58,35.37576382900253j,Real,0.18353253189434113
59,35.159609042757964j,Real,0.27484038910226705
60,34.33578396270227j,Real,0.26983131540592387
61,33.71629760993907j,Real,0.3814693356418179
62,32.783820513362414j,Real,0.2563738151451946
63,32.19535924590803j,Real,0.25553527809932325
64,31.868245835435776j,Real,0.29200156617879164
65,31.10682369634181j,Real,0.3966806311405157
66,29.900141297324534j,Real,0.2489820857701263
67,29.00802363958149j,Real,0.2692996650182583
68,28.13096852819387j,Real,0.3222287195037001
69,27.867794828322573j,Real,0.3699920673851048
70,27.760604873816483j,Real,0.40835444403695176
71,26.350950341471936j,Real,0.25391435260580353
72,25.947200433006056j,Real,0.3453932185842269
73,24.951219267809847j,Real,0.24378930549445557
74,24.149156022261728j,Real,0.3357681890785007
75,23.313257824307893j,Real,0.43236084680135367
