Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Mg_x,J_Mg_y,J_Mg_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z,J_Na_x,J_Na_y,J_Na_z
0,7996.158752467902,-0.00033537092,8.511117e-05,0.0005611849,12.387514719765548,1.8347605670395293,8.238060796280594,-0.5616031429025935,0.7687418682307713,-25.37056542432867,3.0948689149948683,-1.6842474355671135,4.274755255228607,-12.320057593989095,8.514080012275727,-3.049557799427657
5,7996.158752467902,-0.00017656891,0.000101045436,0.00067415496,9.483975693493061,2.2341453689267343,8.122211801419436,0.8623637352866815,-0.415940151973727,-25.963740612945134,4.132851600137065,-2.3598646542049675,4.62037480521523,-11.878468256193647,9.974994713775587,-2.6861531682495294
10,7996.158752467902,-2.1752043e-05,5.7265628e-05,0.0007650765,5.641282823097368,2.651250167150325,7.945661333644348,3.2989817104681185,-1.5619140810149599,-26.605478168160648,4.814605066450304,-2.9545240624920104,4.927735705428329,-11.154147055143785,11.298523447782276,-2.175225832111846
15,7996.158752467902,0.000107866486,-7.903049e-05,0.00081083464,0.9306860559632477,3.5912158245454027,7.45904268995957,6.677652761383848,-3.1896962686405725,-27.038681487004983,5.130732291566665,-3.4337481103556935,5.180139977020568,-10.138348316790161,12.465564108876052,-1.5078079111132863
20,7996.158752467902,0.00021523064,-0.00031170095,0.0008042105,-4.365192426859197,5.166919584281321,6.445553029028928,10.727798825955736,-5.427675471484719,-27.052786683559706,5.092967861840726,-3.7503914346943485,5.352648223908014,-8.854851329995672,13.444483148858481,-0.6527208811691705
25,7996.158752467902,0.00030316677,-0.00059184193,0.00074888143,-9.769931690777796,7.151839197566777,4.84633420473267,15.002088674686137,-8.063333370040736,-26.58808102367711,4.731341612131792,-3.8493611097128,5.418166166951247,-7.362776113883247,14.194191115210188,0.4162741521379763
30,7996.158752467902,0.00035300764,-0.00083821174,0.0006554501,-14.693464027349744,9.074136881867933,2.842553895410786,18.958401763400666,-10.625358440764126,-25.795689844461908,4.087922763512643,-3.68032718360787,5.354912796773001,-5.752137867390067,14.664884664584307,1.6909167684446405
35,7996.158752467902,0.00034143453,-0.0009841399,0.0005312242,-18.5796028044819,10.341387964956855,0.7371458222625034,22.101460375277433,-12.495548155095124,-24.911010504239247,3.211557424303783,-3.213880511237176,5.150415420985533,-4.1326922381176905,14.801376624720788,3.1161430144150475
40,7996.158752467902,0.00028143072,-0.001002635,0.00037287432,-21.067861880389884,10.481097648135663,-1.2938435539543907,24.128697982159835,-13.149306398399885,-24.01534375059885,2.157497404518245,-2.4539163094777465,4.799625105561441,-2.6176105304239377,14.555461105960049,4.602256208703967
45,7996.158752467902,0.00023582492,-0.00089967356,0.00017644883,-22.074572255161385,9.356381009781078,-3.293630471060057,24.98898331975675,-12.38555849042134,-22.96280432409652,0.990342276487673,-1.4406254225941222,4.299724430048096,-1.3040304934311484,13.903138939826377,6.049404013744311
