Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
0.000000000000000000e+00,1.485368333660015520e-02,2.390934246181377829e-02,1.136406954959218348e-02
8.974696910697879670e-02,8.683648010844298090e-03,1.344168481801114555e-02,4.854942259357092338e-03
1.794939382139575934e-01,7.119900466167828484e-03,6.571943698741036614e-03,3.048292702826237068e-03
2.692409073209364179e-01,5.907274139775643869e-03,6.957110915853164865e-03,2.946057151359377912e-03
3.589878764279151868e-01,6.108992815855557312e-03,8.232053737863703757e-03,3.237549216512808272e-03
4.487348455348939558e-01,6.720788292550588898e-03,8.070233027495939127e-03,2.977070384751002389e-03
5.384818146418728357e-01,7.431291980751664368e-03,8.989880207567475801e-03,3.505998704085295462e-03
6.282287837488516047e-01,7.058710268197236279e-03,1.018277803610623776e-02,3.347430811529712117e-03
7.179757528558303736e-01,7.092202030374130869e-03,1.068903792883269671e-02,3.171187476722914407e-03
8.077227219628092536e-01,7.404638430503954379e-03,1.137275194863224780e-02,3.323020947680468268e-03
8.974696910697879115e-01,7.203859349153293040e-03,1.083919943636929215e-02,3.435821735135396928e-03
9.872166601767666805e-01,7.360516113854567374e-03,1.130613058546696068e-02,3.477006674406310678e-03
1.076963629283745671e+00,7.922928017034727016e-03,1.071905494299278325e-02,3.720643452357348668e-03
1.166710598390724440e+00,7.451729968155147016e-03,9.617945890466788120e-03,4.001237833354949654e-03
1.256457567497703209e+00,8.460407098119999622e-03,1.089073898397515706e-02,4.141572414748672520e-03
1.346204536604681978e+00,8.782881224341912429e-03,9.448981006949984385e-03,4.031585669004646676e-03
1.435951505711660747e+00,8.734761153413669529e-03,1.051061862583893385e-02,4.116463357532951055e-03
1.525698474818639516e+00,8.848304434352858780e-03,1.140568152656763930e-02,4.549491934532201749e-03
1.615445443925618507e+00,9.329533707844572116e-03,1.208248209415524813e-02,4.685475764447604753e-03
1.705192413032597054e+00,1.023446320487502934e-02,1.381060258586633976e-02,4.960303106434262553e-03
1.794939382139575823e+00,1.074846792005786263e-02,1.325554072406229245e-02,5.809920804935215372e-03
1.884686351246554592e+00,1.017108854009974965e-02,1.340858312552637051e-02,5.086397430763948263e-03
1.974433320353533361e+00,1.109027331536553695e-02,1.454218140249247289e-02,5.649150792464863180e-03
2.064180289460512352e+00,1.229195151893228664e-02,1.435203388321110336e-02,5.773554747619020697e-03
2.153927258567491343e+00,1.173004794006420395e-02,1.526204427674429827e-02,4.848586309328657522e-03
2.243674227674469890e+00,1.202207380815088072e-02,1.478316070654782030e-02,5.228371194225547858e-03
2.333421196781448881e+00,1.161172877023750917e-02,1.519172227960543207e-02,5.907868126349814439e-03
2.423168165888427428e+00,1.112739007620878150e-02,1.614903704062233686e-02,6.649147633857883932e-03
2.512915134995406419e+00,1.105147299469361188e-02,1.604294540792076604e-02,6.354732972811246577e-03
2.602662104102385410e+00,1.163792346798553021e-02,2.035723510526562738e-02,7.621120057411368519e-03
2.692409073209363957e+00,1.210842654227986710e-02,2.354236385611514076e-02,7.399953688170334866e-03
2.782156042316342948e+00,1.290513266132984824e-02,2.642758611754682241e-02,6.132458975754553031e-03
2.871903011423321495e+00,1.494288025666605686e-02,2.171263886748441702e-02,6.923899176027591661e-03
2.961649980530300041e+00,1.432357760703337028e-02,2.044010302142150459e-02,7.527362737315117930e-03
3.051396949637279032e+00,1.310870193509332086e-02,2.222277590525123525e-02,7.749007744192554399e-03
3.141143918744257579e+00,1.480613939867281639e-02,2.501546357833401776e-02,7.353151893756535405e-03
3.230890887851237014e+00,1.520942971678595698e-02,2.033268057834020093e-02,7.879919950099659523e-03
3.320637856958215117e+00,1.686783310210073286e-02,2.126660192463582580e-02,9.414157468564825215e-03
3.410384826065194108e+00,1.858716684241176059e-02,2.656301856307588874e-02,9.210004405537793384e-03
3.500131795172173543e+00,1.749572808123382728e-02,2.521509794469352708e-02,8.096931153131247186e-03
3.589878764279151646e+00,1.496535618988484306e-02,1.899543786178957069e-02,7.685841620567509386e-03
3.679625733386131081e+00,1.430753726075249116e-02,2.026149465238117134e-02,8.208053979322713078e-03
3.769372702493109184e+00,1.269358519657106874e-02,2.253861031210471766e-02,7.544296439579205316e-03
3.859119671600088175e+00,1.475859883980012825e-02,2.432684337010875691e-02,7.725428123482144110e-03
3.948866640707066722e+00,1.762535465297261281e-02,2.794387474563075208e-02,8.348547976046534827e-03
4.038613609814046157e+00,1.813336769611268925e-02,2.395600060921700483e-02,9.330090997205876119e-03
4.128360578921024704e+00,1.649739129423830053e-02,2.807090420499564268e-02,9.681448878605534297e-03
4.218107548028003251e+00,1.614888559565842013e-02,2.910234054382638061e-02,9.725813110671860384e-03
4.307854517134982686e+00,1.841534791560139883e-02,2.105913045208881312e-02,9.037768348257488663e-03
4.397601486241961233e+00,1.958423100257507612e-02,2.532910434591711946e-02,1.043476723392720504e-02
4.487348455348939780e+00,1.898941683161421701e-02,3.169344824647572778e-02,1.090073280311223448e-02
4.577095424455918327e+00,1.853484435014031428e-02,2.758423988941115582e-02,9.906852242840725672e-03
4.666842393562897762e+00,1.561562504848390889e-02,3.695378539693872783e-02,9.744832523918547582e-03
4.756589362669876309e+00,1.695350388100023628e-02,3.097624318762934661e-02,1.113177924313802844e-02
4.846336331776854855e+00,2.076467475901943444e-02,2.762029489542508140e-02,1.073552324777096723e-02
4.936083300883834291e+00,2.044893105082050411e-02,2.978329357396162710e-02,1.102668145480441286e-02
5.025830269990812837e+00,2.133683372631504233e-02,3.589418839356840751e-02,1.068618516086586485e-02
5.115577239097791384e+00,2.229939234595045700e-02,3.439615951957975676e-02,1.042088360806773389e-02
5.205324208204770819e+00,2.269532971019204426e-02,3.399741343417725381e-02,1.130734699650711578e-02
5.295071177311749366e+00,2.080276908246213308e-02,3.133150386975915719e-02,1.172284861729252017e-02
5.384818146418727913e+00,2.036129747672517365e-02,2.847628405076800887e-02,1.070876564441843905e-02
5.474565115525706460e+00,2.287403360126377683e-02,3.124237496174899625e-02,9.654834254669999657e-03
5.564312084632685895e+00,2.508508558681294548e-02,3.207562487994580075e-02,9.603973815224965682e-03
5.654059053739663554e+00,2.386114889549472914e-02,3.496969763886073612e-02,1.030542077510549631e-02
5.743806022846642989e+00,2.004018128298148960e-02,3.522117599359263218e-02,9.975918362846253329e-03
5.833552991953622424e+00,1.845630948792491288e-02,4.162103664135134717e-02,8.759158491207296587e-03
5.923299961060600083e+00,2.047430984632208142e-02,3.470592688685731481e-02,1.050215393688879763e-02
6.013046930167579518e+00,2.017644870188014389e-02,3.396980311625166088e-02,9.475600214672079413e-03
6.102793899274558065e+00,2.177897433673632588e-02,3.741029951830940337e-02,9.359249893158101338e-03
6.192540868381537500e+00,2.223801819438096794e-02,3.831315023131493663e-02,1.080682742074432975e-02
6.282287837488515159e+00,1.999134639299010585e-02,3.745116349178791160e-02,9.901924836528536861e-03
6.372034806595494594e+00,2.159643847693536525e-02,3.914577845681044971e-02,1.148340471509467359e-02
6.461781775702474029e+00,2.542399144947214348e-02,3.605660836397478475e-02,1.216931117472776908e-02
6.551528744809452576e+00,2.563204799219149718e-02,3.260231060505194844e-02,1.026317565738522029e-02
6.641275713916430234e+00,2.205768804555973892e-02,2.876816030098926572e-02,9.458609798266180355e-03
6.731022683023409670e+00,2.312283797302274596e-02,3.527021133670557584e-02,1.117704827900700172e-02
