Cation,CN
K,11
K,9
K,9
K,10
K,8
K,10
K,10
K,9
K,10
K,7
K,9
K,11
K,10
K,10
K,10
K,10
K,8
K,8
K,10
K,11
K,7
K,11
K,8
K,10
K,10
K,10
K,8
K,9
K,11
K,8
K,11
K,11
K,10
K,8
K,9
K,8
K,10
K,9
K,10
K,12
K,7
K,9
K,11
K,10
K,11
K,7
K,9
K,9
K,9
K,10
K,9
K,10
K,9
K,8
K,10
K,6
K,8
K,9
K,11
K,9
K,9
K,9
K,7
K,9
K,9
K,10
K,7
K,10
K,8
K,12
K,8
K,8
K,7
K,8
K,10
K,8
K,10
K,11
K,10
K,9
K,9
K,9
K,10
K,9
K,6
K,10
K,10
K,8
K,9
K,11
K,10
K,8
K,9
K,9
K,8
K,9
K,8
K,11
K,8
K,10
K,11
K,9
K,9
K,9
K,10
K,10
K,10
K,8
K,7
K,9
K,9
K,9
K,6
K,9
K,10
K,10
K,10
K,9
K,8
K,8
K,11
K,8
K,8
K,11
K,10
K,9
K,9
K,7
K,11
K,10
K,8
K,10
K,8
K,8
K,8
K,10
K,11
K,8
K,9
K,8
K,9
K,10
K,8
K,10
K,9
K,9
K,10
K,10
K,10
K,10
K,10
K,9
K,9
K,11
K,7
K,9
K,11
K,9
K,8
K,11
K,11
K,10
K,10
K,8
K,7
K,8
K,10
K,9
K,10
K,9
K,8
K,9
K,9
K,9
K,11
K,9
K,8
K,9
K,11
K,10
K,10
K,10
K,10
K,7
K,9
K,9
K,8
K,11
K,10
K,10
K,8
K,10
K,9
K,8
K,10
K,9
K,11
K,10
K,12
K,12
K,9
K,9
K,10
K,11
K,8
K,9
K,8
K,9
K,8
K,9
K,7
K,9
K,10
K,8
K,9
K,9
K,9
K,8
K,9
K,7
K,10
K,8
K,8
K,11
K,10
K,11
K,9
K,12
K,11
K,8
K,10
K,10
K,11
K,9
K,10
K,9
K,8
K,8
K,9
K,8
K,10
K,10
K,11
K,9
K,11
K,11
K,11
K,8
K,9
K,9
K,9
K,9
K,9
K,10
K,8
K,9
K,8
K,8
K,10
K,8
K,10
K,10
K,10
K,8
K,8
K,6
K,9
K,10
K,8
K,11
K,10
K,11
K,9
K,11
K,10
K,6
K,8
K,10
K,8
K,10
K,10
K,8
K,8
K,7
K,8
K,9
K,9
K,9
K,10
K,9
K,10
K,10
K,10
K,9
K,9
K,10
K,7
K,9
K,10
K,10
K,10
K,9
K,8
K,9
K,11
K,10
K,12
K,10
K,8
K,8
K,8
K,8
K,10
K,9
K,9
K,11
K,9
K,10
K,9
K,10
K,8
K,8
K,8
K,9
K,9
K,10
K,11
K,7
K,8
K,7
K,10
K,8
K,9
K,8
K,10
K,9
K,11
K,10
K,8
K,8
K,9
K,10
K,8
K,9
K,8
K,9
K,10
K,10
K,9
K,8
K,9
K,10
K,11
K,11
K,9
K,8
K,9
K,8
K,11
K,9
K,8
K,11
K,10
K,10
K,8
K,10
K,7
K,10
K,11
K,10
K,9
K,9
K,9
K,10
K,9
K,8
K,11
K,9
K,9
K,7
K,8
K,9
K,9
K,9
K,8
K,8
K,10
K,11
K,9
K,9
K,8
K,9
K,10
K,10
K,9
K,8
K,9
K,10
K,11
K,9
K,8
K,9
K,9
K,8
K,11
K,10
K,7
K,11
K,9
K,8
K,8
K,9
K,8
K,10
K,8
K,9
K,9
K,9
K,7
K,11
K,9
K,8
K,10
K,8
K,9
K,9
K,9
K,10
K,9
K,10
K,9
K,9
K,8
K,11
K,9
K,10
K,9
K,8
K,10
K,11
K,10
K,9
K,9
K,10
K,10
K,9
K,7
K,9
K,9
K,8
K,11
K,10
K,9
K,11
K,8
K,9
K,8
K,9
K,10
K,8
K,9
K,9
K,9
K,10
K,10
K,11
K,8
K,9
K,11
K,8
K,9
K,9
K,8
K,10
K,9
K,10
K,11
K,10
K,9
K,10
K,8
K,9
K,11
K,9
K,9
K,10
K,9
K,8
K,9
K,10
K,10
K,9
K,7
K,10
K,9
K,7
K,10
K,10
K,9
K,11
K,8
K,9
K,9
K,10
K,9
K,9
K,9
K,8
K,9
K,11
K,9
K,9
K,7
K,8
K,10
K,11
K,9
K,10
K,9
K,9
K,10
K,10
K,9
K,9
K,8
K,8
K,9
K,9
K,12
K,7
K,8
K,9
K,10
K,9
K,9
K,9
K,10
K,9
K,9
K,8
K,9
K,6
K,10
K,10
K,10
K,11
K,9
K,10
K,9
K,12
K,8
K,8
K,10
K,8
K,10
K,10
K,9
K,11
K,8
K,9
K,11
K,9
K,8
K,11
K,8
K,10
K,9
K,11
K,8
K,9
K,8
K,9
K,10
K,9
K,11
K,9
K,9
K,10
K,9
K,9
K,8
K,10
K,10
K,9
K,9
K,9
K,8
K,8
K,10
K,9
K,9
K,12
K,9
K,10
K,9
K,11
K,9
K,7
K,10
K,10
K,10
K,10
K,9
K,10
K,9
K,9
K,10
K,8
K,10
K,11
K,8
K,11
K,10
K,10
K,9
K,10
K,9
K,9
K,10
K,9
K,11
K,9
K,10
K,9
K,8
K,9
K,9
K,9
K,10
K,7
K,9
K,9
K,8
K,7
K,9
K,8
K,9
K,11
K,8
K,10
K,9
K,10
K,8
K,8
K,10
K,10
K,8
K,10
K,10
K,10
K,8
K,9
K,11
K,8
K,9
K,9
K,7
K,8
K,8
K,8
K,8
K,10
K,9
K,9
K,11
K,8
K,11
K,7
K,11
K,9
K,7
K,8
K,9
K,9
K,10
K,7
K,12
K,11
K,9
K,8
K,10
K,9
K,10
K,9
K,8
K,8
K,9
K,11
K,7
K,6
K,10
K,8
K,7
K,10
K,10
K,9
K,9
K,9
K,12
K,8
K,9
K,9
K,8
K,10
K,8
K,8
K,8
K,9
K,9
K,10
K,11
K,9
K,11
K,8
K,10
K,9
K,8
K,8
K,11
K,10
K,10
K,9
K,11
K,8
K,7
K,8
K,9
K,9
K,9
K,9
K,8
K,8
K,9
K,10
K,9
K,7
K,10
K,9
K,7
K,10
K,9
K,8
K,10
K,10
K,11
K,7
K,9
K,8
K,8
K,10
K,10
K,9
K,8
K,9
K,9
K,8
K,10
K,10
K,11
K,9
K,9
K,10
K,7
K,10
K,11
K,9
K,9
K,9
K,11
K,8
K,8
K,10
K,10
K,10
K,9
K,11
K,10
K,9
K,9
K,9
K,10
K,7
K,10
K,7
K,7
K,10
K,10
K,10
K,8
K,9
K,9
K,9
K,9
K,9
K,9
K,11
K,9
K,9
K,9
K,11
K,8
K,8
K,11
K,10
K,10
K,9
K,8
K,8
K,9
K,9
K,10
K,10
K,10
K,9
K,12
K,8
K,8
K,10
K,9
K,9
K,11
K,11
K,11
K,9
K,7
K,8
K,10
K,8
K,10
K,8
K,11
K,10
K,10
K,10
K,10
K,10
K,9
K,8
K,8
K,9
K,9
K,10
K,10
K,8
K,8
K,10
K,7
K,8
K,9
K,9
K,10
K,10
K,8
K,10
K,10
K,7
K,10
K,10
K,10
K,9
K,12
K,9
K,9
K,8
K,11
K,9
K,10
K,11
K,10
K,10
K,7
K,8
K,9
K,8
K,10
K,10
K,8
K,8
K,9
K,10
K,9
K,10
K,11
K,8
K,7
K,9
K,10
K,9
K,11
K,8
K,9
K,10
K,8
K,10
K,8
K,8
K,9
K,8
K,9
K,10
K,7
K,9
K,10
K,10
K,8
K,10
K,10
K,9
K,9
K,7
K,10
K,10
K,9
K,11
K,9
K,10
K,7
K,10
K,9
K,7
K,10
K,9
K,8
K,11
K,8
K,10
K,9
K,8
K,10
K,8
K,8
K,8
K,10
K,10
K,9
K,8
K,10
K,11
K,9
K,12
K,8
K,7
K,10
K,10
K,9
K,10
K,7
K,8
K,10
K,8
K,10
K,10
K,9
K,9
K,9
K,7
K,10
K,9
K,9
K,11
K,8
K,9
K,8
