Mode_Index,Frequency_cm-1,Type,Participation_Ratio
0,110.65362113814872j,Real,0.005568080370274218
1,104.19166452561478j,Real,0.01206932187143932
2,93.450747430998j,Real,0.021391763503739523
3,83.11035422581045j,Real,0.023373202416350897
4,79.42894210233412j,Real,0.017085954267340563
5,75.29997085388514j,Real,0.017048199986184003
6,73.17363284148477j,Real,0.01774924224381939
7,71.42949203129025j,Real,0.035407620309702875
8,69.7226021743808j,Real,0.03607849340202092
9,67.7126069168802j,Real,0.04729009973246714
10,67.1497833701679j,Real,0.07357480039752852
11,63.68669920827607j,Real,0.019720435567085377
12,62.1934437126952j,Real,0.028004872875872677
13,61.229966320116304j,Real,0.02016328215390239
14,58.13454906619239j,Real,0.041851333386515824
15,56.81356506097047j,Real,0.009484450217564043
16,55.75799158088854j,Real,0.0368925195586517
17,55.2571265492362j,Real,0.07081225590681693
18,53.602531642487335j,Real,0.08424160762070056
19,52.678082616777516j,Real,0.07407487755808162
20,52.376228216143545j,Real,0.07303142691760937
21,51.09541398398888j,Real,0.025744277218578287
22,49.885355435812976j,Real,0.07389233361402872
23,49.10426097321108j,Real,0.18925475402537403
24,48.7461769950325j,Real,0.08607895869708553
25,47.52126307923925j,Real,0.06806951049416746
26,46.84257577744847j,Real,0.07424316034397062
27,45.394986210124216j,Real,0.10936507825228955
28,45.1289895573845j,Real,0.0655512741497461
29,44.466832349219395j,Real,0.1419133981426092
30,42.31366832369306j,Real,0.1683365172721888
31,41.70926908752566j,Real,0.13272224748523495
32,41.04136457232215j,Real,0.12032964456838367
33,39.98382955322587j,Real,0.1459682445445161
34,39.45682340445478j,Real,0.12539490845511983
35,38.3772866165029j,Real,0.12662783956115092
36,37.77526674623571j,Real,0.07799976349296794
37,37.502605055512696j,Real,0.13027186342565894
38,35.58648705411289j,Real,0.1363541397164658
39,34.67202680916084j,Real,0.2624947120459774
40,34.500297613496656j,Real,0.1321544416107629
41,33.88449201632445j,Real,0.24433634120967757
42,33.29700893128697j,Real,0.1863005361134623
43,32.31493250854051j,Real,0.21621600601958244
44,32.11554805572542j,Real,0.12824615624450486
45,30.588245175656407j,Real,0.05228674805462978
46,29.45692893026445j,Real,0.22370082591685236
47,29.167496426308375j,Real,0.15340328558454738
48,28.203831742966965j,Real,0.22066184341840608
49,27.612925911340447j,Real,0.13586690354542968
50,27.00066179092819j,Real,0.12250572517489486
51,26.30939841129415j,Real,0.26988238360142636
52,26.15610047265381j,Real,0.28496253052129256
53,25.400528318888284j,Real,0.2663176453611659
54,24.920727979534544j,Real,0.2701968668934151
55,23.90727939867674j,Real,0.24954840404901457
56,23.480487936591345j,Real,0.3034939653616684
57,22.46299325110404j,Real,0.27764749360386065
58,21.610632241557223j,Real,0.26802206128482486
59,21.37589677076104j,Real,0.27914270875688535
60,20.271690974296092j,Real,0.1462993499911405
61,19.617516910997498j,Real,0.27632657611595757
62,18.653210030890694j,Real,0.2645739886086482
63,18.396983594580952j,Real,0.29852138977246934
64,17.52854897979838j,Real,0.3353389310472633
65,16.223603511504702j,Real,0.3642899121479327
66,15.365230142696703j,Real,0.2037373682343729
67,14.781226214731104j,Real,0.27246655812284487
68,13.846845391815277j,Real,0.29319156265366864
69,12.217532969872961j,Real,0.24214960139517444
70,11.263156349320628j,Real,0.36241379443779526
71,10.168252501727418j,Real,0.35136003781397573
72,8.44189472194855j,Real,0.40777089740944655
73,5.315864143980574j,Real,0.28354974549898093
74,3.5585683458580273j,Real,0.37658056109152693
75,0.18070169157654792j,Real,0.9999837720201066
76,0.075936966098798j,Real,0.9999933058506443
77,(0.23278703676265114+0j),Real,0.9999853823229152
78,(4.863434782562846+0j),Real,0.37639808696624366
79,(7.742417324865837+0j),Real,0.43502686018976217
80,(8.421853096357012+0j),Real,0.3621430977410578
81,(8.790666446752486+0j),Real,0.39340521260701433
82,(10.591872413055368+0j),Real,0.3531932234640704
83,(12.17720928123986+0j),Real,0.372387634455664
84,(13.779903714717863+0j),Real,0.4106895414310008
85,(14.505218829160786+0j),Real,0.4580580280711761
86,(14.892246791258918+0j),Real,0.423961894935475
87,(15.790041977834976+0j),Real,0.44399715005746204
88,(16.483123773944964+0j),Real,0.5016858019567765
89,(16.672313969689355+0j),Real,0.48695162861340896
90,(17.467822750518526+0j),Real,0.44250823902498365
91,(18.197104946443897+0j),Real,0.5298480023812349
92,(18.949861668451526+0j),Real,0.42011358184203074
93,(18.995161429526952+0j),Real,0.3612335185557002
94,(19.24414508875039+0j),Real,0.4597940677962109
95,(20.159708084268505+0j),Real,0.38601819749830746
96,(20.329964980417564+0j),Real,0.4242562174735675
97,(21.545636489668524+0j),Real,0.3484938563807997
98,(21.947078756676053+0j),Real,0.48404704564726825
99,(22.13691862052572+0j),Real,0.5329675955148615
100,(22.574032562667867+0j),Real,0.36348531693808117
101,(23.312041464164356+0j),Real,0.5278624495762069
102,(23.85021534190302+0j),Real,0.38674273962125283
103,(24.205662373710403+0j),Real,0.4700666417188737
104,(24.678179167225764+0j),Real,0.4480964014461553
105,(24.995821269122313+0j),Real,0.48189930837165207
106,(25.66110962043688+0j),Real,0.364706939820838
107,(26.074763881766707+0j),Real,0.4287901689850177
108,(26.526698105503314+0j),Real,0.4566442855645952
109,(26.892599673140253+0j),Real,0.40948231114883
110,(27.34929336611844+0j),Real,0.44197764684484564
111,(27.485628684566027+0j),Real,0.4877019388000735
112,(27.9056233555064+0j),Real,0.4890384127577943
113,(28.212994281804498+0j),Real,0.45053849232621157
114,(28.820368101450963+0j),Real,0.5277005665341381
115,(29.459528746317176+0j),Real,0.38322847611674965
116,(29.848898846873926+0j),Real,0.2751848116288517
117,(30.602578979395307+0j),Real,0.35249526164317135
118,(30.80184229607483+0j),Real,0.46374418161561964
119,(31.19953218211504+0j),Real,0.45128179886616615
120,(31.64714663724095+0j),Real,0.4536126909190017
121,(31.69662075921126+0j),Real,0.49153729033935784
122,(32.00819822570232+0j),Real,0.35569484410854924
123,(32.50964843283155+0j),Real,0.461601796222033
124,(33.036297216107286+0j),Real,0.42777853871532145
125,(33.205451350657206+0j),Real,0.46915670309767254
126,(33.812874867473745+0j),Real,0.474689756648351
127,(33.9993965178018+0j),Real,0.3571213780673769
128,(34.34416963220105+0j),Real,0.42933041147015805
129,(34.71386762351777+0j),Real,0.39586288283921267
130,(35.18564244442037+0j),Real,0.4649732850783869
131,(35.65261538735097+0j),Real,0.43319602479204145
132,(36.17560132213472+0j),Real,0.4829467755715715
133,(36.32353401357945+0j),Real,0.23791232966488254
134,(36.63562028326513+0j),Real,0.3688411412354315
135,(36.763172822967945+0j),Real,0.5021481843195674
136,(37.25740086689836+0j),Real,0.4210331543977099
137,(37.714930324439564+0j),Real,0.47590525870371636
138,(37.7946564777703+0j),Real,0.42007024933427917
139,(38.49833372314918+0j),Real,0.48524443621431756
140,(38.62727208140512+0j),Real,0.501216753460619
141,(39.16321130803202+0j),Real,0.37445149472716305
142,(39.54211504596802+0j),Real,0.4075819661965506
143,(39.620369176934375+0j),Real,0.35436963208711064
144,(39.997976638519866+0j),Real,0.4442332830489642
145,(40.470050251616755+0j),Real,0.5009178747117944
146,(40.7903428098447+0j),Real,0.37980446164674414
147,(41.03222715754952+0j),Real,0.499287745067706
148,(41.19095600056209+0j),Real,0.4748088671841289
149,(41.47416904564498+0j),Real,0.4799954520270273
150,(41.65023552839478+0j),Real,0.4436180196780831
151,(41.766642623505355+0j),Real,0.4184137265687856
152,(42.18670993599502+0j),Real,0.4207180123519563
153,(42.78738113875862+0j),Real,0.4184828042123553
154,(43.216857019301756+0j),Real,0.41650969362612145
155,(43.70286679899926+0j),Real,0.49176179752351584
156,(43.71449417240991+0j),Real,0.4490742021439854
157,(43.8376626651247+0j),Real,0.45944650116492125
158,(44.39847347922167+0j),Real,0.43318369925671624
159,(44.64691657631269+0j),Real,0.38173930399633793
160,(45.138386860293004+0j),Real,0.45460977413925674
161,(45.448850560660816+0j),Real,0.3939917633134775
162,(45.74083972103712+0j),Real,0.4166445551513669
163,(46.06965729569066+0j),Real,0.3248101251024475
164,(46.16280122154416+0j),Real,0.39559444276560524
165,(46.49914213828821+0j),Real,0.34810197957611655
166,(46.96953967662822+0j),Real,0.4274904532286723
167,(47.05257002190904+0j),Real,0.44036345131939086
168,(47.150177541203284+0j),Real,0.4369845538283806
169,(47.7130853911196+0j),Real,0.34407301435650933
170,(47.986533212436925+0j),Real,0.41761669537515334
171,(48.44447483540888+0j),Real,0.5682774646621233
172,(48.849115719601826+0j),Real,0.3433561716114531
173,(49.11922102543103+0j),Real,0.5121242472969663
174,(49.26592537891788+0j),Real,0.38128406689539557
175,(49.44936972054054+0j),Real,0.3632353904498153
176,(49.58993768904016+0j),Real,0.4377149867851381
177,(50.245702113051735+0j),Real,0.4259955447478685
178,(50.51431788086454+0j),Real,0.32240642669074987
179,(50.81190166456423+0j),Real,0.42535914792887564
180,(51.13639585847288+0j),Real,0.4601388182228323
181,(51.294283188198904+0j),Real,0.413073097914347
182,(51.38397416819118+0j),Real,0.42864001508492383
183,(51.93153248987956+0j),Real,0.2934661349020291
184,(52.308538887593514+0j),Real,0.3744077284063251
185,(52.54581782564439+0j),Real,0.35424569141220874
186,(52.746195156710804+0j),Real,0.4108912649220859
187,(52.89084057178966+0j),Real,0.3989614546094378
188,(53.167649046785854+0j),Real,0.44723279722243503
189,(53.483023605711786+0j),Real,0.40436394795441466
190,(53.82599283734487+0j),Real,0.3843799364533006
191,(54.132374352659376+0j),Real,0.4399687512006342
192,(54.41302500702782+0j),Real,0.4336607901999706
193,(54.43829615082435+0j),Real,0.4359387617677803
194,(54.87425060769423+0j),Real,0.4236750546570131
195,(54.96317680854866+0j),Real,0.4238521850325679
196,(55.13087674904834+0j),Real,0.31492122604783684
197,(55.55884371924268+0j),Real,0.46249537869609053
198,(55.84387642592279+0j),Real,0.404725639265408
