Freq_rad_ps,VDOS_K,VDOS_Mg
0.000000000000000000e+00,2.168072970837282495e-02,1.173188094867082081e-02
8.974696910697879670e-02,9.046952713907810070e-03,4.642618396852364604e-03
1.794939382139575934e-01,4.738301595005195606e-03,2.447802795655680454e-03
2.692409073209364179e-01,4.780509682381075751e-03,2.448653696743380292e-03
3.589878764279151868e-01,5.947583586895986013e-03,2.505791659161514702e-03
4.487348455348939558e-01,7.278773458272925351e-03,2.948395540304213618e-03
5.384818146418728357e-01,8.471100768362060246e-03,3.394550878109272446e-03
6.282287837488516047e-01,7.466719026207527601e-03,3.010333207048224071e-03
7.179757528558303736e-01,7.133635246032533905e-03,2.777946515134844824e-03
8.077227219628092536e-01,8.061193837924401223e-03,2.894065427372852304e-03
8.974696910697879115e-01,8.425803366853387016e-03,3.149394660010598496e-03
9.872166601767666805e-01,9.035004889707144021e-03,3.585874610755383513e-03
1.076963629283745671e+00,1.034402893844035658e-02,3.756181023345702471e-03
1.166710598390724440e+00,1.067027450356355239e-02,3.933525075347128058e-03
1.256457567497703209e+00,1.164577788615856445e-02,5.078187396542939609e-03
1.346204536604681978e+00,1.260339489036948341e-02,4.973922556504923286e-03
1.435951505711660747e+00,1.300907036311259313e-02,4.281123540553735847e-03
1.525698474818639516e+00,1.490129751976053407e-02,4.378534413355067954e-03
1.615445443925618507e+00,1.553483263579575821e-02,4.494817705192125958e-03
1.705192413032597054e+00,1.493979337444476321e-02,4.914657287762254356e-03
1.794939382139575823e+00,1.423493802788691580e-02,5.321457006973584827e-03
1.884686351246554592e+00,1.375652078032014308e-02,5.052537431968505410e-03
1.974433320353533361e+00,1.510743453455373406e-02,5.454189134977342583e-03
2.064180289460512352e+00,1.491197438795253093e-02,5.421716279245349969e-03
2.153927258567491343e+00,1.701002518910562852e-02,4.785101273630073399e-03
2.243674227674469890e+00,1.748263754486731325e-02,5.377415967262557349e-03
2.333421196781448881e+00,1.846141743756424952e-02,6.156614899570631884e-03
2.423168165888427428e+00,1.967308562782666900e-02,6.752595878903547288e-03
2.512915134995406419e+00,1.793386671930288778e-02,6.716503712612151115e-03
2.602662104102385410e+00,1.509302117155528894e-02,6.638771910269180253e-03
2.692409073209363957e+00,1.723479483363835052e-02,7.610551202211584404e-03
2.782156042316342948e+00,1.987847631666910322e-02,7.206589635393047429e-03
2.871903011423321495e+00,1.964144840372030257e-02,7.768869461468883367e-03
2.961649980530300041e+00,2.267048353215052672e-02,8.260726047329690000e-03
3.051396949637279032e+00,1.993507769104404387e-02,7.458841982692720508e-03
3.141143918744257579e+00,1.931435996785220779e-02,6.863200461263382381e-03
3.230890887851237014e+00,2.342821699066153368e-02,7.616523429873772039e-03
3.320637856958215117e+00,2.421007778966753274e-02,7.491343029083984487e-03
3.410384826065194108e+00,2.175479482130649941e-02,8.039653812398106156e-03
3.500131795172173543e+00,2.191156130484340700e-02,8.162271880883746611e-03
3.589878764279151646e+00,2.565767900004974067e-02,7.918416737359402005e-03
3.679625733386131081e+00,2.591010717186451734e-02,9.125433342137036219e-03
3.769372702493109184e+00,2.383741204286586590e-02,8.484678347917638114e-03
3.859119671600088175e+00,2.878405511855968921e-02,9.047080635641215757e-03
3.948866640707066722e+00,2.708570122845554290e-02,9.865244727446133288e-03
4.038613609814046157e+00,2.478938819303570795e-02,1.026267858924324525e-02
4.128360578921024704e+00,2.831239799958994510e-02,9.886772261496860892e-03
4.218107548028003251e+00,2.720936600318874660e-02,1.008002293079200001e-02
4.307854517134982686e+00,2.351139988089731570e-02,1.020501786083496260e-02
4.397601486241961233e+00,2.616091735085715811e-02,9.839153940771557666e-03
4.487348455348939780e+00,3.084292513930672955e-02,8.804734873259984981e-03
4.577095424455918327e+00,2.825284384846957209e-02,9.375706876904045181e-03
4.666842393562897762e+00,2.600761549702274716e-02,9.609602518079005118e-03
4.756589362669876309e+00,3.002927694877753281e-02,1.044907685193415849e-02
4.846336331776854855e+00,3.237506110494295375e-02,8.795386081566556116e-03
4.936083300883834291e+00,2.715933194307635495e-02,9.391581483293706678e-03
5.025830269990812837e+00,3.010826902798165172e-02,1.013162881130379514e-02
5.115577239097791384e+00,2.813823195563575769e-02,9.962469724033402516e-03
5.205324208204770819e+00,2.529965935828882781e-02,1.000524646250800301e-02
5.295071177311749366e+00,2.853393904139950657e-02,1.130859766654521668e-02
5.384818146418727913e+00,2.899985852122686364e-02,1.023709641964790605e-02
5.474565115525706460e+00,2.789010665696085509e-02,9.810312416486536083e-03
5.564312084632685895e+00,3.337268373206350724e-02,1.086569664785903833e-02
5.654059053739663554e+00,3.802642762842321084e-02,1.208821276934778435e-02
5.743806022846642989e+00,4.345926871151138682e-02,1.018783699293976039e-02
5.833552991953622424e+00,4.334385884485187496e-02,9.406696439109726859e-03
5.923299961060600083e+00,3.553621449295359114e-02,8.962629697557787309e-03
6.013046930167579518e+00,3.395266729635163655e-02,8.935317464797686363e-03
6.102793899274558065e+00,3.948013656114766901e-02,8.870224410663891251e-03
6.192540868381537500e+00,4.310886832937513985e-02,8.599249380480466359e-03
6.282287837488515159e+00,3.821834254259277863e-02,9.081650998808910719e-03
6.372034806595494594e+00,3.615683522591391086e-02,1.064061486260310663e-02
6.461781775702474029e+00,3.686550168047392911e-02,1.168046810779246707e-02
6.551528744809452576e+00,4.400662576903317802e-02,1.096230501611802910e-02
6.641275713916430234e+00,4.178915536357663552e-02,9.478433309970574899e-03
6.731022683023409670e+00,3.270281036282358944e-02,8.125003262174659152e-03
6.820769652130388216e+00,3.296356900578747279e-02,9.224363778757011315e-03
6.910516621237367652e+00,3.615115301283642474e-02,9.865012289001977991e-03
7.000263590344347087e+00,4.133012863224123229e-02,1.045087087432727650e-02
7.090010559451324745e+00,3.794012259766205153e-02,1.030122522172505391e-02
7.179757528558303292e+00,3.414091389222265183e-02,1.047224867029378052e-02
7.269504497665282727e+00,3.271641940878171340e-02,1.112029193119418516e-02
7.359251466772262162e+00,3.575903816801365154e-02,1.148255284904252903e-02
7.448998435879239821e+00,4.592542009639524053e-02,1.110567077437205064e-02
7.538745404986218368e+00,4.735436172577681818e-02,1.098819435633325604e-02
7.628492374093197803e+00,4.706669748700822997e-02,1.054842735317262567e-02
7.718239343200176350e+00,4.503441764561075256e-02,1.003276196522891878e-02
7.807986312307155785e+00,3.945606820510830920e-02,9.987363554874850030e-03
7.897733281414133444e+00,4.084729632606286936e-02,1.017324888713943068e-02
7.987480250521112879e+00,3.513051396290754746e-02,1.065322629232305640e-02
8.077227219628092314e+00,3.716911732884414094e-02,9.965717706758478803e-03
8.166974188735069973e+00,3.969623199595988250e-02,9.599818521488329495e-03
8.256721157842049408e+00,4.030838092422378560e-02,9.962824129196697076e-03
