Cation,Angle_deg
Na,104.04
Na,106.40
Na,51.41
Na,93.13
Na,177.27
Na,105.35
Na,58.12
Na,94.50
Na,76.31
Na,157.89
Na,77.81
Na,80.19
Na,66.27
Na,150.79
Na,93.87
Na,75.31
Na,148.15
Na,67.45
Na,104.99
Na,127.75
Na,58.53
Na,83.58
Na,84.60
Na,81.92
Na,135.73
Na,72.87
Na,124.60
Na,134.62
Na,75.84
Na,58.64
Na,81.61
Na,176.48
Na,67.25
Na,90.54
Na,64.80
Na,65.17
Na,107.66
Na,118.90
Na,145.48
Na,121.61
Na,122.85
Na,122.87
Na,80.96
Na,99.50
Na,62.73
Na,144.93
Na,110.23
Na,86.65
Na,82.66
Na,59.03
Na,123.74
Na,114.44
Na,142.01
Na,64.15
Na,96.42
Na,59.76
Na,96.42
Na,164.18
Na,132.64
Na,97.31
Na,64.92
Na,106.91
Na,75.01
Na,92.98
Na,166.26
Na,119.03
Na,86.75
Na,62.08
Na,91.53
Na,130.83
Na,60.00
Na,77.93
Na,69.96
Na,119.93
Na,67.79
Na,88.91
Na,152.98
Na,146.99
Na,86.97
Na,60.20
Na,124.15
Na,103.01
Na,75.77
Na,147.92
Na,86.42
Na,73.98
Na,134.20
Na,97.60
Na,137.62
Na,79.17
Na,83.92
Na,109.33
Na,121.55
Na,151.46
Na,91.91
Na,131.20
Na,88.68
Na,62.67
Na,90.91
Na,102.73
Na,84.62
Na,59.57
Na,65.85
Na,119.62
Na,107.90
Na,175.08
Na,75.20
Na,58.78
Na,65.96
Na,124.00
Na,101.30
Na,80.56
Na,169.28
Na,52.10
Na,65.66
Na,103.61
Na,128.98
Na,131.13
Na,86.06
Na,52.86
Na,137.54
Na,115.46
Na,97.52
Na,135.75
Na,66.47
Na,114.21
Na,73.49
Na,92.93
Na,71.67
Na,139.79
Na,110.86
Na,157.14
Na,79.18
Na,70.29
Na,120.36
Na,124.73
Na,129.85
Na,78.42
Na,61.99
Na,137.07
Na,76.21
Na,107.75
Na,77.96
Na,87.33
Na,84.85
Na,75.37
Na,99.46
Na,135.45
Na,154.76
Na,83.45
Na,83.31
Na,125.94
Na,117.42
Na,74.40
Na,74.57
Na,166.00
Na,79.82
Na,111.87
Na,104.09
Na,96.95
Na,160.59
Na,121.01
Na,63.64
Na,80.95
Na,83.31
Na,90.66
Na,71.65
Na,133.20
Na,58.01
Na,121.44
Na,159.60
Na,101.97
Na,95.35
Na,133.24
Na,147.52
Na,69.40
Na,61.69
Na,99.55
Na,85.35
Na,107.32
Na,131.37
Na,60.06
Na,48.76
Na,74.87
Na,139.89
Na,78.19
Na,105.97
Na,72.19
Na,140.84
Na,63.86
Na,133.38
Na,52.04
Na,60.29
Na,139.47
Na,112.39
Na,67.89
Na,69.26
Na,141.22
Na,68.28
Na,73.71
Na,76.01
Na,141.65
Na,70.48
Na,131.47
Na,124.52
Na,70.42
Na,98.34
Na,143.05
Na,137.03
Na,113.62
Na,90.89
Na,101.61
Na,76.25
Na,72.94
Na,56.27
Na,65.19
Na,57.97
Na,132.72
Na,124.32
Na,149.72
Na,83.91
Na,82.82
Na,112.51
Na,68.09
Na,131.85
Na,118.87
Na,160.20
Na,113.13
Na,85.67
Na,75.75
Na,116.06
Na,141.54
Na,66.33
Na,75.15
Na,73.42
Na,66.56
Na,89.46
Na,126.82
Na,113.66
Na,154.69
Na,63.44
Na,104.18
Na,134.68
Na,77.27
Na,64.33
Na,60.35
Na,91.32
Na,91.84
Na,141.44
Na,68.81
Na,144.99
Na,113.10
Na,120.04
Na,92.87
Na,85.91
Na,68.63
Na,55.52
Na,117.85
Na,134.68
Na,72.73
Na,132.81
Na,64.05
Na,95.29
Na,94.16
Na,141.42
Na,68.19
Na,68.98
Na,114.75
Na,61.93
Na,77.71
Na,93.69
Na,123.88
Na,56.11
Na,140.53
Na,72.01
Na,76.06
Na,88.77
Na,150.56
Na,123.89
Na,127.40
Na,90.13
Na,63.30
Na,102.86
Na,111.83
Na,148.71
Na,64.37
Na,87.63
Na,69.87
Na,53.47
Na,129.90
Na,90.56
Na,138.40
Na,78.42
Na,108.38
Na,160.27
Na,90.36
Na,76.72
Na,92.12
Na,159.17
Na,85.81
Na,90.53
Na,103.46
Na,72.13
Na,118.80
Na,73.16
Na,119.52
Na,155.04
Na,78.81
Na,161.51
Na,136.56
Na,87.60
Na,98.05
Na,89.44
Na,61.61
Na,98.12
Na,65.66
Na,78.97
Na,87.40
Na,123.81
Na,108.54
Na,81.90
Na,159.25
Na,78.19
Na,122.63
Na,140.76
Na,61.23
Na,76.44
Na,60.36
Na,55.24
Na,96.46
Na,171.70
Na,60.97
Na,118.95
Na,71.80
Na,80.53
Na,132.79
Na,99.69
Na,151.85
Na,115.61
Na,69.30
Na,114.27
Na,127.43
Na,64.42
Na,66.71
Na,120.96
Na,98.19
Na,58.21
Na,98.94
Na,69.04
Na,161.55
Na,108.01
Na,90.35
Na,64.57
Na,144.11
Na,76.39
Na,60.85
Na,162.71
Na,103.87
Na,68.38
Na,131.96
Na,119.87
Na,119.96
Na,80.17
Na,94.39
Na,101.03
Na,162.17
Na,69.98
Na,88.20
Na,63.20
Na,120.57
Na,100.32
Na,90.94
Na,100.06
Na,77.11
Na,140.83
Na,73.21
Na,119.16
Na,67.90
Na,99.87
Na,167.55
Na,69.78
Na,101.35
Na,142.87
Na,58.41
Na,126.31
Na,73.62
Na,170.54
Na,93.01
Na,64.27
Na,121.76
Na,95.86
Na,96.20
Na,108.66
Na,60.36
Na,84.36
Na,143.30
Na,90.81
Na,75.90
Na,79.24
Na,131.73
Na,140.92
Na,81.08
Na,111.90
Na,172.72
Na,110.67
Na,73.60
Na,106.12
Na,146.28
Na,92.67
Na,86.85
Na,144.82
Na,86.39
Na,75.39
Na,59.57
Na,67.76
Na,117.08
Na,72.46
Na,110.40
Na,69.55
Na,124.65
Na,140.99
Na,77.85
Na,68.61
Na,158.61
Na,141.08
Na,118.26
Na,115.72
Na,69.37
