Mode_Index,Frequency_cm-1,Type,Participation_Ratio
0,120.79005885552897j,Real,0.006859505110639082
1,84.31553470888318j,Real,0.007827564824424878
2,83.09038470804263j,Real,0.08997347048775715
3,82.4501907694044j,Real,0.034512247184226144
4,80.17112340700848j,Real,0.01211077501487759
5,78.70383208825338j,Real,0.02009229275379269
6,78.02596163350394j,Real,0.022891824603717102
7,77.05589009780441j,Real,0.021175825151297397
8,76.66970899310131j,Real,0.010049146682195724
9,73.95323312448359j,Real,0.038938848980837375
10,72.56644010490555j,Real,0.00958497078630654
11,71.3198003940632j,Real,0.06983567337639535
12,69.55472009152206j,Real,0.036757872131246476
13,69.38722722328458j,Real,0.006940951345261157
14,68.23844213756513j,Real,0.07916341948041382
15,65.71542476604763j,Real,0.10307026930755923
16,64.55172341232412j,Real,0.08397192575457986
17,63.39159023432042j,Real,0.135527822420966
18,62.56141892180395j,Real,0.07230090127455814
19,60.921795988600216j,Real,0.05376063161389292
20,60.04643840800093j,Real,0.21229679249768688
21,59.931404109027014j,Real,0.1368896302567325
22,59.099781924043846j,Real,0.085832015015273
23,58.41467030351107j,Real,0.066052261339971
24,58.13358349191473j,Real,0.16007661740451964
25,57.0510441100243j,Real,0.1391549560549549
26,56.75842888796689j,Real,0.17025284590061954
27,56.05204981268034j,Real,0.03875387945566784
28,55.25335901400313j,Real,0.1560178573090173
29,54.99214374935968j,Real,0.12184620336252211
30,53.69702332686502j,Real,0.14572685483641643
31,53.46295052600363j,Real,0.25698689817883197
32,53.146797250849346j,Real,0.12250181935820416
33,51.80602995918651j,Real,0.19446038107770203
34,51.03685569928692j,Real,0.22196603573083057
35,49.53888083096866j,Real,0.18045765440891914
36,49.161083574751665j,Real,0.22983527857792962
37,48.913408877199934j,Real,0.13042834333472678
38,47.90564994555729j,Real,0.18622929733624932
39,47.056490820226706j,Real,0.19558506297396364
40,46.09523923157364j,Real,0.18677128634979082
41,45.98570661916709j,Real,0.2576187586834363
42,45.60272602283196j,Real,0.08196761743109147
43,44.67168651635477j,Real,0.1914904972828042
44,44.41205751594516j,Real,0.10957926332752219
45,43.53985375006091j,Real,0.2179419251286421
46,43.1221023085733j,Real,0.23049175346619322
47,42.7745622146982j,Real,0.15218966040163576
48,42.215099188430365j,Real,0.1415939138746098
49,42.124139975358595j,Real,0.19077448570913952
50,41.16703193937767j,Real,0.1618052075046663
51,40.97717453393965j,Real,0.18074239732428682
52,39.93256286807206j,Real,0.21367113573654306
53,38.68903010231982j,Real,0.11699025944627374
54,38.65286701326863j,Real,0.16217349778442455
55,37.85892852383102j,Real,0.2801448815478773
56,37.48414100370026j,Real,0.23535546081070788
57,36.671972731471314j,Real,0.13248821074456846
58,35.70704401826222j,Real,0.23801136805963277
59,35.53728047958028j,Real,0.27695578180641073
60,34.72876859201399j,Real,0.17170656198294093
61,33.6777239507344j,Real,0.22631937721887546
62,32.71848416531209j,Real,0.17921560637682987
63,32.52730432926765j,Real,0.17332966622065624
64,32.06629810228722j,Real,0.1934987849816623
65,31.807815907808003j,Real,0.3605843235955508
66,31.230467353790505j,Real,0.32039032615324503
67,30.891596743308487j,Real,0.27375361558070954
68,29.537680848816795j,Real,0.12532399869577174
69,29.02223200333301j,Real,0.24581903356579027
70,27.506115819531377j,Real,0.3523348194288104
71,26.674049772333035j,Real,0.2961457591112307
72,26.089813239105535j,Real,0.2407183275490788
73,25.01054135448008j,Real,0.27366991935873913
74,24.35955629859406j,Real,0.3575616467271257
75,23.51661098688523j,Real,0.21131326868002598
76,22.30340427916071j,Real,0.29717392795999825
77,21.462883734447804j,Real,0.18407380938270126
78,20.73092325645496j,Real,0.1556187984608784
79,20.268263427927494j,Real,0.2588206875454714
80,19.352432116468087j,Real,0.35550092219463303
81,17.168008844510364j,Real,0.40313179666054594
82,15.843559584269848j,Real,0.25778588443478123
83,14.006115178142176j,Real,0.45587329876276717
84,13.011932969033152j,Real,0.3064788602537545
85,11.91509089183095j,Real,0.3542944280148596
86,11.351667839133908j,Real,0.3454809765912807
87,9.544478804147689j,Real,0.44897907009299937
88,7.914236192221723j,Real,0.41846063584858045
89,5.2991734565463116j,Real,0.3960321291104811
90,1.7760438494032795j,Real,0.42706395851661316
91,0.21534298704365237j,Real,0.9998971591719981
92,0.11283006840956025j,Real,0.9999373636780544
93,(0.2373960068363361+0j),Real,0.9998045631270913
94,(7.126425897816814+0j),Real,0.2735476559574703
95,(10.6559333667182+0j),Real,0.3647537429180411
96,(11.09064743572302+0j),Real,0.3776251108265513
97,(12.167361616976947+0j),Real,0.3733355288742864
98,(13.49710562999887+0j),Real,0.29134667931074726
99,(14.881588669222657+0j),Real,0.4743958606326406
100,(15.540140855493885+0j),Real,0.42333441318926696
101,(15.895687533933408+0j),Real,0.4777589628332099
102,(16.815109812247293+0j),Real,0.5189170859546911
103,(17.782297686404803+0j),Real,0.40757259408032387
104,(18.398520456270305+0j),Real,0.3698917299829527
105,(19.14189599230074+0j),Real,0.42696565459047353
106,(20.275674066386667+0j),Real,0.40321218543281073
107,(20.832964087283564+0j),Real,0.42593526841822776
108,(21.211549283798806+0j),Real,0.509876742177662
109,(21.50086632262844+0j),Real,0.429172476030717
110,(22.74714581736268+0j),Real,0.4580452731969909
111,(23.57473092240023+0j),Real,0.46578416720566557
112,(24.32050040390571+0j),Real,0.45832031972045945
113,(24.634319168329245+0j),Real,0.5007411403612191
114,(25.151078406716856+0j),Real,0.5183771826210359
115,(25.739704097912398+0j),Real,0.4557118986577151
116,(25.753370519174965+0j),Real,0.5289835472548466
117,(25.949087483377273+0j),Real,0.474935199424736
118,(26.504296238772653+0j),Real,0.4049367957763408
119,(26.985576114751908+0j),Real,0.3337719691764271
120,(27.958482591788343+0j),Real,0.4666100520466409
121,(28.205160292699958+0j),Real,0.4076400738241412
122,(28.808147640498618+0j),Real,0.3400916584160848
123,(29.750458266099294+0j),Real,0.4013208267889369
124,(30.095968743332758+0j),Real,0.40798983852541915
125,(30.47428204771497+0j),Real,0.41032500434302976
126,(31.110011216869434+0j),Real,0.5231614302986894
127,(31.17197253908739+0j),Real,0.4325948816582632
128,(31.47051360742259+0j),Real,0.39242803539110716
129,(32.29462076729234+0j),Real,0.49185387914720313
130,(32.83802016383886+0j),Real,0.41255375924588983
131,(33.29066743948236+0j),Real,0.4568349540452049
132,(33.458936054226704+0j),Real,0.4483494236412436
133,(34.05128664271664+0j),Real,0.40884558134292387
134,(34.30604883327038+0j),Real,0.437644279469605
135,(34.8298995510431+0j),Real,0.5126191717480759
136,(35.115009461603876+0j),Real,0.48738159414033294
137,(35.52522205488853+0j),Real,0.3814387161870365
138,(35.96322093992043+0j),Real,0.4288572395126012
139,(36.547143580684434+0j),Real,0.4360795912318603
140,(36.61113920908485+0j),Real,0.437620816291321
141,(37.16535428882487+0j),Real,0.4248705269371643
142,(37.49674818538983+0j),Real,0.40081243247451487
143,(37.74343254602346+0j),Real,0.4431042007839672
144,(37.891399966484194+0j),Real,0.42250658896517834
145,(38.61189429912854+0j),Real,0.4079103190751386
146,(38.77243178928459+0j),Real,0.3239314689708974
147,(39.13111425464615+0j),Real,0.45333908701809617
148,(39.38166558738704+0j),Real,0.3882912139859326
149,(39.94889112791559+0j),Real,0.3943279714821789
150,(40.175440318220055+0j),Real,0.4620650939846664
151,(40.55158328571241+0j),Real,0.5235338825302801
152,(40.901605593638884+0j),Real,0.4376334427117115
153,(41.377602495069226+0j),Real,0.3848493829807978
154,(42.291094488980455+0j),Real,0.46417214734483936
155,(42.40295511525249+0j),Real,0.35245231676872985
156,(42.77776517972104+0j),Real,0.3924086898155922
157,(42.926124716661086+0j),Real,0.4619377548275466
158,(43.41800133209309+0j),Real,0.37113807669696985
159,(44.17991730315602+0j),Real,0.4605618967452942
160,(44.26852099950113+0j),Real,0.43378836226547207
161,(44.42663046230923+0j),Real,0.4901861111889264
162,(44.71056871545544+0j),Real,0.4520646211789537
163,(44.974950074603456+0j),Real,0.4475242134556168
164,(45.891859037603375+0j),Real,0.4405542527421929
165,(45.98829014432426+0j),Real,0.5046720328142067
166,(46.65291723368688+0j),Real,0.5173874155513989
167,(46.842262228926465+0j),Real,0.4896265380730295
168,(47.59038501971394+0j),Real,0.42280601721413774
169,(47.79670662537734+0j),Real,0.494463013899226
170,(48.08769982191382+0j),Real,0.41777731189013506
171,(48.66038093452882+0j),Real,0.4282621402946243
172,(48.848272861247914+0j),Real,0.48754681342801803
173,(49.05532871176422+0j),Real,0.42878687912253916
174,(49.174733580152164+0j),Real,0.38685828991173576
175,(49.58229828119477+0j),Real,0.4889362941645902
176,(49.92685222774217+0j),Real,0.48810156135755656
177,(50.34154487862751+0j),Real,0.4736213983157374
178,(50.56296461585954+0j),Real,0.5344202509563253
179,(51.099282854017844+0j),Real,0.3254187407561577
180,(51.248413593424424+0j),Real,0.4175702101683033
181,(51.296085925747306+0j),Real,0.4917046414586353
182,(51.78264616623296+0j),Real,0.4183154451042553
183,(52.47799783360239+0j),Real,0.38234192421053553
184,(52.67103303266538+0j),Real,0.46412033018614096
185,(52.92642089306743+0j),Real,0.4079770336108298
186,(53.16089394686238+0j),Real,0.4840493875481546
187,(53.42301080913703+0j),Real,0.4539572409975828
188,(53.631769916985064+0j),Real,0.448692686538343
189,(54.475826691192296+0j),Real,0.41608988840967265
190,(55.17981630459542+0j),Real,0.47049443348660364
191,(55.3452463049608+0j),Real,0.5396701932111063
192,(55.41794332306601+0j),Real,0.4436988411013546
193,(55.86844288183924+0j),Real,0.5487872674342823
194,(56.16187408409777+0j),Real,0.4697385416440757
195,(56.64095731746885+0j),Real,0.4525715776990107
196,(56.80600954630746+0j),Real,0.5088025180846542
197,(56.91929180255122+0j),Real,0.44114510038825894
198,(57.22447148582068+0j),Real,0.4044174714099576
199,(57.91214477030999+0j),Real,0.3603529536567538
200,(58.337857428914546+0j),Real,0.46203068338405623
201,(58.50374540489443+0j),Real,0.4039467476017829
202,(58.797277619113224+0j),Real,0.38123011247622046
203,(59.07335618757343+0j),Real,0.5499309034418914
204,(59.93759573446782+0j),Real,0.47150993314680634
205,(60.112787776204065+0j),Real,0.49243453622718797
206,(60.49107725858698+0j),Real,0.43028366003253504
207,(60.98459819529789+0j),Real,0.508942183940132
208,(61.26147486813885+0j),Real,0.39954049238167094
209,(61.47756533461615+0j),Real,0.49001813791703475
210,(61.88090487848756+0j),Real,0.46319646077102383
211,(62.20385363122854+0j),Real,0.4085893116400975
212,(62.41848204388125+0j),Real,0.4885027418939851
213,(62.76242810865376+0j),Real,0.5009453312790084
214,(62.855424024626956+0j),Real,0.26458922439493066
215,(63.09956108307664+0j),Real,0.3321566791732505
216,(63.52973218835482+0j),Real,0.39887389110246396
217,(63.747644911085956+0j),Real,0.41519699313017866
218,(64.1504616699173+0j),Real,0.4163985762538032
219,(64.68168821056567+0j),Real,0.47908747011980246
220,(64.7945613713852+0j),Real,0.4272976130774934
221,(65.1124167261249+0j),Real,0.47874739639758057
222,(65.45398935951835+0j),Real,0.4421587245603565
223,(65.84705438236597+0j),Real,0.4547822575375097
224,(66.39577661166268+0j),Real,0.4086344204520781
225,(66.50899310170975+0j),Real,0.4413914769823015
226,(66.8539410377918+0j),Real,0.4815580723143893
227,(67.04194801463969+0j),Real,0.484903313540282
228,(67.84870988841489+0j),Real,0.46409218495755683
229,(68.27010468768404+0j),Real,0.4452188093301501
230,(68.51376631530105+0j),Real,0.4598427322234304
231,(68.6468455810225+0j),Real,0.3935376476008552
232,(69.01029564505254+0j),Real,0.5022570891023475
233,(69.25497868259293+0j),Real,0.4605874625467996
234,(69.8925931490428+0j),Real,0.4533511628741865
235,(70.1144660899197+0j),Real,0.4835155248244548
236,(70.32990916574119+0j),Real,0.39649876065352685
237,(70.59236945331453+0j),Real,0.5165449649444432
238,(70.85232930892208+0j),Real,0.44881894789900034
239,(71.14968097626449+0j),Real,0.5064860943574425
240,(71.59469453177616+0j),Real,0.4849254002957056
241,(71.73377953446635+0j),Real,0.5184599423301994
242,(72.21646824411965+0j),Real,0.49458573350265034
243,(72.81629380406365+0j),Real,0.42295478427569144
244,(73.0274275252932+0j),Real,0.4467000546077976
245,(73.19540536921868+0j),Real,0.4739154711260099
246,(73.5517651349214+0j),Real,0.37386810351570265
247,(73.90195302628545+0j),Real,0.39225635543453474
248,(74.17231476144543+0j),Real,0.497229142679102
249,(74.65242044199029+0j),Real,0.4306649283323698
250,(74.94833642913888+0j),Real,0.5057889928805105
251,(74.9850306547728+0j),Real,0.440269106436219
252,(75.55983199999025+0j),Real,0.3911264850390317
253,(75.7560294373918+0j),Real,0.4733826943017937
254,(76.1318835388979+0j),Real,0.3878121373419746
255,(76.54531085367807+0j),Real,0.31953101766109004
256,(76.91082627317637+0j),Real,0.45782513818436066
257,(77.09050261878002+0j),Real,0.4738390379540836
258,(77.65605419510356+0j),Real,0.5033423057689563
259,(77.77830468558822+0j),Real,0.3758584984355168
260,(78.00111029923048+0j),Real,0.39834417544594264
261,(78.52920541206076+0j),Real,0.3759011169288392
262,(78.68006832790473+0j),Real,0.40154887003761824
263,(79.63869003170937+0j),Real,0.4415092834205983
264,(79.84102698496436+0j),Real,0.4500557507434841
265,(80.22664202142577+0j),Real,0.33010283118582984
266,(80.36875921698878+0j),Real,0.5174436815123566
267,(80.59765831532545+0j),Real,0.4312443064629288
268,(80.99900596648014+0j),Real,0.38067994659726073
269,(81.06431968810702+0j),Real,0.39626522564367056
270,(81.12058268005353+0j),Real,0.4013917541375589
271,(81.56527734249343+0j),Real,0.41893438990107484
272,(81.98398058922153+0j),Real,0.36416155391380417
273,(82.370969290293+0j),Real,0.2770187009272995
274,(82.66434371897618+0j),Real,0.4397037576893101
275,(82.74690096050836+0j),Real,0.5104391512255557
276,(82.91997157892841+0j),Real,0.3834614153780762
277,(83.24897110088297+0j),Real,0.3649124994416727
278,(83.64835236213456+0j),Real,0.3823780825119899
279,(84.09833945746749+0j),Real,0.4126138826137738
280,(84.4873505571631+0j),Real,0.3229620996620967
281,(84.83201305953808+0j),Real,0.30866799845912435
282,(85.04256482902542+0j),Real,0.41291268854511204
283,(85.547929552548+0j),Real,0.37623809418039617
284,(85.5490251991727+0j),Real,0.4278204782432099
285,(86.03963242371591+0j),Real,0.4979780550898205
286,(86.33885293247167+0j),Real,0.39019517678831345
287,(86.75431921994057+0j),Real,0.44352515453080055
288,(87.20717259482593+0j),Real,0.3586490992469399
289,(87.50702024134462+0j),Real,0.38926103797640565
290,(87.70027981724948+0j),Real,0.5115988925412698
291,(87.84194261877015+0j),Real,0.3998798403558506
292,(88.05025651080636+0j),Real,0.3624128361904162
293,(88.62140979483658+0j),Real,0.3810808345460572
294,(89.00636981202771+0j),Real,0.42721023095671223
295,(89.15530990042701+0j),Real,0.4582552815502858
296,(89.37188617673146+0j),Real,0.4919513681325758
297,(89.6427859700124+0j),Real,0.41854190357195914
298,(89.99451339629921+0j),Real,0.5095789242807212
299,(90.45742665229984+0j),Real,0.4202483701144704
300,(90.73165584369579+0j),Real,0.44389835549414014
301,(90.8522316943319+0j),Real,0.49189721794784663
302,(91.25606760312711+0j),Real,0.4340740059287238
303,(91.55595283092194+0j),Real,0.3025504263041473
304,(91.87522838399967+0j),Real,0.40548827373027024
305,(92.16185821546101+0j),Real,0.41359562786169946
306,(92.46778328197365+0j),Real,0.38838477235107105
307,(92.7958010291045+0j),Real,0.25749071946345764
308,(93.02421302298931+0j),Real,0.38283532091572686
309,(93.12140497315467+0j),Real,0.33673164963319147
310,(93.34952136135334+0j),Real,0.4591870082566607
311,(94.02023962518781+0j),Real,0.4909531983961641
312,(94.24908988508255+0j),Real,0.3548053928792186
313,(94.39815255023693+0j),Real,0.4268489723332826
314,(94.92706033355118+0j),Real,0.36063852561250687
315,(95.52903002996258+0j),Real,0.3327363561954149
316,(95.56488211434451+0j),Real,0.40451433899612965
317,(95.98851712529931+0j),Real,0.4119751168619425
318,(96.55143511304718+0j),Real,0.46756263297250855
319,(96.72585902933984+0j),Real,0.46432254195382944
320,(97.00224119788889+0j),Real,0.4591667835970037
321,(97.52277140443853+0j),Real,0.4365531292851449
