Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Na_x,J_Na_y,J_Na_z,J_Cl_x,J_Cl_y,J_Cl_z,J_Mg_x,J_Mg_y,J_Mg_z
0,7538.604513934058,-0.001730605,0.0003434497,-0.00033986487,14.291046762482384,-10.276445434994804,-3.3031434075503543,-25.38073229541252,25.28825971451469,-6.720645604633971,12.747255087051862,-6.896438670067329,-4.1765976682491495
5,7538.604513934058,-0.0014744622,0.0003522696,-1.1766025e-05,13.144147601700695,-10.418791337329486,-2.8925366420505756,-22.306856460749202,27.285196938581336,-2.48779655529571,10.8202782653755,-8.751029540914786,-8.820053456684098
10,7538.604513934058,-0.0011610317,0.00043073352,0.00027433824,11.710275572013362,-10.034115433865404,-2.284545532295627,-18.033089152173414,27.865344058518804,2.065339315682001,7.9803829469531475,-9.715852651002098,-13.98118055010679
15,7538.604513934058,-0.0008739699,0.00055689196,0.00046164976,10.106262134702718,-9.085349647064172,-1.5519488511406547,-13.219166874685403,27.436586971533227,5.9232808492717215,4.770474208279017,-10.235861435255249,-18.571718633275005
20,7538.604513934058,-0.000674353,0.0007100289,0.0005424398,8.454069699660923,-7.589132924401959,-0.7891661828678054,-8.49949110450319,26.60422802166296,8.17845349069754,1.7029909606865532,-10.899719193358653,-21.58967358203342
25,7538.604513934058,-0.00058449357,0.00089550926,0.0005409689,6.838252471270555,-5.619075306205225,-0.10713677004128241,-4.29354981523277,25.782450005887323,8.361204251669871,-0.8871330608305596,-12.04799845658916,-22.454453393502327
30,7538.604513934058,-0.00060324895,0.0011375719,0.00048388998,5.298163109401405,-3.3047009093403474,0.3810583876559077,-0.7741725309278307,25.055479421813754,6.416549690436247,-2.8664211533248034,-13.635402449711432,-20.997993866365576
35,7538.604513934058,-0.0007064753,0.0014408561,0.00039890967,3.840559526440705,-0.8232517543562037,0.5825385552038784,2.0860699286532274,24.246699024219662,2.6019284379700895,-4.269060167272722,-15.308071035156072,-17.384853070927477
40,7538.604513934058,-0.0008463419,0.0017624558,0.0003138051,2.449759697373741,1.6289525467239967,0.4481424759674114,4.433024222195011,23.04148689697696,-2.4959868845156423,-5.225214720215913,-16.55506346887622,-12.152541539288057
45,7538.604513934058,-0.0009699483,0.0020263493,0.00024233869,1.0895406464182473,3.888386839675479,-0.014428033895005132,6.399572811286883,21.155603309546233,-7.980914481100479,-5.831544141641383,-16.92861408368397,-6.2050436732589045
50,7538.604513934058,-0.0010455633,0.0021649976,0.00018395351,-0.2926737339008074,5.872023159254571,-0.7487784303753,8.02470660714568,18.47859760200165,-12.894789942919795,-6.074463540949831,-16.235244649788985,-0.5568176755169292
55,7538.604513934058,-0.0010695338,0.0021498597,0.00013946083,-1.7491747739191457,7.581592690703806,-1.6814459348911486,9.319460707770816,15.095904755837658,-16.552983797767723,-5.912716472819478,-14.562121866721172,4.034043738285557
60,7538.604513934058,-0.0010553604,0.0019994138,0.000109093584,-3.303843278212806,9.059118952607482,-2.7628023419215455,10.348013535476241,11.223386328903889,-18.669074111499263,-5.386600840727364,-12.167129683241974,7.2314903645910205
65,7538.604513934058,-0.0010275765,0.0017773978,7.486703e-05,-4.928497991466935,10.333122908607143,-3.987360016091319,11.15425172917055,7.119422820390829,-19.249481919914004,-4.568184509545712,-9.337170101752305,9.036455758994572
70,7538.604513934058,-0.0010198446,0.001574736,1.2992082e-05,-6.545395117410003,11.396978102921016,-5.372207811154571,11.67045667865347,3.0291430279480878,-18.45657803585285,-3.4674923190684366,-6.310745502697572,9.62839945676563
