Mode_Index,Frequency_cm-1,Type,Participation_Ratio
0,160.17432212805136j,Real,0.013660311913753363
1,157.35355318306384j,Real,0.014168284301881258
2,142.76744977864024j,Real,0.010417848545645423
3,133.23777741266818j,Real,0.005852463271815437
4,126.76360499514267j,Real,0.013544867110960389
5,120.69029738214677j,Real,0.013917974363167267
6,116.21600587008983j,Real,0.0172522458806477
7,110.75875367356628j,Real,0.007932138973607361
8,108.2225918815309j,Real,0.016951709114470633
9,106.59556525147279j,Real,0.01934059674374293
10,105.3514961204273j,Real,0.024269943716156567
11,103.46518370424499j,Real,0.018774171434387334
12,99.04963470341309j,Real,0.014249799961962403
13,94.6744971445085j,Real,0.01207373261829742
14,94.085225130591j,Real,0.02769100521312944
15,92.98667257285683j,Real,0.02508932902790011
16,88.2301704488446j,Real,0.018194346316564122
17,86.11735907447527j,Real,0.04341606557555613
18,85.14076673926667j,Real,0.03846255074255685
19,80.09054228659521j,Real,0.023334347182828195
20,77.76452709785806j,Real,0.010828895374069784
21,75.81831581162766j,Real,0.036364997309389295
22,73.73072025158993j,Real,0.14235136093559503
23,72.01581089395376j,Real,0.10414741562722984
24,71.7780015234705j,Real,0.07084256968424844
25,70.32705091748846j,Real,0.09377012470741913
26,69.1447186434442j,Real,0.0658834708114865
27,68.46287100913626j,Real,0.10649030214068006
28,65.17462900425404j,Real,0.08856246490446608
29,64.58653391539445j,Real,0.09236772190567666
30,63.21001939808607j,Real,0.13268871157612985
31,62.57469717394318j,Real,0.08392529782642034
32,61.67924668589559j,Real,0.1144741569191313
33,57.61512816235847j,Real,0.13126414615346238
34,56.327560206166595j,Real,0.1780754972713457
35,55.57385381244191j,Real,0.1854496836533735
36,54.503064974476814j,Real,0.12384219629772791
37,53.71139084227873j,Real,0.10067853028775081
38,52.55135959393923j,Real,0.05716867457482963
39,51.65553694113229j,Real,0.12333517950510715
40,48.58849415401293j,Real,0.18653557699167578
41,47.75005443435201j,Real,0.21899146220985624
42,46.950235535093746j,Real,0.24493448481827418
43,45.1506782871187j,Real,0.13678278088627427
44,44.63429202603075j,Real,0.20287322818665826
45,43.13517098694543j,Real,0.14344685479508687
46,42.48689676801495j,Real,0.26102083055624464
47,42.01117916757175j,Real,0.26474477234534255
48,41.74530680212086j,Real,0.2980663320337843
49,40.43395886123042j,Real,0.18666407016045353
50,39.96331838879889j,Real,0.24128587198472579
51,39.69820084416555j,Real,0.14282839814708745
52,38.91893981016821j,Real,0.27781070290710813
53,38.099495010681565j,Real,0.20224998162002736
54,37.45926199316539j,Real,0.37433835207742805
55,35.97338817704894j,Real,0.29330040443636374
56,35.38500614553156j,Real,0.35465292110332375
57,33.422786948421624j,Real,0.3422284160631822
58,32.905445014436445j,Real,0.2935587492684285
59,31.944523961634644j,Real,0.3552772756589942
60,30.757954121795255j,Real,0.18362137420164892
61,30.527464428308438j,Real,0.3894051742439664
62,30.111868778433426j,Real,0.4037714473915881
63,29.763635919014828j,Real,0.299045218235376
64,28.188293493994028j,Real,0.3406892251887651
65,27.28684808435472j,Real,0.37979127488322995
66,26.775258332188653j,Real,0.3320773159085494
67,25.64844964895865j,Real,0.40650989563921613
68,25.433703798790685j,Real,0.3201275201404885
69,23.869949581567386j,Real,0.4561334266743115
70,22.768966795564705j,Real,0.43008879614809087
71,22.30936158995991j,Real,0.5296443933523348
72,20.61073129564183j,Real,0.2840757721826122
73,19.438049634773336j,Real,0.3968771406237986
74,17.572255891169863j,Real,0.5175542160311121
75,17.110734835069493j,Real,0.48538669761465014
76,15.557520445818248j,Real,0.44668458767362784
77,14.772374751467552j,Real,0.3513822853246515
78,13.117271536464877j,Real,0.4487640848751257
79,11.34597181352885j,Real,0.40513856442461726
80,9.981171935801253j,Real,0.3857279334226522
81,5.41238478808096j,Real,0.5184241737896241
82,0.19512097996181374j,Real,0.9999957532846503
83,(0.08486520760394663+0j),Real,0.9999828717554922
84,(0.22418074037953245+0j),Real,0.9999758776921482
85,(4.985640594945251+0j),Real,0.47449980145269427
86,(6.187300517481488+0j),Real,0.38874552504181137
87,(8.3661973020307+0j),Real,0.3783872369172327
88,(11.610785600679431+0j),Real,0.43462018985117634
89,(13.15834560364637+0j),Real,0.5320177198661851
90,(14.327597359584052+0j),Real,0.5195247144694577
91,(14.966696583075981+0j),Real,0.3987468670617954
92,(16.3107442899989+0j),Real,0.41796915908393506
93,(17.484950065217767+0j),Real,0.49761313675655605
94,(18.182283394245264+0j),Real,0.46209019577400273
95,(18.665102100622846+0j),Real,0.49526103358357315
96,(19.815125139490185+0j),Real,0.49930872364273415
97,(19.949367341230616+0j),Real,0.5139914789677048
98,(21.946546710876547+0j),Real,0.46039475664507473
99,(22.736559319325245+0j),Real,0.5282154087147615
100,(22.917589739887696+0j),Real,0.5330224041437689
101,(23.457925021473685+0j),Real,0.4437800212399882
102,(24.029070830584395+0j),Real,0.43203574141112705
103,(25.012325328973866+0j),Real,0.5170078357720364
104,(26.15325074408947+0j),Real,0.5220883764941646
105,(26.84204370779117+0j),Real,0.46296833078679905
106,(27.490869606977913+0j),Real,0.41150157139562565
107,(27.689369802777108+0j),Real,0.462369546063032
108,(27.948753713541127+0j),Real,0.5471268717907439
109,(28.147746453791108+0j),Real,0.4691157201746117
110,(29.126194557829997+0j),Real,0.5319629243181451
111,(29.751719876941955+0j),Real,0.5009435681799944
112,(30.070469453631794+0j),Real,0.5005275035212517
113,(30.47711086782313+0j),Real,0.5262140360535746
114,(31.087967541888936+0j),Real,0.38326648531669927
115,(31.805875410990847+0j),Real,0.4125810406339811
116,(32.37005341853651+0j),Real,0.4392148361761895
117,(32.85173664776315+0j),Real,0.46455223886687613
118,(33.265756354916384+0j),Real,0.4481285795594511
119,(33.60883686100185+0j),Real,0.5038668312748347
120,(34.17772888854119+0j),Real,0.5544182119457853
121,(34.488588534973076+0j),Real,0.4801753155007332
122,(34.7476475129178+0j),Real,0.5136397901552343
123,(35.61124733521629+0j),Real,0.5008465780847161
124,(35.95707602397613+0j),Real,0.5658738642651218
125,(36.495193948531394+0j),Real,0.495145373872269
126,(36.91232344080552+0j),Real,0.5214052531152946
127,(37.40143824404178+0j),Real,0.4532642086450031
128,(37.96033719600662+0j),Real,0.4878546889462418
129,(38.6560083320801+0j),Real,0.3261199782276478
130,(38.88430765590609+0j),Real,0.4816957775967826
131,(39.48506226467505+0j),Real,0.5734129023360337
132,(39.75705126142198+0j),Real,0.4031997483674889
133,(39.885892465671944+0j),Real,0.4843442811055217
134,(40.31839073436072+0j),Real,0.5381204764259784
135,(40.83047148239348+0j),Real,0.5213880074492429
136,(41.234144050640765+0j),Real,0.5033240530360874
137,(41.68691202297+0j),Real,0.4737005322341786
138,(42.11373765655064+0j),Real,0.571944686485777
139,(42.201013842079156+0j),Real,0.5592396811846099
140,(42.81807270450494+0j),Real,0.5313401368561728
141,(43.445301428275776+0j),Real,0.49231394611565926
142,(43.67220997952199+0j),Real,0.4487960719694464
143,(44.0930715185885+0j),Real,0.4170214346149832
144,(44.665856571641434+0j),Real,0.4388683052993702
145,(44.93684263258539+0j),Real,0.4628205281549056
146,(45.08455034543048+0j),Real,0.36152428083824256
147,(45.56911916864823+0j),Real,0.45808498185548285
148,(45.646100448987006+0j),Real,0.49449166914006415
149,(46.08100429666955+0j),Real,0.5131515158908249
150,(46.755733843140355+0j),Real,0.4545434955651763
151,(47.219819575969815+0j),Real,0.48680740235773906
152,(47.66807415691222+0j),Real,0.48833628634577725
153,(47.88598300956768+0j),Real,0.4333047457462032
154,(48.21122813695247+0j),Real,0.4084515615619708
155,(48.49529013962052+0j),Real,0.47136238611045594
156,(48.618611414374726+0j),Real,0.5702682073571813
157,(49.22758179119297+0j),Real,0.5247343132792619
158,(49.92010016304503+0j),Real,0.45697958824084445
159,(50.440412901346455+0j),Real,0.579446903653787
160,(50.72420017116748+0j),Real,0.3581824758545777
161,(51.112660087281235+0j),Real,0.552166161993087
162,(51.56638431851986+0j),Real,0.46926196098847966
163,(51.92316705733956+0j),Real,0.4769742285833996
164,(52.08864135705258+0j),Real,0.512176486563104
165,(52.5606382123948+0j),Real,0.469835436278429
166,(52.626058694108444+0j),Real,0.5058476187478518
167,(53.330382277748804+0j),Real,0.41732119777969223
168,(53.56658183251919+0j),Real,0.5528790948840512
169,(53.83025953975764+0j),Real,0.4859970611030291
170,(53.85521661789224+0j),Real,0.5117706673463962
171,(54.1050344593511+0j),Real,0.5062408691205048
172,(55.04214021500167+0j),Real,0.4153167652139962
173,(55.31795477650967+0j),Real,0.4706964127248801
174,(55.56294271322108+0j),Real,0.5273533065552191
