Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_K_x,J_K_y,J_K_z,J_Cl_x,J_Cl_y,J_Cl_z,J_Li_x,J_Li_y,J_Li_z
0,6399.309885168727,-0.0017153787,-0.00082408305,-0.00085588975,3.142691481655582,-12.238497799452192,10.96621221654642,19.619562224116713,8.023435616770936,-13.451688878922097,-2.058797730002621,-0.3978480124646566,0.06165339992266228
5,6399.309885168727,-0.0018145313,-0.0010981045,-0.0006188577,3.201939091785695,-13.159635079819664,11.299892519204157,17.12391480907815,8.656426510445957,-9.54901881613473,0.37760218132396917,-0.10970175232838386,-4.174696692361167
10,6399.309885168727,-0.001820998,-0.0013118658,-0.00033905747,3.097383389703184,-14.108509765183657,11.313853267245584,15.18146116112901,9.35291211925119,-5.532913047607463,2.424611728361275,0.1426872984280081,-8.204762859842148
15,6399.309885168727,-0.001689931,-0.0014277132,-4.504518e-05,2.8419544741654112,-15.057617122881014,11.02511579089333,13.822398194776797,10.093605947034806,-2.44252476893048,4.039103633909041,0.3511010447751137,-11.006413568008709
20,6399.309885168727,-0.0014358416,-0.0014181884,0.00023289179,2.467382051096953,-15.979295297098973,10.475718995854557,12.834204405599943,10.549438546101786,-1.249164600534595,5.401870103414044,0.8169465312553621,-11.650376979170785
25,6399.309885168727,-0.0011521697,-0.0012991615,0.0004554222,2.0268936183591872,-16.84648901649113,9.728473346458495,11.934488290916402,10.41530640317001,-2.2528891780165807,6.742074610407403,1.8182725696556536,-9.899406872409697
30,6399.309885168727,-0.0009608276,-0.0010903062,0.0005950081,1.5965628204711697,-17.629961350667752,8.854290676174976,10.943489763437453,9.589817960657683,-4.403215024605693,8.16340396463173,3.4272332689966225,-6.874898336536814
35,6399.309885168727,-0.00086605165,-0.00083134655,0.0006709381,1.2643860342167468,-18.2989931717663,7.914176524636791,9.906335038826997,8.169307034853993,-6.06006047357182,9.532735141548333,5.516775833146801,-4.277938481609553
40,6399.309885168727,-0.00073247025,-0.0005700939,0.000725519,1.1078088294842896,-18.824531568666018,6.945843855135541,8.926315348489057,6.566003557904196,-6.6491282646347365,10.669332138682229,7.645617673212237,-2.720538066991238
45,6399.309885168727,-0.0005070737,-0.00033322495,0.0007740299,1.168397680997165,-19.182406262095057,5.963330698612486,8.05835945113641,5.286379094550505,-6.230677479663381,11.476699296739106,9.2831167795471,-2.1564757535526122
50,6399.309885168727,-0.00033273868,-0.0001807834,0.0008291968,1.43719313171359,-19.358901217682316,4.970069406981571,7.333905365675575,4.572204914011533,-4.969557107786339,11.93235784881589,10.173785529967546,-2.4243345150990616
55,6399.309885168727,-0.00039005512,-0.00017391743,0.0009172796,1.8561562043459139,-19.36169143983777,3.9732522796550764,6.881630691271399,4.630927188228049,-3.433343573258708,11.965669039539797,10.117853410129587,-2.9637307851900085
60,6399.309885168727,-0.00062810956,-0.00025977302,0.0010255619,2.334777205206498,-19.228089334562515,2.9916277838131116,6.942602139065551,5.556725472567677,-2.336818229572555,11.42607688998877,9.058452734776921,-3.078631732340099
65,6399.309885168727,-0.0008895226,-0.00030230297,0.0011544419,2.77853315888105,-19.019273066359958,2.0560428233295722,7.4923474948465,6.930052732844391,-2.0278126805369086,10.432575725504002,7.4763091862064694,-2.452052188837214
70,6399.309885168727,-0.0010654631,-0.00023316822,0.0013198167,3.1189650514997034,-18.800032700824588,1.2041762981318795,8.292694129498257,8.128429879892114,-2.5290014074761986,9.291797135917738,6.058691656430292,-1.0989969357452618
75,6399.309885168727,-0.0011463622,-9.2112634e-05,0.0014873312,3.330223867705076,-18.617805814288356,0.474156181466479,9.421117341234185,8.891232722332692,-3.535839289821479,7.95211506823151,5.113661693258826,0.6378611228882529
80,6399.309885168727,-0.0011850413,8.002768e-05,0.0016005442,3.42695475933478,-18.494796224321973,-0.10405784274893293,11.097788921725714,9.564267369608618,-4.5815701159317115,6.178712822654494,4.3176173540607925,2.261806002106723
85,6399.309885168727,-0.0012006732,0.00027990786,0.0016306881,3.4504751069679456,-18.432498798664867,-0.5181030926466885,13.139965816751191,10.637579027873702,-5.377461985766743,4.113015483698551,3.182008359469627,3.471743110947401
90,6399.309885168727,-0.0011698302,0.00047203316,0.0016047558,3.453275947757806,-18.41880073418786,-0.7773451870159436,14.953023034490892,12.124441339362644,-5.732118236572162,2.2971574039595763,1.6814478929493717,4.085641289261176
