Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z,J_Li_x,J_Li_y,J_Li_z
0,6841.235048438545,-0.0002842152,-0.0005110028,0.00039335538,4.926969978376584,16.573396865198703,-20.4040970322202,10.411331129595263,-15.494067014632446,14.620246303473586,3.7196750345585645,7.859372230689287,6.566065023916928
5,6841.235048438545,-0.00032855597,-0.0006330422,0.00047149812,2.7521455504104972,15.230760122409526,-20.114822841332973,10.509683810759023,-15.39854493899379,16.268383189055648,5.796147116289818,9.106486694776931,4.628654157359017
10,6841.235048438545,-0.00038375528,-0.00084060547,0.0005683156,1.1342911890099634,13.838394045695432,-18.86658327374233,10.542343770340016,-14.87298073133293,17.591843717013298,7.3813415061349446,9.973288556348662,2.0569537682185577
15,6841.235048438545,-0.00047298166,-0.0010549616,0.0006703728,0.4153449854860094,12.705875600073602,-17.52593036974202,10.464137051287915,-13.923044236243143,18.50827272874657,8.178494595395918,10.155870368542919,-0.20012839593076626
20,6841.235048438545,-0.0005427053,-0.0011994783,0.00075806765,0.6832958913076483,11.928840045487311,-16.53335471470553,10.260338748474826,-12.55951547279706,18.95610640996373,8.114341876386776,9.569377218273685,-1.6405376762250277
25,6841.235048438545,-0.00053995044,-0.0012640934,0.00075002527,1.664821284728828,11.469107331303642,-15.720017185871837,9.951071017818984,-10.809719221852855,18.916165928278396,7.442084219176637,8.279313711881214,-2.41393484582935
30,6841.235048438545,-0.0004222506,-0.0012410906,0.0006421223,2.7293221615512477,10.982721304888718,-14.833249805553928,9.594382175020408,-8.729720681451859,18.43057648711173,6.734272315979057,6.685701210032377,-2.8151126496259495
35,6841.235048438545,-0.00021263259,-0.0012123709,0.00045995225,3.3347980981018956,10.05347259301047,-13.806427803790802,9.280638560382366,-6.402111097185479,17.600645322834943,6.4425399252768205,5.287340442536944,-3.0120035343307228
40,6841.235048438545,-3.4888348e-05,-0.0012974349,0.00023830931,3.4149621293257257,8.637512484922214,-12.636205889460916,9.111094714745134,-3.9190417122928896,16.560899179612797,6.531919688281947,4.220231053553718,-3.1424791658091964
45,6841.235048438545,-9.830714e-06,-0.0014685248,1.6168126e-05,3.15539423233606,6.7295314360043035,-11.626777235696716,9.163815032711431,-1.3656315221935085,15.444211730582797,6.738767282066862,3.574801944250495,-3.035220208624229
50,6841.235048438545,-0.0001627596,-0.0015878332,-0.00019949512,3.00217541515924,4.218326767483492,-11.198165234096313,9.461709316287601,1.1836987460072113,14.353716086351405,6.594092088261265,3.536676156621681,-2.3733364783429662
55,6841.235048438545,-0.00037682374,-0.0015982381,-0.00034618253,3.5130310752200096,1.1205155229170916,-11.385234588689718,9.958542315280946,3.6606262585599323,13.346352449044652,5.586403022350156,4.157560217714192,-1.1789037509616138
60,6841.235048438545,-0.00050220045,-0.0015489551,-0.00035019423,4.795907864622514,-2.166398940870887,-11.898437239074928,10.552660345193297,6.001099051424535,12.425452402331448,3.709408415232235,5.104002079776974,0.2551989231114598
65,6841.235048438545,-0.00046922092,-0.0014561112,-0.00022198453,6.433650209189021,-4.989339232278465,-12.38391253962423,11.127013521740745,8.148192555213246,11.547233584181104,1.4973130116686542,5.77984881741183,1.6188926133590607
70,6841.235048438545,-0.0002971005,-0.0012993491,1.4262193e-05,7.754895790684549,-6.766183622553539,-12.594673759753144,11.599552487494956,10.056706710622892,10.650184491060518,-0.29647157534965407,5.648179061925175,2.7267030207157976
75,6841.235048438545,-5.369529e-05,-0.0010871064,0.000336235,8.04988422122625,-7.30612494253651,-12.54225430718166,11.957855047533238,11.697343858270688,9.693925613698102,-0.9497628089320758,4.547483319521843,3.630542611205752
80,6841.235048438545,0.0001904016,-0.0008685204,0.00063807075,7.112652022934358,-6.902763688363075,-12.396800925791327,12.257171906782547,13.056982483619144,8.68107035095878,-0.31184736600154217,2.7844836216133184,4.497944739752679
85,6841.235048438545,0.00038506792,-0.00071481103,0.0007878607,5.423598022079033,-6.002054293037101,-12.208209973059502,12.585263831719866,14.134689678182259,7.653060273930043,1.0491146451804383,0.8060672022290163,5.337364042486993
90,6841.235048438545,0.0005104271,-0.00068487827,0.0007573005,3.7002627199470446,-4.831908070978126,-11.816114576946207,13.018078663099667,14.935963269685812,6.67179723338328,2.3396351421815638,-1.1653525854456603,5.9265317864301
95,6841.235048438545,0.00057652715,-0.0007672027,0.00065833173,2.5145305358326553,-3.5033771024856355,-11.042947382227657,13.59026394811074,15.466757337728993,5.803197996967958,2.9531818201421487,-3.0246777316172744,6.021963957446101
100,6841.235048438545,0.0006134758,-0.0008902949,0.0006302306,2.0732582536709927,-2.2028922235396315,-9.882566515747252,14.28872754467441,15.729401314710046,5.107741961496379,2.6959904451796177,-4.587806654483146,5.5570392714252765
105,6841.235048438545,0.000622903,-0.0009864867,0.0007277166,2.3162933221888773,-1.2086121522453546,-8.530122188187171,15.061290561258579,15.724087792423958,4.632921763088837,1.6803924909327046,-5.576773158434961,4.679415211128767
110,6841.235048438545,0.00058836926,-0.0010217704,0.00090533105,2.935824189726712,-0.7989247737870251,-7.276095307270089,15.828071274315084,15.45717788774418,4.403944012822343,0.29408094615063174,-5.719550603149701,3.6543658790360185
115,6841.235048438545,0.0005561712,-0.0009740829,0.001089369,3.4720634298460693,-1.036176258945627,-6.347140402356534,16.49033796689831,14.952676888104907,4.411739061496213,-0.9044248901191283,-4.97779795112031,2.7176161107235783
120,6841.235048438545,0.000578945,-0.0008334233,0.0012427189,3.7092249291491184,-1.6165740102470858,-5.716337858313499,16.943522540882192,14.259135831781172,4.602932677477532,-1.5947710628097536,-3.703859194607802,1.8956200582797145
125,6841.235048438545,0.0006026396,-0.00063707953,0.0013561901,3.7315902792798346,-2.0363462378219523,-5.0916094890502315,17.102082935097073,13.444494492149538,4.883369532083329,-1.7756966280649187,-2.469445310544259,0.9904550210958074
130,6841.235048438545,0.000534711,-0.00046020525,0.0014177199,3.6902396694823154,-2.010160471217337,-4.214208160029617,16.92799601583532,12.580130471244779,5.137613805247987,-1.5602589671016296,-1.6312669178917787,-0.14119045852206602
135,6841.235048438545,0.00035413227,-0.000358252,0.0014265623,3.8255601733427005,-1.6082573664818023,-3.116489876690399,16.44558989998834,11.725070347129808,5.2539472092363795,-1.2131734285776594,-1.1781099210150643,-1.3552422072862433
140,6841.235048438545,9.560729e-05,-0.00032782252,0.0014122075,4.367039024883581,-1.055990213192807,-2.1139088170778324,15.732408793090814,10.922070601963068,5.147537736244578,-1.041471268834369,-0.9273770364346348,-2.251413879023436
145,6841.235048438545,-0.00018504675,-0.00033936917,0.0013903858,5.170147228330334,-0.6124051138823683,-1.512570806640075,14.891548316240671,10.205855440487358,4.778990951025354,-1.0037189826307558,-0.6547470638436862,-2.4842051183027585
150,6841.235048438545,-0.00040898885,-0.00037825113,0.001346658,5.870730386242089,-0.5274570328118893,-1.221832117901873,14.023234059353152,9.612110210954416,4.159681690479068,-0.8359876815066065,-0.14594977456393066,-2.155634615347059
155,6841.235048438545,-0.00052344863,-0.0004022509,0.0013020781,6.366395238680591,-0.868380114052937,-0.8336747804162643,13.206085705063037,9.179627666432495,3.3395854157321656,-0.514504311124268,0.6274560437338299,-1.723695696268384
160,6841.235048438545,-0.00049245526,-0.0003440959,0.0012946756,6.948830009546382,-1.4723476104672066,-0.1135544319325037,12.487988251251613,8.945080960599451,2.386120628016818,-0.378841428695535,1.4659704684342358,-1.4903511196066903
165,6841.235048438545,-0.00025964895,-0.00022234276,0.0013080441,7.900813580802663,-2.0089636236451973,0.788283616221372,11.882908065773544,8.93269990819027,1.364071738706718,-0.7257449139560895,2.0149674710443577,-1.3701401569747182
170,6841.235048438545,0.00012986029,-0.000105160485,0.0013367853,9.126470243625185,-2.05578498078912,1.4020946145071425,11.371189572003667,9.144138638662117,0.3254371097215554,-1.4396830718160465,1.8503498281603896,-0.9453165065247382
175,6841.235048438545,0.00045800194,-4.7476777e-05,0.0014049239,10.39592898973348,-1.3403465779673738,1.3803617067830736,10.904146963555133,9.555346546873626,-0.6850690282656977,-2.2420994170879682,0.7237034551687176,0.08692252311035498
180,6841.235048438545,0.0005648999,-0.00010909611,0.0014682068,11.570832277154807,-0.18195688671484778,1.0780353005763672,10.416625761542699,10.1203831214596,-1.6143630305371846,-2.9294814545555825,-0.9997228175528363,1.3185430277476038
185,6841.235048438545,0.00056965795,-0.00032027604,0.0014589032,12.512879283641773,0.9101310002293772,1.1153704749092093,9.848572953844245,10.773542594618263,-2.394132686436329,-3.303475830382025,-2.7449700144874356,2.06097743181041
190,6841.235048438545,0.0005877231,-0.00060651946,0.0013899405,12.984304119404953,1.8058739511467135,1.6225434628365392,9.164705678223966,11.429436979359522,-2.9536049625888516,-3.0910332846379,-4.296607596408151,2.1132767741359775
195,6841.235048438545,0.0006011966,-0.0008379629,0.0013351076,12.767747829030498,2.52940918661543,2.3314708942632167,8.356311325964244,11.993445321783657,-3.237896025114729,-2.066082471601486,-5.584151201962825,1.6886403736711721
200,6841.235048438545,0.00057031325,-0.0009450263,0.0013517799,11.853917367321683,2.9275471164647584,2.9589781388810614,7.427701753404088,12.382054585493098,-3.216576697311517,-0.22364281953015253,-6.3708983519258755,1.0398139276071228
205,6841.235048438545,0.00048986677,-0.0009346236,0.0014402438,10.605264769683405,2.6755685034723693,3.4497936178219955,6.3833152102970185,12.538805799845065,-2.8837391662539957,2.0693965034024466,-6.275670944001334,0.21616098475302614
210,6841.235048438545,0.0003776481,-0.0008453277,0.001533421,9.623097022868091,1.570244601031935,3.7541295036114377,5.226122811402074,12.434864674575504,-2.2591189921816657,4.208756736146812,-5.066405875536887,-0.7127951099687717
215,6841.235048438545,0.00026333,-0.0006919401,0.0015369364,9.294692013534647,-0.31475514105196023,3.5084630381686246,3.962959334954556,12.061767139954824,-1.3891264338174896,5.800325310739923,-2.808308761408128,-1.3371212151983283
220,6841.235048438545,0.0001958957,-0.0004867364,0.0014077231,9.525437626547557,-2.618836431773752,2.314253124041638,2.6054328532718305,11.426954902192659,-0.3433930694894469,6.927106260149218,0.13058478840552823,-1.1886446048743315
225,6841.235048438545,0.00020956286,-0.00029236625,0.0011890893,9.900585179941181,-4.744264264335152,0.3942642008048225,1.1652448083714058,10.548834049445578,0.7907854981628263,7.992147063663639,3.1341333379082656,-0.40283437871452277
230,6841.235048438545,0.00024843437,-0.00014787214,0.0009824283,10.176740796592696,-6.159784534988512,-1.482186566220013,-0.3476418712871441,9.451584878833092,1.9209719596862325,9.228878096038885,5.646902770603033,0.34342987962687666
235,6841.235048438545,0.00022105186,-4.848135e-05,0.00082838384,10.604855715984797,-6.6656754714846524,-2.8055166359957067,-1.9191302861345525,8.164826117335274,2.9678813174274747,10.372251445021893,7.439552413145561,0.6198506396608203
240,6841.235048438545,0.00011309014,-8.161891e-06,0.0006924645,11.58185733277611,-6.280463139314312,-3.6885102580747917,-3.5239131399184975,6.728276713977538,3.8803612293874377,11.000032914760583,8.490889457749786,0.5903644574786662
245,6841.235048438545,-2.2988464e-05,-5.313893e-05,0.0005664585,13.228567326612449,-5.056874884351279,-4.484554432772974,-5.121652536186068,5.193375415651461,4.6390703959665744,10.951062475920468,8.802202395755144,0.6276991800618479
250,6841.235048438545,-0.00014413547,-0.00019174335,0.00050482573,15.272584806066163,-3.0333585362846183,-5.329613360158226,-6.6567832178161765,3.6199969808338217,5.251558969891141,10.442175830959956,8.352064485642172,0.8602696358097668
255,6841.235048438545,-0.00024676303,-0.00039567868,0.00056336477,17.18382301911724,-0.3102501896968599,-6.099538570273843,-8.06224640232269,2.0696808682230765,5.742360090925706,9.93640019722624,7.179272510964934,1.13939379296013
260,6841.235048438545,-0.00034002433,-0.0006152486,0.00072445767,18.53201690069573,2.930443105314768,-6.609136389630552,-9.26615921663781,0.597871466977085,6.140985979892922,9.792119333351353,5.41038860107305,1.2503658898708303
265,6841.235048438545,-0.00041440513,-0.0008165232,0.0008909544,19.29477757497107,6.464563233542864,-6.747416196634997,-10.198876584717276,-0.7518485304019128,6.472181940238138,9.962076213962051,3.225988824213843,1.0574497759148136
270,6841.235048438545,-0.00045669498,-0.0009809099,0.00094685465,19.86734539625313,10.020534945620605,-6.5696597485696575,-10.799403212714443,-1.9503422096124279,6.75106608805951,9.990034964373978,0.8685108410741549,0.6008091630569317
275,6841.235048438545,-0.0004800381,-0.0010735618,0.00084552617,20.846292427106448,13.325921599372665,-6.33447299904609,-11.021950064035105,-2.9826812119928956,6.9821688773014685,9.233634924365093,-1.4045368251367596,0.1345196942051765
280,6841.235048438545,-0.00049904955,-0.0010719765,0.000678986,22.646724611584702,16.122613430686762,-6.320107181429458,-10.844561606773844,-3.8442654382753947,7.160649481870372,7.255814427879145,-3.339644440862416,-0.05832660820354851
285,6841.235048438545,-0.00050790154,-0.0010358786,0.0006238335,25.008506868359568,18.13560783195644,-6.569942791568144,-10.278926395208622,-4.533731990618612,7.27389817478312,4.328396917071575,-4.663172152061367,0.0782603652982865
