Freq_rad_ps,VDOS_Na,VDOS_K
0.000000000000000000e+00,3.908345255952135749e-02,5.692023240898774761e-02
8.974696910697879670e-02,1.981112743887871591e-02,3.032613710643428800e-02
1.794939382139575934e-01,1.240869571461241522e-02,1.957640174601995783e-02
2.692409073209364179e-01,1.231211248083689813e-02,1.851967126948426967e-02
3.589878764279151868e-01,1.281342659716847368e-02,2.186863064117100519e-02
4.487348455348939558e-01,1.393369628703855327e-02,2.069700890603849708e-02
5.384818146418728357e-01,1.332753100827795134e-02,2.050588013663099535e-02
6.282287837488516047e-01,1.383053590784230798e-02,2.222463018516312311e-02
7.179757528558303736e-01,1.128741020474993868e-02,2.255613665841943102e-02
8.077227219628092536e-01,1.014977361098620516e-02,2.180330939958622857e-02
8.974696910697879115e-01,1.305527361236524797e-02,2.133652575766359707e-02
9.872166601767666805e-01,1.402252846368206435e-02,2.076998774620449767e-02
1.076963629283745671e+00,1.533924902753514181e-02,2.042748561329551377e-02
1.166710598390724440e+00,1.422137000214423498e-02,2.155422162800653407e-02
1.256457567497703209e+00,1.353762248946879972e-02,2.713876116419683057e-02
1.346204536604681978e+00,1.570633305561734694e-02,2.372143606749866490e-02
1.435951505711660747e+00,1.588100353915403509e-02,2.420692359114816339e-02
1.525698474818639516e+00,1.612427527784068143e-02,2.446773429435766117e-02
1.615445443925618507e+00,1.458091407293113199e-02,2.350551502704658832e-02
1.705192413032597054e+00,1.389509068614011404e-02,2.406739417001351952e-02
1.794939382139575823e+00,1.327953428424625583e-02,2.465481975220767952e-02
1.884686351246554592e+00,1.367360077131797233e-02,2.406468198083457771e-02
1.974433320353533361e+00,1.609962547819993733e-02,2.300334343725482858e-02
2.064180289460512352e+00,1.508191861343398041e-02,2.279508102547116860e-02
2.153927258567491343e+00,1.310062991979527199e-02,2.392066270439186654e-02
2.243674227674469890e+00,1.469870333680175709e-02,2.253462363984306757e-02
2.333421196781448881e+00,1.576221870462360397e-02,2.581515594984466408e-02
2.423168165888427428e+00,1.716483328186379706e-02,2.936538257014057254e-02
2.512915134995406419e+00,1.598962784410115287e-02,2.822199894934259573e-02
2.602662104102385410e+00,1.330926211833794413e-02,2.974190362129620208e-02
2.692409073209363957e+00,1.478902990084366743e-02,3.056045116993041239e-02
2.782156042316342948e+00,1.636069351127704061e-02,2.936051951073068850e-02
2.871903011423321495e+00,1.702327942017565349e-02,2.929207018727091050e-02
2.961649980530300041e+00,1.590700647329358966e-02,2.989716711442790345e-02
3.051396949637279032e+00,1.551614305902375077e-02,2.741940602522239742e-02
3.141143918744257579e+00,1.608064596201002477e-02,2.716312220735854835e-02
3.230890887851237014e+00,1.575016981975773528e-02,3.036501146769076537e-02
3.320637856958215117e+00,1.590370625231546375e-02,2.980485675378978516e-02
3.410384826065194108e+00,1.514142825383560723e-02,2.981328641643255298e-02
3.500131795172173543e+00,1.610474899360543263e-02,2.523821250514075160e-02
3.589878764279151646e+00,1.763112060877679993e-02,2.667072187985390294e-02
3.679625733386131081e+00,1.750629176001559234e-02,2.687318984895319465e-02
3.769372702493109184e+00,1.573127816373777813e-02,2.914103327751454281e-02
3.859119671600088175e+00,1.674517295862787067e-02,2.856799430804451631e-02
3.948866640707066722e+00,1.606881823667703074e-02,3.091798538536603275e-02
4.038613609814046157e+00,1.775764017564299829e-02,3.055291869186901182e-02
4.128360578921024704e+00,1.953289264913693132e-02,3.135123757775706843e-02
