Mode_Index,Frequency_cm-1,Type,Participation_Ratio
0,101.1735492703856j,Real,0.008872691923837259
1,95.12568773380275j,Real,0.019692313930975047
2,93.14740194949903j,Real,0.015453937587966787
3,86.16585255033908j,Real,0.015108664242708913
4,84.1480472868911j,Real,0.026887325416852962
5,81.94281190415403j,Real,0.009955589931678204
6,76.50450778365557j,Real,0.027952539645703562
7,75.57119625340678j,Real,0.012897950225862768
8,68.52787674563973j,Real,0.02340072705795916
9,68.12014473095361j,Real,0.04829206862838153
10,64.66991440542388j,Real,0.03613695890637205
11,63.530829374224886j,Real,0.044047949573445856
12,62.607272126858234j,Real,0.07998573897734294
13,62.21351271498798j,Real,0.07975389558967858
14,61.24461393257046j,Real,0.042379818107439245
15,60.80413473298742j,Real,0.0650547353226628
16,59.65692196342035j,Real,0.09458541722622921
17,58.55802536664767j,Real,0.20617202858001357
18,58.17406088870259j,Real,0.14474362392106926
19,56.77619702444627j,Real,0.14149447606569737
20,56.12966466986671j,Real,0.24928131894323663
21,55.23735532794248j,Real,0.20423181711128663
22,54.55865224708045j,Real,0.14303421700667335
23,54.24889051157208j,Real,0.13692124406650455
24,53.02690130569111j,Real,0.17071270881293704
25,52.499116810593144j,Real,0.24040622348072901
26,51.59231899260813j,Real,0.20016282318268527
27,50.54194904949578j,Real,0.23930324889564292
28,50.447250428764285j,Real,0.19010639293544823
29,49.775986772687936j,Real,0.24407249022968533
30,48.89708068684274j,Real,0.20254459939466474
31,48.26321434129256j,Real,0.19124736956716923
32,47.79235107190012j,Real,0.21377734076064744
33,47.64012486357072j,Real,0.1851754218489655
34,46.51563435639481j,Real,0.18757615286058776
35,46.21692792901288j,Real,0.2723182411936701
36,45.665643712516705j,Real,0.2804574572931377
37,45.085233985840595j,Real,0.25569664208507
38,44.671271557491664j,Real,0.3365120939134436
39,43.56408023094425j,Real,0.23447474300001103
40,43.467669237898555j,Real,0.3035176066171744
41,42.91865235301591j,Real,0.2252603073930575
42,42.25281010144738j,Real,0.26880549991950636
43,41.53566198927316j,Real,0.3239552691912382
44,41.24388459469075j,Real,0.2774768152350385
45,40.350852694478384j,Real,0.36539253336495425
46,39.63428718236699j,Real,0.32331587467465495
47,39.02981387464875j,Real,0.4131230580577962
48,38.31964298599977j,Real,0.3556305445387182
49,37.90167098120573j,Real,0.3725497079531405
50,37.57003839536971j,Real,0.3498588361460747
51,36.77028140650169j,Real,0.27983887743705194
52,36.16372371632512j,Real,0.43158823606347757
53,35.70657956914782j,Real,0.38846851193692394
54,34.98242598577127j,Real,0.3608236039914919
55,34.870418980282366j,Real,0.4115565628709333
56,33.957572288403036j,Real,0.43984005202210513
57,33.454544788796454j,Real,0.4196192169089718
58,33.02680828965762j,Real,0.41388358140170217
59,32.383724154394486j,Real,0.38001611063663276
60,31.66361817212189j,Real,0.30777590996287846
61,31.294182896412977j,Real,0.36673216913877427
62,30.788734782269078j,Real,0.3344900815663136
63,29.57939590761961j,Real,0.4346164618780018
64,29.2159674471707j,Real,0.38113965697486113
65,28.758443071872495j,Real,0.5072267286065911
66,28.59741753696087j,Real,0.4519656377998133
67,28.307075373001286j,Real,0.43783450239962673
68,27.094666035306215j,Real,0.3636277884065562
69,26.501895365647435j,Real,0.43983852062828965
70,26.308983134704164j,Real,0.48003678206548356
71,25.279144125629085j,Real,0.5060908740611388
72,24.916765037465236j,Real,0.4522749752562898
73,24.34831844680936j,Real,0.4393703627824886
74,23.422622061863777j,Real,0.4449637212946038
75,23.242932051160977j,Real,0.3857255465754337
76,22.537555570084347j,Real,0.440098883745608
77,21.750057854997348j,Real,0.3742813914313308
78,21.17022592889672j,Real,0.3725500816623991
79,19.669619773553702j,Real,0.5101753163355479
80,19.04036429250974j,Real,0.38403436263032764
81,18.8387824323003j,Real,0.4355624397046181
82,16.906979016225293j,Real,0.5083553061787012
83,15.885377835586164j,Real,0.3825695332364631
84,15.43797557238118j,Real,0.42689651875781753
85,14.401829236556326j,Real,0.5265542974217955
86,12.967592658435814j,Real,0.4994258046651828
87,11.992808326224042j,Real,0.4787538540632378
88,10.560748995685476j,Real,0.5192190323680571
89,6.504033793951264j,Real,0.4754981204368863
90,3.3913806930886587j,Real,0.4465403080686268
91,0.19536271273780328j,Real,0.9999353014508667
92,0.1792931389076033j,Real,0.9997095706791599
93,(0.24533558759176985+0j),Real,0.9997296519209778
94,(1.7951767778750065+0j),Real,0.3948349623873527
95,(5.791821503383095+0j),Real,0.4844926452705929
96,(8.346881499446463+0j),Real,0.4853243419809271
97,(9.892870966374925+0j),Real,0.42517406134419017
98,(10.24608690876843+0j),Real,0.5152925183496383
99,(11.84228422739749+0j),Real,0.33699201801665185
100,(13.383953210221536+0j),Real,0.5019452696438655
101,(14.157299540081503+0j),Real,0.4359019680227348
102,(14.668043647378214+0j),Real,0.5020201140858487
103,(15.465122274159388+0j),Real,0.5623259697160431
104,(16.30532885941783+0j),Real,0.5831122385031443
105,(17.233910715494023+0j),Real,0.4703437855305765
106,(17.570099846770315+0j),Real,0.4804875346552378
107,(18.849993227692238+0j),Real,0.43460310519740875
108,(19.33982134089674+0j),Real,0.4609349439993949
109,(20.342446707874295+0j),Real,0.5580115717225509
110,(20.97311810430384+0j),Real,0.46054521891717065
111,(21.348800662997046+0j),Real,0.5057814506080657
112,(21.853401394649445+0j),Real,0.6212580997844755
113,(22.8705313109083+0j),Real,0.47953621094014365
114,(23.211275060086273+0j),Real,0.502518386901733
115,(23.966781270666633+0j),Real,0.5369387315614857
116,(24.532567556499007+0j),Real,0.49062296850963916
117,(24.8749512050756+0j),Real,0.5503974045056916
118,(25.975323077296725+0j),Real,0.5220885453794996
119,(26.216986376853253+0j),Real,0.4179009956896414
120,(27.087364265645988+0j),Real,0.5511417659820032
121,(27.30614435204946+0j),Real,0.41234723162657394
122,(27.8849131632282+0j),Real,0.538905106545775
123,(28.046254413818865+0j),Real,0.5363555255608465
124,(28.543231053139248+0j),Real,0.44802538788727897
125,(29.074694220101595+0j),Real,0.5381646899577147
126,(29.709841642754572+0j),Real,0.47521470798047705
127,(29.805633371121935+0j),Real,0.5451645992478205
