Mode_Index,Frequency_cm-1,Type,Participation_Ratio
0,134.39066916041062j,Real,0.005815284821750102
1,90.2350117768356j,Real,0.008721216136715643
2,83.86950521409335j,Real,0.011330145678140375
3,80.54165949440687j,Real,0.012705295646981328
4,66.95257821065452j,Real,0.021621143239592234
5,65.88284644784414j,Real,0.013976733294514276
6,63.30227749845301j,Real,0.022071172198205466
7,62.22385942649146j,Real,0.020729424070236698
8,61.422685819504835j,Real,0.018899480320654048
9,60.24452324531167j,Real,0.027413519260425127
10,59.53296790654607j,Real,0.0346411324417654
11,59.142963020710376j,Real,0.05007608938635001
12,58.114713134871785j,Real,0.042108304297648606
13,55.27841930631976j,Real,0.022267456159786155
14,53.63665212951776j,Real,0.035027320315231
15,53.38981188975057j,Real,0.0767038229388858
16,52.55369960222609j,Real,0.03429182010498562
17,52.0414194845856j,Real,0.02286733857995343
18,50.5819284320984j,Real,0.032666587997141734
19,50.33648946018367j,Real,0.025290755066579223
20,48.829994882579776j,Real,0.11937532034099269
21,48.594508469990274j,Real,0.04795557945235614
22,47.662228130957665j,Real,0.08647805731726112
23,46.652446600961866j,Real,0.09191832129396421
24,44.081185871323214j,Real,0.13112394009698863
25,43.63013307427403j,Real,0.046663288537053885
26,41.49128249966606j,Real,0.06685989546757323
27,41.070109019347775j,Real,0.06377711682802974
28,40.42971490493547j,Real,0.1553838683718062
29,39.19477460863482j,Real,0.15110493218887489
30,38.0562822861275j,Real,0.1045478807575482
31,37.38227188325754j,Real,0.17683542804147634
32,36.51825419958759j,Real,0.16230099903983924
33,36.3414242113678j,Real,0.08779571353674678
34,35.765309961029274j,Real,0.05643338494839363
35,34.48664803313055j,Real,0.19974768462451833
36,34.186037702139586j,Real,0.1940556957685668
37,33.583294867078116j,Real,0.2163082380737888
38,32.879058108832j,Real,0.14392479617944887
39,32.30400311372412j,Real,0.24572246493862346
40,31.312436471281234j,Real,0.1590822629911664
41,29.810330968661507j,Real,0.21060143828128514
42,29.527307379340726j,Real,0.3281041598478984
43,28.997293821162344j,Real,0.31460011939153704
44,28.53786088779473j,Real,0.2529636470758644
45,28.207354204621975j,Real,0.2992129103419978
46,26.911072703317j,Real,0.20622118961419988
47,25.35923268482573j,Real,0.4113584998705616
