Step,Volume_A3,P_yz_eV_A3,P_xz_eV_A3,P_xy_eV_A3,J_Mg_x,J_Mg_y,J_Mg_z,J_Cl_x,J_Cl_y,J_Cl_z,J_K_x,J_K_y,J_K_z
0,8314.497774414505,-0.0004100211,-0.0008574319,0.00032386577,7.941085062560221,1.559966102994144,11.653430941624771,-3.9540213513764053,7.16750340940639,-12.606502444081059,1.2892868294351443,-0.047981765333362736,-9.494217182822052
5,8314.497774414505,-0.0003137698,-0.0007811017,0.00053611083,10.993893934955183,1.0331165919674046,10.164476975413942,-6.647079146220612,7.561408074927794,-10.818205236760779,0.929535732792278,0.084963123574882,-9.793560013371042
10,8314.497774414505,-0.00020943907,-0.0007545499,0.0007341678,13.018940395081943,0.36466288217750353,8.0398783815263,-8.414198165229145,8.059984137830224,-8.361267125357408,0.6716080525387911,0.2548409988437488,-10.12589956122023
15,8314.497774414505,-8.326838e-05,-0.0007318573,0.0008908529,13.65135246224533,-0.18972109554627004,5.428076813456805,-8.869680030017598,8.354197626408169,-5.369527948491562,0.4946779722435073,0.5150118407029813,-10.505836962711818
20,8314.497774414505,5.396597e-05,-0.0006618414,0.0009771889,12.817830196875791,-0.48462127001723854,2.7020298498037434,-7.9446058072652965,8.264298579670541,-2.2156534321208543,0.4031261151780142,0.8998109250262578,-10.93366458489303
25,8314.497774414505,0.00016994926,-0.0005150759,0.0009770567,10.829333779696091,-0.568617512162314,0.340335368405299,-5.968529055987281,7.83374370515452,0.6126979994053912,0.4155460330424763,1.4143620039196767,-11.40032184791611
30,8314.497774414505,0.0002441073,-0.00029645764,0.0008888791,8.286709231152843,-0.5893469970428891,-1.3216335501701413,-3.561247067577759,7.237316806824715,2.767201869549641,0.5508884244249133,2.0315184529847565,-11.892856920834964
35,8314.497774414505,0.00027526295,-3.685274e-05,0.0007059434,5.83766835643043,-0.5483346574869978,-2.188219745504234,-1.378117327091721,6.530311830000251,4.138319978800897,0.8167996081432558,2.6975111539452428,-12.397389164617215
40,8314.497774414505,0.00025851917,0.00021796262,0.00041265972,3.9252219364891685,-0.18503015204216844,-2.3166143298794353,0.1493069839171507,5.519345434988685,4.76887555649347,1.2018213255954748,3.3451732393061775,-12.899550079800353
45,8314.497774414505,0.00018099217,0.0004071945,1.9803689e-05,2.6784179088965807,0.777327281208704,-1.8187818292125897,0.9261312492172431,3.990093960185228,4.7550527351680225,1.6718008599476806,3.912067378978689,-13.383559925102709
50,8314.497774414505,4.019203e-05,0.00046358714,-0.00042139678,1.9662316634742352,2.316689812684194,-0.8295736265490132,1.138456479899168,2.0039716251871527,4.213724558013664,2.171662130173347,4.35882706747202,-13.831440160516035
55,8314.497774414505,-0.00014987604,0.00034490152,-0.00084060774,1.5344480782907972,4.127760555613781,0.4901070216956711,1.108728783508988,-0.12798155835621206,3.286615544956761,2.6331735115633292,4.679709175582728,-14.224011818404797
60,8314.497774414505,-0.00036211123,6.2490995e-05,-0.0011672506,1.1649434946987358,5.85014048811397,1.9433844679088494,1.1243167816047088,-2.0684614349898416,2.153465668262755,2.9870899985741213,4.89780926679964,-14.54413921475436
65,8314.497774414505,-0.0005580059,-0.00031505,-0.0013457558,0.7863834301199575,7.242475530296792,3.303891474651259,1.3143133172835113,-3.6093747742066267,1.029472871279097,3.1756534144202684,5.046387788944454,-14.780653438381087
70,8314.497774414505,-0.0006900778,-0.0006808184,-0.0013471658,0.5370756001605215,8.196559729946308,4.351352558566809,1.5779800196233467,-4.665915198397283,0.13204276375793533,3.161294622279131,5.148844029451767,-14.930684568281727
75,8314.497774414505,-0.0007124856,-0.0009330542,-0.0011716839,0.7427596043373964,8.653444165324323,4.906085549891081,1.6033196730041472,-5.184779969565696,-0.35441950927858645,2.9302712121767773,5.210824271449156,-14.998955499778795
80,8314.497774414505,-0.000606029,-0.0010275088,-0.0008499014,1.675570024664256,8.559557341814504,4.847453081552025,1.1086272613866335,-5.106543359223224,-0.3012530177843171,2.492153516413638,5.2264743808952945,-14.99348919636902
85,8314.497774414505,-0.00039723932,-0.0009909628,-0.00044179038,3.2282625948639803,7.89423399111954,4.1639049428422865,0.1725220303961268,-4.404504707560541,0.3074183911481052,1.8755662527846804,5.189759120188907,-14.918612569022638
90,8314.497774414505,-0.00014271202,-0.0008844835,-2.5687474e-05,4.874082581103056,6.706770727429534,2.971505910399223,-0.7176986121011673,-3.128420010322714,1.3493513355938664,1.1199668055769667,5.101137629283358,-14.768146041304654
95,8314.497774414505,0.00010595811,-0.0007517509,0.00032177527,5.973763655928695,5.149714884163108,1.4010086210628785,-0.9621431009185777,-1.4371280080931121,2.6744002170676433,0.2647301888364533,4.966901451670084,-14.52269774289887
100,8314.497774414505,0.00032503693,-0.0005913699,0.0005515686,6.142026756634794,3.49515931575886,-0.5002446589377954,-0.2047683779718934,0.3899963206800461,4.206418961701759,-0.6609078249739317,4.794332935708328,-14.153463157544659
105,8314.497774414505,0.00052234967,-0.00037955397,0.00065729226,5.4478764050648065,2.0550717212449623,-2.6910275999134186,1.4717534506153829,2.0375860085601394,5.875373706200238,-1.6432793466492361,4.5868308823853585,-13.631634750981512
110,8314.497774414505,0.00072038645,-0.0001277,0.0006594854,4.348617029353835,1.0394839897385053,-5.020243628608064,3.611250138320494,3.2987650561586426,7.512352809235864,-2.68351657021229,4.341239795347748,-12.939397656398409
115,8314.497774414505,0.00093216496,0.00010402172,0.00058232655,3.377417162329283,0.526458532802712,-7.244831126957201,5.691191339919045,4.1058149624473765,8.875423522778565,-3.7922578805719094,4.047215397292122,-12.077880772230014
120,8314.497774414505,0.0011530138,0.0002561626,0.00045853175,2.885896292172464,0.5633670503361596,-9.086819774519375,7.37407967726455,4.42840108871821,9.709070981745445,-4.983625565326277,3.6877204543277475,-11.069539567907736
125,8314.497774414505,0.0013655294,0.00029886165,0.0003401488,3.0108489376791727,1.2187013966235778,-10.275594765310364,8.536950537544786,4.21984852488965,9.782550201543621,-6.271449268313049,3.2409386799088225,-9.954243602712335
