Freq_rad_ps,VDOS_K,VDOS_Mg
0.000000000000000000e+00,1.121988978755660525e-02,6.534385548078798685e-03
8.974696910697879670e-02,5.072534621689458664e-03,2.468685987229571940e-03
1.794939382139575934e-01,3.797325748664620148e-03,1.126277834163885933e-03
2.692409073209364179e-01,4.129496509372619466e-03,1.355466095927489525e-03
3.589878764279151868e-01,4.002295500806213671e-03,1.542218103544926253e-03
4.487348455348939558e-01,4.249316115194237339e-03,1.427929412063893948e-03
5.384818146418728357e-01,4.784148790100471380e-03,1.312194354273731696e-03
6.282287837488516047e-01,4.907718546651844600e-03,1.583967341257547538e-03
7.179757528558303736e-01,5.323711993670304961e-03,1.695614551838992706e-03
8.077227219628092536e-01,5.863802896250465760e-03,1.716078410894781095e-03
8.974696910697879115e-01,6.605996042338683170e-03,1.968068518481019737e-03
9.872166601767666805e-01,5.642280816523228756e-03,2.020586247577829762e-03
1.076963629283745671e+00,5.008319917816656669e-03,1.694669895724796845e-03
1.166710598390724440e+00,5.658972277735423162e-03,2.384203730172151578e-03
1.256457567497703209e+00,6.008245675491199166e-03,2.456275784691541730e-03
1.346204536604681978e+00,6.180805522238245857e-03,2.650512615800849816e-03
1.435951505711660747e+00,6.709628449279605306e-03,2.619497038018244947e-03
1.525698474818639516e+00,6.951109798813220018e-03,2.718659191811170685e-03
1.615445443925618507e+00,7.836995550221858772e-03,2.874821729184431646e-03
1.705192413032597054e+00,7.926429284902721667e-03,2.685741343470467949e-03
1.794939382139575823e+00,1.080854565000792522e-02,2.863294278869966351e-03
1.884686351246554592e+00,1.061628906545267551e-02,2.955373262221255414e-03
1.974433320353533361e+00,9.577166440409927081e-03,3.549961533206225615e-03
2.064180289460512352e+00,1.069629422199478742e-02,3.369244369653841796e-03
2.153927258567491343e+00,1.097305171832389792e-02,3.647489010604230020e-03
2.243674227674469890e+00,1.183438003851104529e-02,4.231747810605034597e-03
2.333421196781448881e+00,1.282158688885356480e-02,4.167825220277364059e-03
2.423168165888427428e+00,1.313158087610787755e-02,3.728289120088474403e-03
2.512915134995406419e+00,1.132477834371933834e-02,4.473707816272383397e-03
2.602662104102385410e+00,1.314537517696514821e-02,4.268997260372661869e-03
2.692409073209363957e+00,1.274852602569095245e-02,4.214068754531427423e-03
