C1,C2,A1,B1,A2,B2,A3,B3,T min,T max,Reference
KCl,NaCl,-0.030135058,-1.21E-05,0,0,0,0,945,1303.2,"""Van Artsdalen, E. R.; Yaffe, I. S. Electrical Conductance and Density of Molten Salt Systems: KCl-LiCl, KCl-NaCl and KCl-KI. J. Phys. Chem. 1955, 59 (2), 118-127. https://doi.org/10.1021/j150524a007."""
KCl,MgCl2,0.3931,-4.92E-04,0,0,0,0,723,1213.2,"""Lillebuen, B., Ph.D. Thesis, The Technical University of Norway, Trondheim, Norway, (1969)"""
KCl,UCl3,-2.1219,0.00149087,1.56934,-0.0016887,0,0,863,1500,"""Desyatnik, V. N.; Katyshev, S. F.; Raspopin, S. P.; Chervinskii, Y. F. DENSITY, SURFACE-TENSION AND VISCOSITY OF MELTS OF URANIUM TRICHLORIDE-POTASSIUM-CHLORIDE SYSTEM. Zhurnal Fiz. khimii 1976, 50 (10), 2522-2525."""
KCl,UCl4,-2.333,0.002062,0.5056,2.12E-05,0,0,657,1213.2,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
KCl,KF,0.08214,-7.36E-05,0,0,0,0,962,1310,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
KCl,ZrF4,-1.906,6.93E-04,2.227,-0.001029,0,0,864,1280,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
KF,LiF,-0.05708,2.90E-05,0,0,0,0,1006,1367.5,"""Taniuchi, K.; Kanai, T. Density of Binary Molten Salts of Lithium Fluoride-Potassium Fluoride and Lithium Fluoride-Calcium Fluoride Systems. Denki Kagaku oyobi Kogyo Butsuri Kagaku 1977, 45 (6), 401-404."""
KF,ZrF4,-1.774,5.79E-04,0.9944,-2.61E-04,0,0,933,1310,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
LiCl,KCl,0.076801732,-8.50E-05,0,0,0,0,668,1213.2,"""Van Artsdalen, E. R.; Yaffe, I. S. Electrical Conductance and Density of Molten Salt Systems: KCl-LiCl, KCl-NaCl and KCl-KI. J. Phys. Chem. 1955, 59 (2), 118-127. https://doi.org/10.1021/j150524a007."""
LiCl,UCl3,-1.525,0.0015069,1.321,-0.001584,0,0,766,1300,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
LiCl,UCl4,-1.956,0.001796,1.404,-9.84E-04,0,0,819,1053,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
LiF,BeF2,-0.2616,7.53E-05,0,0,0,0,787.7,1367.5,"""Cantor, S. Density and Viscosity of Several Molten Fluoride Mixtures; Oak Ridge, TN (United States), 1973. https://doi.org/10.2172/4419855. Cantor, S.; Ward, W. T.; Moynihan, C. T. Viscosity and Density in Molten BeF 2 -LiF Solutions. J. Chem. Phys. 1969, 50 (7). Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17."""
LiF,ThF4,1.769,-0.001047,-1.798,8.73E-04,0,0,1020,1651,"""Hill, D. G.; Cantor, S.; Ward, W. T. Molar Volumes in the LiFThF4 System. J. Inorg. Nucl. Chem. 1967, 29 (1), 241-243."""
LiF,UF4,2.219429608,-0.001771493,-2.785316627,0.002645012,0,0,980,1614,"""Porter, B.; Meaker, R. E. Density and Molar Volumes of Binary Fluoride Mixtures. U.S. Dept. of the Interior, Bureau of Mines. 1966."""
LiF,ZrF4,-1.272093482,-4.87E-04,0.734841564,2.31E-04,0,0,943,1367.5,"""Katyshev, S. F.; Artemov, V. V; Desyatnik, V. N. Density and surface tension of melts of zirconium and hafnium fluorides with lithium fluoride. Sov. At. Energy. 1987, 63, 929-930."""
NaCl,LiCl,-0.2435,7.73E-05,0,0,0,0,850,1303.2,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
NaCl,MgCl2,0.38827,-3.18E-04,0,0,0,0,990,1303.2,"""Lillebuen, B., Ph.D. Thesis, The Technical University of Norway, Trondheim, Norway, (1969)"""
NaCl,ThCl4,-0.274401353,3.90E-04,0,0,0,0,670,1303.2,"""Oyamada, R.;  Yoshida, S.;  Kuroda, T. Denki Kagaku Oyobi Kogyo Butsuri Kagaku, 1969, 37, 417"""
NaCl,UCl3,-0.1333,1.44E-04,0,0,0,0,796,1500,"""Parker, S. S.; Long, A.; Lhermitte, C.; Vogel, S.; Monreal, M.; Jackson, J.M. Thermophysical properties of liquid chlorides from 600 to 1600 K: Melt point, enthalpy of fusion, and volumetric expansion. J. Mol. Liq. 2022, 346, 118147."""
NaCl,UCl4,-2.8509,0.00282427,3.02579,-0.0029857,0,0,780,1303.2,"""Ziolek, B.; Bogacz, A. Roczniki Chem. 1970, 44, 665."""
NaCl,NaF,-0.117,1.77E-05,0,0,0,0,1073,1373,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
NaCl,ZrF4,-1.0393,3.57E-04,-0.04282,1.84E-04,0,0,1033,1303,"""Katyshev, Sergey Filippovich. Properties of molten mixtures of alkali metal halides, zirconium, hafnium and uranium. Ural State Technical University, 2001."""
NaF,KF,-0.6499,2.97E-04,0,0,0,0,1050,1373,"""Porter, B.; Meaker, R. E. Density and Molar Volumes of Binary Fluoride Mixtures. U.S. Dept. of the Interior, Bureau of Mines. 1966."""
NaF,LiF,0.005952,-5.25E-05,0,0,0,0,1123.6,1373,"""Janz, G. J.; Gardner, G. L.; Krebs, U. Molten Salts: Volume 4, Part 1, Fluorides and Mixtures Electrical Conductance, Density, Viscosity, and Surface Tension Data. J. Phys. Chem. Ref. Data. 1974, 3 (1)."""
NaF,ThF4,0.4476,-7.62E-04,0,0,0,0,1027,1651,"""Desyatnik, V. N.; Klimenkov, A. A.; Kurbatov, N. N.; Nechaev, A. I.; Raspopin, S. P.; Chervinskii, Y. F. Density and kinematic viscosity of NaF-ThF4 and KF-ThF4 melts. Sov. At. Energy. 1981, 51, 807-810."""
NaF,UF4,-0.1274,-8.07E-04,0,0,0,0,923,1614,"""Blanke, B. C.; Bousquet, E. N.; Jones, L. V.; Murphy, E. L.; Vallee, R. E. Density of Fused Mixtures of Sodium Flouoride, Beryllium Fluoride, and Uranium Fluoride. Mound Laboratory. 1958. Cohen, S. I.; Jones, T. N. A SUMMARY OF DENSITY MEASUREMENTS ON MOLTEN FLUORIDE MIXTURES AND A CORRELATION FOR PREDICTING DENSITIES OF FLUORIDE MIXTURES, ORNL-1702; United States, 1954."""
NaF,ZrF4,-1.2952,3.11E-04,-0.4568,6.65E-04,0,0,953,1373,"""Artemov,V. V.; Katyshev, S. F.; Desyatnik, V. N.Density and Surface Tension of Sodium Halide Melts with Zirconium and Hafnium Tetrafluorides. Zhurnal Fiz. Khimii. 1990, 64 (4), 1113-1115."""
NaF,BeF2,0.009154,-1.06E-04,0,0,0,0,633,1373,"""Blanke, B. C.; Bousquet, E. N.; Jones, L. V.; Murphy, E. L.; Vallee, R. E. Density of Fused Mixtures of Sodium Flouoride, Beryllium Fluoride, and Uranium Fluoride. Mound Laboratory. 1958. Powers, W. D.; Cohen, S. I.; Greene, N. D. Physical Properties of Molten Reactor Fuels and Coolants. Nucl. Sci. Eng. 1963, 17 (2), 200-211. https://doi.org/10.13182/NSE63-5."""
