Cl-Cl,,K-Cl,,K-K,,K-Mg,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
0.02625,0,0.02625,0,0.02625,0,0.02625,0,0.02625,0,0.02625,0
0.07875,0,0.07875,0,0.07875,0,0.07875,0,0.07875,0,0.07875,0
0.13125,0,0.13125,0,0.13125,0,0.13125,0,0.13125,0,0.13125,0
0.18375,0,0.18375,0,0.18375,0,0.18375,0,0.18375,0,0.18375,0
0.23625,0,0.23625,0,0.23625,0,0.23625,0,0.23625,0,0.23625,0
0.28875,0,0.28875,0,0.28875,0,0.28875,0,0.28875,0,0.28875,0
0.34125,0,0.34125,0,0.34125,0,0.34125,0,0.34125,0,0.34125,0
0.39375,0,0.39375,0,0.39375,0,0.39375,0,0.39375,0,0.39375,0
0.44625,0,0.44625,0,0.44625,0,0.44625,0,0.44625,0,0.44625,0
0.49875,0,0.49875,0,0.49875,0,0.49875,0,0.49875,0,0.49875,0
0.55125,0,0.55125,0,0.55125,0,0.55125,0,0.55125,0,0.55125,0
0.60375,0,0.60375,0,0.60375,0,0.60375,0,0.60375,0,0.60375,0
0.65625,0,0.65625,0,0.65625,0,0.65625,0,0.65625,0,0.65625,0
0.70875,0,0.70875,0,0.70875,0,0.70875,0,0.70875,0,0.70875,0
0.76125,0,0.76125,0,0.76125,0,0.76125,0,0.76125,0,0.76125,0
0.81375,0,0.81375,0,0.81375,0,0.81375,0,0.81375,0,0.81375,0
0.86625,0,0.86625,0,0.86625,0,0.86625,0,0.86625,0,0.86625,0
0.91875,0,0.91875,0,0.91875,0,0.91875,0,0.91875,0,0.91875,0
0.97125,0,0.97125,0,0.97125,0,0.97125,0,0.97125,0,0.97125,0
1.02375,0,1.02375,0,1.02375,0,1.02375,0,1.02375,0,1.02375,0
1.07625,0,1.07625,0,1.07625,0,1.07625,0,1.07625,0,1.07625,0
1.12875,0,1.12875,0,1.12875,0,1.12875,0,1.12875,0,1.12875,0
1.18125,0,1.18125,0,1.18125,0,1.18125,0,1.18125,0,1.18125,0
1.23375,0,1.23375,0,1.23375,0,1.23375,0,1.23375,0,1.23375,0
1.28625,0,1.28625,0,1.28625,0,1.28625,0,1.28625,0,1.28625,0
1.33875,0,1.33875,0,1.33875,0,1.33875,0,1.33875,0,1.33875,0
1.39125,0,1.39125,0,1.39125,0,1.39125,0,1.39125,0,1.39125,0
1.44375,0,1.44375,0,1.44375,0,1.44375,0,1.44375,0,1.44375,0
1.49625,0,1.49625,0,1.49625,0,1.49625,0,1.49625,0,1.49625,0
1.54875,0,1.54875,0,1.54875,0,1.54875,0,1.54875,0,1.54875,0
1.60125,0,1.60125,0,1.60125,0,1.60125,0,1.60125,0,1.60125,0
1.65375,0,1.65375,0,1.65375,0,1.65375,0,1.65375,0,1.65375,0
1.70625,0,1.70625,0,1.70625,0,1.70625,0,1.70625,0.000877226,1.70625,0
1.75875,0,1.75875,0,1.75875,0,1.75875,0,1.75875,0.003302558,1.75875,0
1.81125,0,1.81125,0,1.81125,0,1.81125,0,1.81125,0.003113894,1.81125,0
1.86375,0,1.86375,0,1.86375,0,1.86375,0,1.86375,0.004411418,1.86375,0
1.91625,0,1.91625,0,1.91625,0,1.91625,0,1.91625,0.002086511,1.91625,0
1.96875,0,1.96875,0,1.96875,0,1.96875,0,1.96875,0.004612349,1.96875,0
2.02125,0,2.02125,0,2.02125,0,2.02125,0,2.02125,0.013127613,2.02125,0
2.07375,0,2.07375,0,2.07375,0,2.07375,0,2.07375,0.119962731,2.07375,0
2.12625,0,2.12625,0,2.12625,0,2.12625,0,2.12625,0.694275969,2.12625,0
2.17875,0,2.17875,0.000515906,2.17875,0,2.17875,0,2.17875,2.562569985,2.17875,0
2.23125,0,2.23125,0.000245957,2.23125,0,2.23125,0,2.23125,5.776341415,2.23125,0
2.28375,0,2.28375,0.000704338,2.28375,0,2.28375,0,2.28375,9.24716725,2.28375,0
2.33625,0,2.33625,0.000673039,2.33625,0,2.33625,0,2.33625,10.85533743,2.33625,0
2.38875,0,2.38875,0.001072969,2.38875,0,2.38875,0,2.38875,10.15696601,2.38875,0
2.44125,0,2.44125,0.0022601,2.44125,0,2.44125,0,2.44125,8.181654631,2.44125,0
2.49375,0,2.49375,0.005907117,2.49375,0,2.49375,0,2.49375,5.861299832,2.49375,0
2.54625,0.000776753,2.54625,0.020586628,2.54625,0,2.54625,0,2.54625,3.939249583,2.54625,0
2.59875,0,2.59875,0.064547943,2.59875,0,2.59875,0.000740799,2.59875,2.629794899,2.59875,0
2.65125,0.000358224,2.65125,0.178734335,2.65125,0,2.65125,0.000711752,2.65125,1.663742293,2.65125,0
2.70375,0.000516672,2.70375,0.389953164,2.70375,0,2.70375,0.00068438,2.70375,1.112390615,2.70375,0
2.75625,0.001325807,2.75625,0.733554987,2.75625,0.000640264,2.75625,0,2.75625,0.782306622,2.75625,0
2.80875,0.004149304,2.80875,1.176694881,2.80875,0.000616554,2.80875,0.000634169,2.80875,0.54776277,2.80875,0.002723198
2.86125,0.005690083,2.86125,1.713804208,2.86125,0.001188272,2.86125,0.000611111,2.86125,0.4111711,2.86125,0
