F-F,,F-K,,F-Mg,,Mg-Mg,,F-Na,
X,Y,X,Y,X,Y,X,Y,X,Y
2.312327155,0.052277228,1.965755557,0.010799185,1.634986753,0.084559666,1.821895649,0.006886162,1.35762049,0.009233976
2.384257109,0.070277133,2.037685512,0.016146983,1.68212267,0.369362515,1.893825603,0.009233976,1.429550444,0.009233976
2.456187063,0.13132029,2.109615466,0.103459567,1.711821022,0.720882404,1.965755557,0.009233976,1.501480399,0.009233976
2.528117017,0.249493581,2.16192816,0.255441376,1.730348435,1.018167796,2.037685512,0.012364394,1.573410353,0.010016581
2.600046972,0.388014591,2.194623593,0.453440334,1.754636471,1.398021697,2.109615466,0.012364394,1.645340307,0.009233976
2.671976926,0.544535506,2.224049484,0.635513288,1.763043868,1.992494841,2.18154542,0.009233976,1.717270261,0.009233976
2.74390688,0.698708608,2.253475374,0.817012333,1.769440457,2.411047421,2.253475374,0.009233976,1.789200215,0.044451182
2.815836834,0.838533959,2.276362178,1.059489317,1.777575172,2.681741648,2.325405328,0.009233976,1.849686768,0.143098489
2.887766788,0.970272396,2.296633347,1.291922876,1.78251863,3.065304846,2.397335283,0.009233976,1.884016973,0.360036477
2.959696743,1.094706523,2.313961927,1.483226217,1.787331905,3.319874935,2.469265237,0.009233976,1.91017332,0.564491923
3.059417815,1.238118812,2.34938198,1.861528574,1.79239851,3.719562272,2.541195191,0.010016581,1.93959921,0.781142956
3.136252085,1.329487896,2.372268783,2.083918708,1.797211784,3.995039083,2.613125145,0.042103368,1.962486014,1.020750391
3.208182039,1.396009285,2.397335283,2.336439118,1.802135891,4.339385096,2.685055099,0.10392913,1.976654035,1.329800938
3.280111993,1.450791605,2.420875995,2.536733715,1.810270606,4.614861907,2.756985054,0.192363447,1.988642361,1.526508598
3.352041947,1.498530485,2.44310889,2.749654334,1.815214064,4.993642522,2.828915008,0.294102042,2.001720535,1.690072955
3.423971901,1.533747691,2.498691127,3.02656592,1.820027339,5.248212611,2.884497245,0.48701407,2.008259621,1.869993747
3.495901856,1.547051968,2.560812451,3.163130418,1.825093943,5.647899948,2.920462222,0.658326212,2.020683886,2.109744659
3.56783181,1.550182387,2.632742405,3.038696291,1.829907218,5.912308494,2.956427199,0.865794685,2.035505816,2.335004343
3.639761764,1.543138945,2.688324643,2.825697412,1.838029619,6.267722772,2.99566172,1.081728331,2.04585937,2.542329338
3.711691718,1.514182576,2.727559163,2.624828904,1.841512909,6.496928088,3.043978305,1.292196167,2.062907703,2.793517457
3.783621672,1.486791416,2.766793684,2.442612472,1.848051996,6.853110995,3.064322131,1.540138961,2.076920032,3.034313705
3.855551627,1.464095883,2.806028204,2.26613514,1.852722772,7.163022408,3.087862843,1.787781136,2.088908358,3.267608129
3.927481581,1.41400919,2.848532268,2.07408025,1.865800946,7.743491402,3.107480103,2.035710266,2.110432852,3.565682647
3.999411535,1.35922687,2.894305875,1.884689943,1.876076654,8.221886399,3.132328633,2.281917665,2.121385822,3.826309536
4.071341489,1.30444455,2.940079482,1.69775925,1.888103902,8.701818656,3.172217062,2.5272642,2.14376403,4.156690406
4.133462813,1.239194893,2.989122633,1.523280354,1.898496379,9.214340803,3.237607929,2.661559145,2.188084507,4.435036767
4.221740484,1.175314795,3.123173911,1.13696717,1.911574553,9.784971339,3.289920623,2.878784089,2.247078786,4.597709034
4.293670438,1.126010706,3.195103865,0.978881046,1.925048555,10.61582074,3.332424687,3.100969255,2.302518525,4.260831162
4.365600393,1.075141409,3.26703382,0.873229428,1.936108883,11.10038099,3.365120121,3.329303457,2.331944415,4.048412715
4.442616303,1.038924208,3.338963774,0.778534274,1.949407841,11.59478895,3.387353016,3.547389265,2.359969073,3.803189161
4.502921214,1.007837415,3.410893728,0.703404235,1.970594741,11.21957497,3.408278093,3.757440334,2.382949292,3.583545597
4.581390255,0.977315837,3.482823682,0.648621915,1.999758809,10.65813445,3.431665048,4.00325401,2.400604826,3.40391176
4.653320209,0.956185513,3.554753636,0.604013454,2.008259621,10.36328817,3.457237328,4.138996873,2.425126401,3.200891089
4.718711077,0.937055179,3.626683591,0.575839689,2.03021227,9.941156853,3.541746712,3.946052632,2.444416707,3.015374674
4.842953725,0.892794543,3.698613545,0.55549197,2.040955055,9.620792079,3.590718613,3.725301372,2.465528616,2.815653986
4.911614136,0.888177176,3.770543499,0.544535506,2.054687137,9.308298072,3.649499145,3.44618125,2.490190314,2.610768108
