Na-Na,,Na-Cl,,K-K,,K-Cl,,Ca-Ca,,Ca-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.137059361,0.03489439,0.155592209,0.023645203,0.184030378,0.009533421,0.02105647,0.037834785,0.070616922,0.030008641,0.021681644,0.029536011
0.243093026,0.034589404,0.261627232,0.023237376,0.278072183,0.009336799,0.114971782,0.043304588,0.164512092,0.028404033,0.1189975,0.044084614
0.349126691,0.034284417,0.367662254,0.022829549,0.372113988,0.009140176,0.208892956,0.04125734,0.258407262,0.028149345,0.212990376,0.042058617
0.455160356,0.03397943,0.473697277,0.022421721,0.466155793,0.008943553,0.302812732,0.041003503,0.352302432,0.027894656,0.306983252,0.04165106
0.561194021,0.033674444,0.5797323,0.022013894,0.560197598,0.008746931,0.396732507,0.040749666,0.446197603,0.027639968,0.400976128,0.041243503
0.667227686,0.033369457,0.685767323,0.021606067,0.654239403,0.008550308,0.490652283,0.040495829,0.540092773,0.027385279,0.494969004,0.040835946
0.773261351,0.033064471,0.791800661,0.021704373,0.748281208,0.008353685,0.584572058,0.040241991,0.633987943,0.027130591,0.58896188,0.040428389
0.879295016,0.032759484,0.897832313,0.022308811,0.842323013,0.008157063,0.678491834,0.039988154,0.727883113,0.026875902,0.682954756,0.040020831
0.985328681,0.0231181,1.065758878,0.024993203,0.936364818,0.021338673,0.772411609,0.039734317,0.821778284,0.026621213,0.776947632,0.039613274
1.087231165,0.020265597,1.215942438,0.019566932,1.030406623,0.022479874,0.869891516,0.036182946,0.92158294,0.024066017,0.870940507,0.039205717
1.197396011,0.031844524,1.321977461,0.019159105,1.124448428,0.008236106,0.963062048,0.033422627,1.009568624,0.025442117,0.970330104,0.043928213
1.303429676,0.031539538,1.428012484,0.018751278,1.218490233,0.007370572,1.05869202,0.037831354,1.103463794,0.023157309,1.055508337,0.028317148
1.409463341,0.031234551,1.534047507,0.018343451,1.312532038,0.007173949,1.148087199,0.043223482,1.197358965,0.025602459,1.152919135,0.037983045
1.515497006,0.030929565,1.64008253,0.017935624,1.406573843,0.006977327,1.242006974,0.042969645,1.291254135,0.025347771,1.246912011,0.037575488
1.621530671,0.030624578,1.746117553,0.017527797,1.500615649,0.006780704,1.335923237,0.047220321,1.385149305,0.025093082,1.340904887,0.037167931
1.727564336,0.030319592,1.852145835,0.0191445,1.594657454,0.006584081,1.429843013,0.046966484,1.479044475,0.024838394,1.434897763,0.044890455
1.833598001,0.030014605,1.967165586,0.034423653,1.688699259,0.006387459,1.523762788,0.046712647,1.572939645,0.024583705,1.528890639,0.044482898
1.943969407,0.018871967,2.172471342,0.07480947,1.782741064,0.006190836,1.617682564,0.04645881,1.666834816,0.024329017,1.622883515,0.044075341
2.151698997,0.029099645,2.237940367,0.173908983,1.876782869,0.010676595,1.711602339,0.046204973,1.760729986,0.024074328,1.716876391,0.051797865
2.257732662,0.028794659,2.287455307,0.348097002,1.970824674,0.020513647,1.805522115,0.045951135,1.854625156,0.02381964,1.810869267,0.06765047
2.363766327,0.028489672,2.314481129,0.50288567,2.064866479,0.015634643,1.899642238,0.053234556,1.959950153,0.028361563,1.908422479,0.068711045
2.469799992,0.028184686,2.327773836,0.630486736,2.158908284,0.005404346,1.993351974,0.0578714,2.136310667,0.028005278,1.998855019,0.080364804
2.575833657,0.027879699,2.351937017,0.821296514,2.252950089,0.005207723,2.087611487,0.059984334,2.230205837,0.02775059,2.089287558,0.08498786
2.681867322,0.027574712,2.369329343,0.980144285,2.346991894,0.0050111,2.189732353,0.053921738,2.324101007,0.027495901,2.187100957,0.100717931
2.791917413,0.023557259,2.394641291,1.139645311,2.441033699,0.004814478,2.283648616,0.058172415,2.417996178,0.027241213,2.270054579,0.206534061
2.893934652,0.044372341,2.409217296,1.304383855,2.535075504,0.004617855,2.375432902,0.059140942,2.511891348,0.026986524,2.31211685,0.401217972
3.009156493,0.077646229,2.42894892,1.492895817,2.629117309,0.004421232,2.473504448,0.078965221,2.605786518,0.026731836,2.335747932,0.615897222
3.109337269,0.155931244,2.442879002,1.671940421,2.723159114,0.00422461,2.54694785,0.157500857,2.699681688,0.026477147,2.350473823,0.84014914
3.212035647,0.264226759,2.467606286,1.866743569,2.817200919,0.004027987,2.615911712,0.302922181,2.793576858,0.026222459,2.36739237,1.109788789
3.306677265,0.393177436,2.474762438,2.044679659,2.914320456,0.023628537,2.647294023,0.433840095,2.887472029,0.029117582,2.37727592,1.375898375
3.381328032,0.548085707,2.489564819,2.153640452,3.00528453,0.017637292,2.667476589,0.556333649,2.986758309,0.042631657,2.390105167,1.659035048
3.433139937,0.665556369,2.499248436,2.28710647,3.099326335,0.005444854,2.686436864,0.716609544,3.079202027,0.043723538,2.406214219,1.913291468
3.481337057,0.797956739,2.519438034,2.434224802,3.19336814,-0.00344762,2.717267147,0.836610976,3.177693464,0.03507996,2.420256129,2.026405772
3.538642016,0.919860862,2.539602452,2.597742723,3.287409945,0.021551429,2.722696901,0.912335695,3.271588634,0.034825271,2.428129842,2.289175443
3.586165794,1.058916651,2.562664063,2.746117633,3.38145175,0.048869373,2.730756758,1.027988623,3.365483804,0.034570583,2.439783104,2.598555209
3.660750838,1.192767749,2.59387596,2.901652402,3.483508481,0.127891674,2.762572999,1.236991399,3.459378975,0.034315894,2.445321179,2.80072058
