Mg-Cl,,K-Cl,,Mg-Mg,,K-K,,Na-Cl,,Cl-Cl,,Na-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.029420176,-0.162415618,2.526271045,0.020627142,2.942726461,-0.007642239,3.055286129,-0.012140122,2.261209859,0.018971936,2.816801909,-0.003790579,2.742041628,-0.003625942
2.056572422,0.018806231,2.581016514,0.062639433,3.043426024,0.04437956,3.282226976,0.009960531,2.327361062,0.135309278,2.923752807,0.039513779,2.875956535,0.007352982
2.120893077,0.20002808,2.634898715,0.140662259,3.121747907,0.090281146,3.455296702,0.046603388,2.340079788,0.224799542,2.97713173,0.082787524,2.956305479,0.029170972
2.129219766,0.441657212,2.677054884,0.242692108,3.166503268,0.14536305,3.561727149,0.072239646,2.379203697,0.367983963,3.016997002,0.153080575,3.063437404,0.065514309
2.118660559,0.758795447,2.708492164,0.32671669,3.200069789,0.20350506,3.667545425,0.123412214,2.378374215,0.475372279,3.056862274,0.223373625,3.157177839,0.10910034
2.126625218,1.091035504,2.705182976,0.464757075,3.200069789,0.26164707,3.733135265,0.178195348,2.417152506,0.663301833,3.096727545,0.293666676,3.197352311,0.156272752
2.144304347,1.317562815,2.736044745,0.57278868,3.22244747,0.325909291,3.798637653,0.236626526,2.416115654,0.797537228,3.109879224,0.347728245,3.250918274,0.203455154
2.14345961,1.528988305,2.733023313,0.698825553,3.22244747,0.37793109,3.8504099,0.309637388,2.428488762,0.931772623,3.122982639,0.412600597,3.291092746,0.239748542
2.142313182,1.815922899,2.752302926,0.824862426,3.22244747,0.448313523,3.915649928,0.379012699,2.427590157,1.048109966,3.13601366,0.493689125,3.344658708,0.290557286
2.150519194,2.087755672,2.749569249,0.938895788,3.23363631,0.503395427,3.967771987,0.437431383,2.426829798,1.146549255,3.149117076,0.558561477,3.38483318,0.348608724
2.15896656,2.299181163,2.758129973,1.046927393,3.256013991,0.549297014,3.993220846,0.492177037,2.426000316,1.253937572,3.16219636,0.628839221,3.425007652,0.388528452
2.157820132,2.586115757,2.756115685,1.130951975,3.278391672,0.604378918,4.019019516,0.532330512,2.451990757,1.361325888,3.175275644,0.699116966,3.438399143,0.442933569
2.166086482,2.842846709,2.786689698,1.250987092,3.289580512,0.644160293,4.070791763,0.605341375,2.464916854,1.423969072,3.201796185,0.75859158,3.465182124,0.490095991
2.174473509,3.06937402,2.784819288,1.329009918,3.289580512,0.687001774,4.109446043,0.66739561,2.464087372,1.531357388,3.201506607,0.823456279,3.491965106,0.526379388
2.173327081,3.356308614,2.803955023,1.461048547,3.334335874,0.760444312,4.161568102,0.725814295,2.476667852,1.638745704,3.214610022,0.888328632,3.505356596,0.566279138
2.181171063,3.718752312,2.801365225,1.569080152,3.345524714,0.806345899,4.213602709,0.787881023,2.475492752,1.790879152,3.227761701,0.942390201,3.505356596,0.617047922
2.189316737,4.005686906,2.821508104,1.65910649,3.356713555,0.846127274,4.252344441,0.846287215,2.501275823,1.925114548,3.227303202,1.045092642,3.545531068,0.653341309
2.187928956,4.353028783,2.830068828,1.767138095,3.345524714,0.910389496,4.291086174,0.904693406,2.486759885,2.068298969,3.240382486,1.115370386,3.58570554,0.700513722
2.196436659,4.549352452,2.838917307,1.863166189,3.356713555,0.947110765,4.342683515,0.985000357,2.498787376,2.247279496,3.240044645,1.191045868,3.612488522,0.747676144
2.213995112,4.806083405,2.847909663,1.953192527,3.356713555,0.989952246,4.394805575,1.043419041,2.497612276,2.399412944,3.253172192,1.250512829,3.639271503,0.791212225
2.203556582,5.093017999,2.855607121,2.097234667,3.356713555,1.048094256,4.420429339,1.090868606,2.510054509,2.524699313,3.27964447,1.320798227,3.652662994,0.831111974
2.202470492,5.364850772,2.863880089,2.217269785,3.379091235,1.109296371,4.459258524,1.145626753,2.509017656,2.658934708,3.283827266,1.38386368,3.706228956,0.892799744
2.201263725,5.666887187,2.895029613,2.313297878,3.401468916,1.170498487,4.511730397,1.189453259,2.534800727,2.793170103,3.305746731,1.473966295,3.719620447,0.950831201
2.209469738,5.93871996,2.892152059,2.433332995,3.401468916,1.21946018,4.5104186,1.244173926,2.546897342,2.963201604,3.327666195,1.564068911,3.733011938,0.990730951
2.208142294,6.270960017,2.900712783,2.541364601,3.412657757,1.259241555,4.575833534,1.306253148,2.545929613,3.088487973,3.338465051,1.645156163,3.77318641,1.048782388
2.206995866,6.557894611,2.898122984,2.649396206,3.435035437,1.308203247,4.668533841,1.34646909,2.558579216,3.186927262,3.349263906,1.726243415,3.799969391,1.103197494
2.20615113,6.769320101,2.973011331,2.781434835,3.446224278,1.360225045,4.76097179,1.397629166,2.557749733,3.294315578,3.36012309,1.793817187,3.826752372,1.1576126
2.204944363,7.071356516,3.049913967,2.829448882,3.468601958,1.427547373,4.853759551,1.434197063,2.570122842,3.428550974,3.382062664,1.87941531,3.853535354,1.212027706
2.203858273,7.343189289,3.129118645,2.781434835,3.479790799,1.473448959,4.960102545,1.463481365,2.582772445,3.526990263,3.404062567,1.951499953,3.893709826,1.266452802
2.202711845,7.630123883,3.20918659,2.697410253,3.50216848,1.528530863,5.147776941,1.449064094,2.635513686,3.643327606,3.426062469,2.023584597,3.933884298,1.335383265
2.201263725,7.992567581,3.222207523,2.619387427,3.535735001,1.577492556,5.242226311,1.416319147,2.74279338,3.643327606,3.436861325,2.104671849,3.98745026,1.393444693
2.23746672,8.234196712,3.269974922,2.487348798,3.535735001,1.614213825,5.32347026,1.376265618,2.796986215,3.571735395,3.481122555,2.190282726,4.027624732,1.440617105
2.283263509,8.400316741,3.305728533,2.391320704,3.591679203,1.647874989,5.41818199,1.332576537,2.82463562,3.464347079,3.503102348,2.266871863,4.081190695,1.484173166
2.348670253,8.309705816,3.342057654,2.271285587,3.636434564,1.675415941,5.513068625,1.281591368,2.865902358,3.330111684,3.569765673,2.334477524,4.134756657,1.53498191
