Ca-Ca,,Ca-Cl,,Ca-Na,,Cl-Cl,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
0.026250000,0.000000000,0.026250000,0.000000000,0.026250000,0.000000000,0.026250000,0.000000000,0.026250000,0.000000000,0.026250000,0.000000000
0.078750000,0.000000000,0.078750000,0.000000000,0.078750000,0.000000000,0.078750000,0.000000000,0.078750000,0.000000000,0.078750000,0.000000000
0.131250000,0.000000000,0.131250000,0.000000000,0.131250000,0.000000000,0.131250000,0.000000000,0.131250000,0.000000000,0.131250000,0.000000000
0.183750000,0.000000000,0.183750000,0.000000000,0.183750000,0.000000000,0.183750000,0.000000000,0.183750000,0.000000000,0.183750000,0.000000000
0.236250000,0.000000000,0.236250000,0.000000000,0.236250000,0.000000000,0.236250000,0.000000000,0.236250000,0.000000000,0.236250000,0.000000000
0.288750000,0.000000000,0.288750000,0.000000000,0.288750000,0.000000000,0.288750000,0.000000000,0.288750000,0.000000000,0.288750000,0.000000000
0.341250000,0.000000000,0.341250000,0.000000000,0.341250000,0.000000000,0.341250000,0.000000000,0.341250000,0.000000000,0.341250000,0.000000000
0.393750000,0.000000000,0.393750000,0.000000000,0.393750000,0.000000000,0.393750000,0.000000000,0.393750000,0.000000000,0.393750000,0.000000000
0.446250000,0.000000000,0.446250000,0.000000000,0.446250000,0.000000000,0.446250000,0.000000000,0.446250000,0.000000000,0.446250000,0.000000000
0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000,0.498750000,0.000000000
0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000,0.551250000,0.000000000
0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000,0.603750000,0.000000000
0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000,0.656250000,0.000000000
0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000,0.708750000,0.000000000
0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000,0.761250000,0.000000000
0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000,0.813750000,0.000000000
0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000,0.866250000,0.000000000
0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000,0.918750000,0.000000000
0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000,0.971250000,0.000000000
1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000,1.023750000,0.000000000
1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000,1.076250000,0.000000000
1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000,1.128750000,0.000000000
1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000,1.181250000,0.000000000
1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000,1.233750000,0.000000000
1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000,1.286250000,0.000000000
