Cu2+_Cl-,,Cu+_Cl-,,Cu2+_Cu2+,,Cu2+_Cu+,,Cu+_Cu+,,Cl-_Cl-,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.993668578,0.694661703,0.038057616,0.006863705,0.1104937,0.029279247,0.06769548,0.012497518,1.006497788,-0.003096457,0.082547471,-0.008443352
1.013441693,0.924689542,0.146758846,0.006635758,0.176372992,0.029314227,0.176391543,0.015983211,2.328174326,0.777728115,0.43829565,-0.008254459
1.027158141,1.128004501,0.255460606,0.006026924,0.361658502,0.029412609,0.285104565,0.007280546,3.679611307,1.416417001,0.601346898,-0.008167883
1.035710727,1.322428461,0.364160511,0.006751193,0.518945312,0.029496124,0.393794532,0.01514643,3.830395529,1.330301735,0.826654078,-0.008048251
1.048269685,1.540322142,0.472860415,0.007475461,0.677879105,0.029580514,0.502499339,0.012347501,4.113165105,1.175325433,2.152754147,0.028649644
1.060039924,1.761407596,0.58155979,0.008580615,0.958160028,0.015763498,0.611206002,0.00821547,4.314719445,1.115435126,2.246486553,0.133324166
1.067886498,2.040491089,0.690263008,0.006924344,1.06946008,0.021932649,0.719891729,0.019128443,6.331649605,0.854181841,2.305575687,0.278687535
1.043356139,1.915162606,0.798961163,0.008905537,1.182921961,0.024461855,0.828580053,0.028175075,0.025305706,0.018306066,2.344906499,0.420112521
1.077363846,2.331222956,0.908240302,0.037215078,1.701501929,0.013365026,0.934438763,0.041687458,0.112284525,0.010977618,2.379283247,0.570961817
1.052835761,2.204260471,0.957885531,0.213030804,1.82666596,0.018192565,1.045011575,0.01532081,0.199253082,0.011023796,2.408701557,0.734377734
1.086846441,2.618184049,0.98125106,0.386394166,2.241721288,0.007067973,1.152014942,0.008616891,0.315211159,0.011085366,2.433227019,0.863225605
1.062297893,2.505927581,1.013603768,0.571493603,2.360270237,0.031404875,1.258449288,0.023478462,0.448562947,0.011156173,2.45769418,1.033970957
1.096336208,2.899991753,1.03236124,0.778210651,2.498537398,0.08850546,1.372089038,0.024997597,0.581914735,0.011226979,2.487097915,1.207861244
1.071777515,2.795025446,1.058464068,1.000128969,2.641687755,0.187110451,1.482760816,0.028960447,0.738458138,0.011310099,2.511573821,1.372321974
1.103327429,3.201971782,1.072905237,1.1955187,2.774867992,0.349115049,1.591452175,0.035826505,0.860214119,0.011374748,2.536052642,1.53468783
1.10431489,3.084135554,1.1540413,1.780387566,2.873497455,0.485334333,1.695239024,0.016504014,1.126897172,0.026265613,2.565447633,1.714862739
1.115231322,3.524274712,1.128091193,1.384156635,2.962133836,0.70145285,1.788554626,0.014907588,1.271824244,0.041091828,2.594845538,1.892942774
1.110511041,3.365690124,1.146586075,1.585902975,3.045857797,0.897068905,1.885947253,0.025460885,1.405145247,0.063286511,2.624281339,2.043789446
1.12467713,3.837673117,1.195210459,1.972590456,3.109867525,1.057061608,2.365822883,0.301972644,1.515254111,0.100218133,2.65863258,2.21296889
