Li-Cl,,K-Cl,
X,Y,X,Y
0.13757365,0,0.07187781,0
0.2800749,0,0.19646601,0
0.44996851,0,0.32105421,0
0.62536995,0,0.48131085,0
0.80424868,0,0.61814915,0
0.94787423,0,0.77205672,0
1.11042343,0,0.91194388,0
1.2064022,0.002837806,1.0589997,0
1.32130352,0.002626396,1.24348607,0
1.50323061,0.002291663,1.39469174,0
1.71603384,0.075023874,1.63402216,0
1.78721656,0.303223363,1.94070081,0
1.82092676,0.59852116,2.07487272,0
1.8691898,1.103492973,2.20904462,0
1.88008175,1.336577832,2.35470168,0.036490531
1.89921473,1.503647947,2.38761631,0.1157478
1.934601,2.303160726,2.47538865,0.225339464
1.93462007,2.239407905,2.53489069,0.439536436
1.94330632,2.517151857,2.5540581,0.631056156
1.9563933,2.741245499,2.56364181,0.675250639
1.96726525,3.041172522,2.57322552,0.734178086
1.96819553,2.985000955,2.58280922,0.807838499
1.98362628,3.313566216,2.59239293,0.866765947
1.99233245,3.524748852,2.5988185,0.922078804
1.99837244,3.74945728,2.62899024,1.116380738
2.01084271,3.94121427,2.64300943,1.329547762
2.01088641,3.795172566,2.65607213,1.422750664
2.01452686,3.840101752,2.66427074,1.500250349
2.02722979,4.12654464,2.67145852,1.58864483
2.04031963,4.341089403,2.69481949,1.78433304
2.0512178,4.553391403,2.72133405,2.000563072
2.05446698,4.684822885,2.72773412,2.051018991
2.05558382,4.615731909,2.73459133,2.108028027
2.05993245,4.736208247,2.74236284,2.202248298
2.07448889,4.933899354,2.74419143,2.15642687
2.0926942,5.148364491,2.75242009,2.261838539
2.12825554,5.362797695,2.77893465,2.456259284
2.16113539,5.380290278,2.81660361,2.67689289
2.19401461,5.399889232,2.83470665,2.752966404
2.23518054,5.200761566,2.85233949,2.814651427
2.26538966,4.985329696,2.86853558,2.862418924
2.28385455,4.768414884,2.87976835,2.918046342
2.2917036,4.704005715,2.91346665,2.961763182
2.29990599,4.621741907,2.93932815,2.932797163
2.30113572,4.582420746,2.97145909,2.894049719
2.32155169,4.386791723,2.98885682,2.860320811
2.33414057,4.182149802,3.01985143,2.824739365
2.35064741,3.967269735,3.04152023,2.794011325
2.35889137,3.891425263,3.05962327,2.788774384
2.37262375,3.790294257,3.10899521,2.591624749
2.39461165,3.574701982,3.11722387,2.561050478
2.42143257,3.37134741,3.16111004,2.375499069
2.43585469,3.172608822,3.17583256,2.329084291
2.44305584,3.106358222,3.19219607,2.2932607
2.4502592,3.032747913,3.20450391,2.242402618
2.47427405,2.775114031,3.21397506,2.205713678
