U-Cl,,U-U,,K-U,,K-Cl,,K-K,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.977857726,0.001418461,3.787340805,0.036759514,3.196957349,0,2.208652433,0.001611842,2.473913043,0,2.366704261,0
2.243051014,0.001604693,3.824644887,0.064587634,3.440369465,0.019237138,2.286913326,0.001589895,2.847826087,0,2.557956638,0
2.340283587,0.012908929,3.861266991,0.101629557,3.535318254,0.052551121,2.373869874,0.00156551,3.013043478,0.02692092,2.679662696,0
2.402060214,0.24328939,3.90321863,0.14241426,3.588155393,0.077589809,2.436901179,0.012764885,3.081778324,0.045306941,2.762000081,0.005950345
2.437310064,0.490505155,3.935851886,0.171557476,3.640335055,0.109942392,2.486867056,0.044158613,3.195652174,0.06281548,2.827394961,0.049382716
2.454870428,0.760180408,3.96614161,0.206337446,3.692009989,0.154141864,2.537274271,0.123301716,3.308695652,0.107683679,2.896872983,0.112233446
2.472410928,1.074799468,3.989003653,0.245909041,3.723681723,0.186862802,2.553908115,0.160119824,3.403583884,0.154570776,2.933516485,0.169507656
2.477028643,1.276569219,4.011451307,0.283973573,3.776190123,0.245417229,2.570540088,0.198658623,3.449270269,0.187435961,2.961398097,0.205877637
2.483760166,1.386452831,4.035979977,0.324010776,3.810362257,0.285602162,2.585504674,0.23719789,3.569565217,0.269209198,2.984436715,0.250425484
2.492182267,1.506391908,4.055209705,0.363456239,3.843700924,0.336123065,2.597131495,0.278491197,3.667391304,0.349971957,3.005064594,0.289162742
2.495534221,1.59257378,4.071119241,0.405197242,3.871483147,0.384348698,2.607090305,0.320358535,3.712050354,0.391165695,3.016707871,0.312405097
2.502261617,1.711793504,4.092800411,0.449239784,3.915379058,0.467596467,2.617045374,0.365667255,3.839130435,0.529444756,3.042359926,0.363346563
2.507432334,1.838869005,4.114402534,0.494564621,3.940383058,0.517545502,2.627000443,0.410975975,3.921585235,0.630054867,3.059383984,0.41226114
2.514567192,1.993680984,4.131048833,0.534197104,3.970387859,0.576106247,2.642901145,0.492796853,3.945960835,0.668934274,3.079061313,0.45342312
2.518362866,2.108539603,4.152281543,0.578836198,3.998725726,0.636390082,2.660165653,0.609449331,3.973496529,0.713192887,3.103167934,0.515294047
2.522367626,2.241811657,4.178876333,0.629983156,4.04039906,0.717341644,2.689995808,0.747066485,4.008845119,0.749486418,3.118125743,0.556329306
2.524588295,2.330865385,4.197150192,0.671315838,4.066286335,0.818612231,2.703390324,0.842751848,4.045527618,0.784213077,3.136398644,0.614641792
2.529046774,2.47019207,4.212085765,0.714803672,4.112077194,0.922313609,2.719794308,0.944363951,4.078875345,0.824042216,3.154893436,0.668911336
2.532377778,2.603772661,4.225341311,0.766044251,4.123745727,0.953891747,2.737938848,1.058109518,4.111806224,0.873389156,3.177949717,0.727152006
2.535723384,2.704317782,4.233635318,0.792371111,4.133747327,0.984321939,2.763869749,1.201680485,4.154347826,0.942232193,3.196218446,0.789303784
2.539062641,2.81922615,4.24264862,0.842378035,4.178754528,1.117812554,2.781085488,1.363201176,4.193478261,0.987100393,3.209512146,0.827739752
2.544084223,2.962862206,4.25492367,0.884047796,4.195423861,1.167763929,2.79835975,1.470880011,4.228940114,1.026482797,3.219481146,0.857739606
2.545738615,3.054788187,4.26175562,0.930534263,4.215427061,1.248721575,2.815634012,1.578558846,4.257285681,1.061374573,3.234433314,0.903966068
2.550760197,3.198424243,4.286692469,0.975887876,4.230429462,1.29264424,2.832908274,1.686237681,4.290633408,1.103818267,3.247731239,0.938513963
2.554098819,3.314768937,4.323325008,1.00652999,4.250432662,1.332833151,2.847251209,1.801662159,4.321028701,1.130055748,3.259918623,0.972373196
2.556419712,3.432734017,4.359966432,1.031722347,4.268768929,1.381157137,2.858280931,1.880954211,4.355661474,1.151558283,3.278372789,1.037037037
2.56414212,3.601733265,4.396605304,1.058480726,4.283771329,1.423548581,2.865465501,1.918463245,4.412352609,1.164746347,3.299226548,1.103813426
2.567474257,3.732748991,4.433233298,1.091910358,4.311871062,1.47989506,2.872095273,1.955054733,4.446256131,1.175418103,3.312519834,1.142630618
2.570813967,3.846631413,4.451745217,1.133327919,4.330445463,1.519428135,2.877045973,2.00239691,4.481271244,1.214229229,3.327474387,1.186661968
2.576371001,4.057139047,4.464546649,1.170902028,4.35378253,1.570526054,2.888639434,2.074379967,4.508695652,1.256309591,3.34409882,1.22798171
2.585899573,4.23034605,4.476398938,1.206238433,4.375452663,1.607018036,2.895250534,2.128149686,4.545743515,1.29280742,3.357397119,1.262185274
2.589246539,4.327813331,4.486754794,1.246293847,4.414903419,1.663530515,2.901871079,2.173229916,4.604347826,1.30117779,3.37401357,1.310850748
2.60100165,4.576793187,4.502568856,1.290714275,4.43879613,1.713671264,2.908497235,2.213148073,4.630434783,1.33707235,3.39104407,1.351290685
2.603366002,4.766875212,4.522871017,1.337944496,4.467133997,1.761787369,2.915675945,2.256048605,4.656457967,1.36920607,3.410593932,1.395670996
2.60765485,4.863883378,4.559533123,1.350452075,4.490947331,1.807143078,2.926747281,2.297055286,4.705145647,1.392607459,3.425729418,1.432098765
2.610996247,4.97394928,4.596205102,1.356904369,4.508807331,1.837776137,2.938376284,2.33634112,4.741161192,1.392951597,3.447190915,1.4651972
2.616028068,5.094419468,4.632849165,1.380478503,4.528810531,1.88112319,2.948331353,2.38164984,4.781400782,1.402358037,3.468812562,1.509816783
2.619853812,5.204362597,4.66948693,1.407915492,4.547980265,1.914421845,2.959956615,2.424377057,4.822529644,1.417188749,3.486460488,1.544332211
2.62323054,5.303791828,4.706151674,1.418804848,4.572484185,1.956102432,2.9715772,2.471406,4.858100552,1.419373752,3.508738827,1.583561044
2.626064884,5.396054829,4.742829015,1.421968497,4.593820932,1.998243275,2.981531584,2.51734564,4.890892483,1.411535052,3.533705099,1.618281105
2.630806161,5.521136192,4.779496569,1.431135229,4.656053111,2.056794972,2.997042282,2.564794105,4.943478261,1.408861469,3.573251913,1.674523008
2.636111569,5.675360468,4.816165518,1.439445869,4.700896496,2.076154452,3.026450779,2.609562044,5.004347826,1.435782389,3.611618611,1.709356703
2.640669166,5.842351873,4.846199469,1.426567503,4.7521796,2.079449183,3.061426592,2.645718018,5.073913043,1.408861469,3.651935948,1.730016574
2.643315066,5.995732754,4.869606093,1.387795352,4.796522684,2.09184911,3.098106892,2.647741275,5.126086957,1.39091419,3.68027606,1.727950586
2.646609951,6.097714164,4.893014603,1.347866582,4.842749646,2.102104953,3.134823238,2.616602127,5.174348158,1.396048839,3.73836588,1.728395062
2.649919355,6.210864723,4.923073429,1.319731433,4.867198002,2.105543335,3.163204492,2.583770696,5.237708838,1.40121091,3.799218909,1.728395062
2.65343968,6.35439029,4.956365587,1.353813707,4.918228742,2.118766093,3.181587705,2.545164722,5.276058724,1.38694352,3.834001825,1.719416386
2.657773794,6.51942711,4.989654657,1.389789128,4.958323692,2.097478847,3.198300849,2.509025538,5.312741223,1.376651967,3.882553464,1.706946384
2.664487782,6.668985207,5.026356272,1.378065127,4.977215603,2.084840977,3.216685558,2.469043011,5.349423722,1.374305571,3.920041373,1.64923833
