K-K,,K-Cl,,K-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.032343051,0,0.109990177,0,0.18793256,0,0.187608191,0,0.187953533,0,0.110114627,0
0.188962457,0,0.266614998,0,0.344649547,0,0.344325389,0,0.344572288,0,0.266976009,0
0.345581863,0,0.423235053,0,0.501366534,0,0.501042587,0,0.501191042,0,0.423842184,0
0.502201269,0,0.579855108,0,0.658083521,0,0.657759785,0,0.657809796,0,0.58070836,0
0.658820675,0,0.736475163,0,0.814800508,0,0.814476983,0,0.814428551,0,0.737574535,0
0.81544008,0,0.90238925,0,0.984953943,0,1.127911379,0,1.127666059,0,0.903805923,0
1.128678892,0,1.206335329,0,1.128234482,0,1.284628577,0,1.284284814,0,1.208173062,0
1.285298298,0,1.362955384,0,1.284951469,0,1.441345775,0,1.440903568,0,1.365039238,0
1.441917704,0,1.519575439,0,1.441668456,0,1.598062973,0,1.597522322,0,1.521905413,0
1.59853711,0,1.676195495,0,1.598385443,0,1.754780171,0,1.754141077,0,1.678771589,0
1.755156515,0,1.83281555,0,1.75510243,0,1.924575016,0,1.920119256,0,1.835637764,0
1.924827538,0,2.146050895,0,1.924909074,0,2.068195495,0,2.067357072,0,1.992532701,0
2.062801777,0,2.302675716,0,2.062959714,0,2.224931766,0,2.23459779,0.108042968,2.149370115,0
2.225014733,0,2.459295771,0,2.225253391,0,2.381648964,0,2.284946704,0.638326533,2.306236291,0
2.381634139,0,2.615915826,0,2.381970378,0,2.538366162,0,2.301305619,1.129306248,2.463102466,0
2.538253545,0,2.772535881,0,2.538687365,0,2.69508336,0,2.336412889,1.692975861,2.619968642,0
2.69487295,0,3.076396188,0,2.695404352,0,2.851929296,0.062973798,2.36212638,2.294055765,2.776834818,0
2.851492356,0,3.242267388,0,2.852121339,0,3.005613996,0.185143885,2.384585347,2.791584847,2.946827103,0
3.003761223,0.017397308,3.400598803,0.143324824,3.011462679,0,3.100641797,0.36669085,2.390862698,3.273284498,3.081258658,0
3.19873817,0.035621585,3.541949772,0.329458688,3.165555313,0,3.179377074,0.565290848,2.411980358,3.701569778,3.247433344,0
3.331230284,0.087621598,3.664720028,0.481538262,3.322281795,0,3.258131424,0.773961028,2.418121409,4.087253992,3.40429952,0
3.47361944,0.191057824,3.791099253,0.697052512,3.47903676,0.015161216,3.34809825,0.99230087,2.443820558,4.678230489,3.578330113,0.035725715
3.5693313,0.318448614,3.883961966,0.888903162,3.602778978,0.103799807,3.430584643,1.201317076,2.453202863,5.158116854,3.711197822,0.123442177
3.667192429,0.442858226,3.98429993,1.071674211,3.712586228,0.197412481,3.520480629,1.382253387,2.472485164,5.606942184,3.832484848,0.275817742
3.725950705,0.574791464,4.118787896,1.2717776,3.788718805,0.331310631,3.664447985,1.545369346,2.480625487,6.087553864,3.928107145,0.477176174
3.808610947,0.691700248,4.25767693,1.445185182,3.884914387,0.554812259,3.821308226,1.620323537,2.499898474,6.529818017,3.972050191,0.671784858
3.84341526,0.801188972,4.414053964,1.573238327,3.963704883,0.782567444,3.97793483,1.571918006,2.519489877,7.033122864,4.024144433,0.89744177
3.908673346,0.915126702,4.570569186,1.628281848,4.042495378,1.010322629,4.13447561,1.478196659,2.535285207,7.506994496,4.099361349,1.170911371
3.990712082,1.038253652,4.727227362,1.607798174,4.121262137,1.225545012,4.28032639,1.344551793,2.57471725,7.901108995,4.152105946,1.411269094
4.078344369,1.1609421,4.88394272,1.557103621,4.199976676,1.413195232,4.447457038,1.237885512,2.65606584,7.660883491,4.204762821,1.605352877
4.156654071,1.280859809,5.027615937,1.501402512,4.278743435,1.628417616,4.603997817,1.144164164,2.691257632,7.359971284,4.283611036,1.824159717
4.315883801,1.435152173,5.240270362,1.374256127,4.35748171,1.828600637,4.76060535,1.085688452,2.70382514,7.01894303,4.357264125,2.06077962
4.469892883,1.557939439,5.458845252,1.223525966,4.501504488,2.020979142,4.917303476,1.075046101,2.738009,6.58186866,4.493508946,2.215637272
4.626512289,1.575674869,5.615632087,1.135067816,4.658359146,2.092985783,5.074015905,1.071956386,2.767960663,6.228160151,4.663500033,2.243078307
4.783131695,1.558894759,5.772404626,1.054162385,4.814938462,2.019611927,5.230671119,1.038656127,2.775672081,5.530999527,4.820308685,2.2123896
4.939751101,1.489591003,5.929200991,0.960669087,4.971465559,1.918665907,5.387312027,0.997803232,2.780445702,5.829037303,4.954129569,2.122960564
5.096370506,1.41278387,6.085940174,0.897386669,5.127892962,1.76508212,5.54391956,0.93932752,2.805645258,5.192446129,5.085574418,1.929441029
