Cl-Cl,,Li-Cl,,Li-Li,
R (A),RDF,R (A),RDF,R (A),RDF
0.02625,0.0,0.02625,0.0,0.02625,0.0
0.07875,0.0,0.07875,0.0,0.07875,0.0
0.13125,0.0,0.13125,0.0,0.13125,0.0
0.18375,0.0,0.18375,0.0,0.18375,0.0
0.23625000000000002,0.0,0.23625000000000002,0.0,0.23625000000000002,0.0
0.28875,0.0,0.28875,0.0,0.28875,0.0
0.34125,0.0,0.34125,0.0,0.34125,0.0
0.39375,0.0,0.39375,0.0,0.39375,0.0
0.44625,0.0,0.44625,0.0,0.44625,0.0
0.49875,0.0,0.49875,0.0,0.49875,0.0
0.55125,0.0,0.55125,0.0,0.55125,0.0
0.60375,0.0,0.60375,0.0,0.60375,0.0
0.65625,0.0,0.65625,0.0,0.65625,0.0
0.70875,0.0,0.70875,0.0,0.70875,0.0
0.76125,0.0,0.76125,0.0,0.76125,0.0
0.81375,0.0,0.81375,0.0,0.81375,0.0
0.86625,0.0,0.86625,0.0,0.86625,0.0
0.91875,0.0,0.91875,0.0,0.91875,0.0
0.97125,0.0,0.97125,0.0,0.97125,0.0
1.02375,0.0,1.02375,0.0,1.02375,0.0
1.07625,0.0,1.07625,0.0,1.07625,0.0
1.1287500000000001,0.0,1.1287500000000001,0.0,1.1287500000000001,0.0
1.18125,0.0,1.18125,0.0,1.18125,0.0
1.2337500000000001,0.0,1.2337500000000001,0.0,1.2337500000000001,0.0
1.28625,0.0,1.28625,0.0,1.28625,0.0
1.33875,0.0,1.33875,0.0,1.33875,0.0
1.3912499999999999,0.0,1.3912499999999999,0.0,1.3912499999999999,0.0
1.44375,0.0,1.44375,0.0,1.44375,0.0
1.4962499999999999,0.0,1.4962499999999999,0.0,1.4962499999999999,0.0
1.54875,0.0,1.54875,0.0,1.54875,0.0
1.6012499999999998,0.0,1.6012499999999998,0.0,1.6012499999999998,0.0
1.65375,0.0,1.65375,0.0,1.65375,0.0
1.7062499999999998,0.0,1.7062499999999998,0.0,1.7062499999999998,0.0
1.75875,0.0,1.75875,3.0612011730624865e-05,1.75875,0.0
1.8112499999999998,0.0,1.8112499999999998,0.0007937392036314426,1.8112499999999998,0.0
1.86375,0.0,1.86375,0.008511983187501354,1.86375,0.0
1.9162499999999998,0.0,1.9162499999999998,0.05189633976425832,1.9162499999999998,0.0
1.96875,0.0,1.96875,0.2083094594544117,1.96875,1.2329215517781708e-05
2.0212499999999998,0.0,2.0212499999999998,0.5900487237432218,2.0212499999999998,0.00017545635350636746
2.07375,0.0,2.07375,1.2561363106638794,2.07375,0.0005111685905571365
2.1262499999999998,0.0,2.1262499999999998,2.1234259582828554,2.1262499999999998,0.0011838852977415926
2.17875,0.0,2.17875,3.008996531259917,2.17875,0.0025067201678170455
2.23125,0.0,2.23125,3.6714756069807524,2.23125,0.005673006739119227
2.28375,0.0,2.28375,4.009960026422868,2.28375,0.011334327964311644
2.3362499999999997,0.0,2.3362499999999997,4.033959622450414,2.3362499999999997,0.020558125351428366
2.38875,0.0,2.38875,3.8144933366967484,2.38875,0.034865014587347455
2.44125,0.0,2.44125,3.4552657659010273,2.44125,0.05800688925384872
2.49375,0.0,2.49375,3.028798390302288,2.49375,0.0892334085758126
2.5462499999999997,0.0,2.5462499999999997,2.5994227879673346,2.5462499999999997,0.12924265004474775
2.59875,0.0,2.59875,2.2030491242301764,2.59875,0.17882908718967924
2.65125,6.798713928835613e-05,2.65125,1.862202682943542,2.65125,0.24556274839561348
2.70375,0.0004445335300147563,2.70375,1.579589671393498,2.70375,0.3169458696427269
2.7562499999999996,0.001572649663487761,2.7562499999999996,1.3521960996303173,2.7562499999999996,0.3998493222410902
2.80875,0.005179282756543657,2.80875,1.1682589919533557,2.80875,0.49189859377732703
2.86125,0.013939681418877425,2.86125,1.016739674559118,2.86125,0.5882218665064658
2.91375,0.030379345803982608,2.91375,0.8994979854042859,2.91375,0.6863638189009856
2.9662499999999996,0.06548694684866015,2.9662499999999996,0.8048163090059763,2.9662499999999996,0.7864462527122623
3.01875,0.12234657557091648,3.01875,0.7315584139686453,3.01875,0.8862076922054696
3.07125,0.2079867783173649,3.07125,0.6748030110628523,3.07125,0.9759804398012818
3.12375,0.3296595059506375,3.12375,0.6296785619326195,3.12375,1.0660171003808234
3.1762499999999996,0.48534794028366096,3.1762499999999996,0.5966172065330891,3.1762499999999996,1.1477837635211317
3.22875,0.6866587155063884,3.22875,0.5692638783782356,3.22875,1.2189535371945361
3.28125,0.9041381280058113,3.28125,0.5479107526472062,3.28125,1.2782705253227893
3.3337499999999998,1.1388820406798796,3.3337499999999998,0.5302829963614546,3.3337499999999998,1.3349314140425537
3.38625,1.3804936999275097,3.38625,0.5199695534929852,3.38625,1.3799810738468148
3.4387499999999998,1.6135805758006037,3.4387499999999998,0.5145924598802062,3.4387499999999998,1.4186958070866846
3.49125,1.8220011686958173,3.49125,0.5082893008046078,3.49125,1.44724145561512
3.54375,1.9888714631985687,3.54375,0.508874071210669,3.54375,1.470973725693268
3.59625,2.11317007318404,3.59625,0.5117782908893862,3.59625,1.490840003019097
3.6487499999999997,2.2152526872630984,3.6487499999999997,0.5126788291091903,3.6487499999999997,1.499474761059019
3.70125,2.2707700332103444,3.70125,0.5199741500300175,3.70125,1.5010055359162713
3.75375,2.2918495653261495,3.75375,0.5285705473473502,3.75375,1.5067824817095894
3.80625,2.277280023569435,3.80625,0.5420261535273304,3.80625,1.4934069623247916
3.8587499999999997,2.235442267398132,3.8587499999999997,0.5556669590243798,3.8587499999999997,1.4897192680285896
3.91125,2.177670938703964,3.91125,0.5719814088472406,3.91125,1.471741651394828
3.96375,2.0995372584313405,3.96375,0.5909505108434823,3.96375,1.4542726608209575
4.016249999999999,2.016081624043004,4.016249999999999,0.6101345320182665,4.016249999999999,1.4331491753974848
4.06875,1.9222834613925037,4.06875,0.631813206049268,4.06875,1.4129710531905337
4.12125,1.8168457546661423,4.12125,0.6512191924425809,4.12125,1.38575804530858
4.17375,1.7185102220280775,4.17375,0.6774947388482904,4.17375,1.3554943332213503
4.22625,1.6188001252211803,4.22625,0.7022214446173447,4.22625,1.3274987261952367
4.27875,1.522674020001794,4.27875,0.729412173347114,4.27875,1.297795358221362
4.33125,1.424802089317924,4.33125,0.7554092841448734,4.33125,1.2640511109679902
4.38375,1.3360701848947014,4.38375,0.785587819006304,4.38375,1.2309843365364694
4.436249999999999,1.2479456663998418,4.436249999999999,0.8151619546119456,4.436249999999999,1.1984978646180262
4.48875,1.1667680982911757,4.48875,0.8458374793849979,4.48875,1.1616377948365693
4.54125,1.0909008865113101,4.54125,0.8738516682075904,4.54125,1.1269677092330468
4.59375,1.0230055028390221,4.59375,0.9052280567740751,4.59375,1.088809709141058
4.64625,0.950918382469774,4.64625,0.9345226668312829,4.64625,1.0526278442148014
4.6987499999999995,0.8920245243239885,4.6987499999999995,0.9657484683535852,4.6987499999999995,1.015827530549915
4.75125,0.8420582841497828,4.75125,0.9961516986628346,4.75125,0.9798521031633695
4.80375,0.7893398204819722,4.80375,1.0273178700990249,4.80375,0.9464531172087678
4.856249999999999,0.7523663909831382,4.856249999999999,1.0601571979421778,4.856249999999999,0.9150275536257907
