Cl-Cl,,K-Cl,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF
0.02625,0,0.02625,0,0.02625,0
0.07875,0,0.07875,0,0.07875,0
0.13125,0,0.13125,0,0.13125,0
0.18375,0,0.18375,0,0.18375,0
0.23625,0,0.23625,0,0.23625,0
0.28875,0,0.28875,0,0.28875,0
0.34125,0,0.34125,0,0.34125,0
0.39375,0,0.39375,0,0.39375,0
0.44625,0,0.44625,0,0.44625,0
0.49875,0,0.49875,0,0.49875,0
0.55125,0,0.55125,0,0.55125,0
0.60375,0,0.60375,0,0.60375,0
0.65625,0,0.65625,0,0.65625,0
0.70875,0,0.70875,0,0.70875,0
0.76125,0,0.76125,0,0.76125,0
0.81375,0,0.81375,0,0.81375,0
0.86625,0,0.86625,0,0.86625,0
0.91875,0,0.91875,0,0.91875,0
0.97125,0,0.97125,0,0.97125,0
1.02375,0,1.02375,0,1.02375,0
1.07625,0,1.07625,0,1.07625,0
1.12875,0,1.12875,0,1.12875,0
1.18125,0,1.18125,0,1.18125,0
1.23375,0,1.23375,0,1.23375,0
1.28625,0,1.28625,0,1.28625,0
1.33875,0,1.33875,0,1.33875,0
1.39125,0,1.39125,0,1.39125,0
1.44375,0,1.44375,0,1.44375,0
1.49625,0,1.49625,0,1.49625,0
1.54875,0,1.54875,0,1.54875,0
1.60125,0,1.60125,0,1.60125,0
1.65375,0,1.65375,0,1.65375,0
1.70625,0,1.70625,0,1.70625,0
1.75875,0,1.75875,0,1.75875,0
1.81125,0,1.81125,0,1.81125,0
1.86375,0,1.86375,0,1.86375,0
1.91625,0,1.91625,0,1.91625,0
1.96875,0,1.96875,0,1.96875,0
2.02125,0,2.02125,0,2.02125,0
2.07375,0,2.07375,0,2.07375,0
2.12625,0,2.12625,0,2.12625,0
2.17875,0,2.17875,0,2.17875,0
2.23125,0,2.23125,0,2.23125,0
2.28375,0,2.28375,0,2.28375,0
2.33625,0,2.33625,0.000627427,2.33625,0
2.38875,0,2.38875,0.002600656,2.38875,0
2.44125,0,2.44125,0.010726185,2.44125,0
2.49375,0,2.49375,0.040933748,2.49375,0
2.54625,0,2.54625,0.137157165,2.54625,0
2.59875,0,2.59875,0.322671542,2.59875,0
2.65125,0,2.65125,0.634817116,2.65125,0.000327833
2.70375,0,2.70375,1.091669316,2.70375,0.002206581
2.75625,0,2.75625,1.665950968,2.75625,0.004549979
2.80875,0.000292099,2.80875,2.194186165,2.80875,0.005841975
2.86125,0.001407391,2.86125,2.758461119,2.86125,0.010133213
2.91375,0.002985691,2.91375,3.144402513,2.91375,0.016557013
2.96625,0.005761882,2.96625,3.40760367,2.96625,0.020166585
3.01875,0.009356318,3.01875,3.541520838,3.01875,0.044252855
3.07125,0.016368255,3.07125,3.549762309,3.07125,0.059609763
3.12375,0.035896269,3.12375,3.45215465,3.12375,0.081947404
3.17625,0.062586376,3.17625,3.291682346,3.17625,0.110325619
3.22875,0.092619856,3.22875,3.091556108,3.22875,0.158050589
3.28125,0.135482839,3.28125,2.879124283,3.28125,0.185566542
3.33375,0.173547719,3.33375,2.594107969,3.33375,0.235958547
3.38625,0.231914316,3.38625,2.412055332,3.38625,0.294414621
3.43875,0.304786405,3.43875,2.184414443,3.43875,0.35915687
