Cs-F,,Cs-Cs,,F-F,,Cs-F,eV,,,,,m,m,Coulomb,F/m,J/K,K,mol^-1,mol/m^3,,
X,Y,X,Y,X,Y,U(r ),U(r_0),sigma,epsilon,Z_c,Z_a,lambda_D,r_ideal,e,epsilon_0,k_B,T,N_A,I (Ionic strength),c_c,c_a
2.317241379,0.030273056,3.183925024,0.001771296,2.763204808,0.017663186,=,0.00775,3.83326E-10,-0.00775,1,-1,2.14539E-11,4.30269E-10,1.60E-19,8.85E-12,1.38E-23,1.27E+03,6.02E+23,1.09E+04,1.09E+04,1.09E+04
2.37614221,0.138579743,3.361506987,0.039012164,2.948321703,0.056011008,,,,,,,,,,,,,,,,
2.409799827,0.279188424,3.444771558,0.122428746,3.099780981,0.134236618,,,LJ term,C potential term,,,,, ,,,,,,,
2.43504304,0.459971015,3.503672388,0.222184905,3.200753833,0.222944952,,at r_ideal,0.00775,-1.04529E-27,,,,,,,,,,,,
2.460286253,0.758017989,3.554158814,0.338725434,3.276483472,0.308640243,,,,,,,,,,,,,,,,
2.460286253,0.640210715,3.60464524,0.453049159,3.343798706,0.403646109,,,,,,,,,,,,,,,,
2.485529466,0.952780014,3.629888453,0.556605553,3.415321143,0.506252444,,,,,,,,,,,,,,,,
2.510772679,1.210245911,3.668594713,0.663012123,3.453185962,0.58447394,,,,,,,,,,,,,,,,
2.53321109,1.65335327,3.705618092,0.79982057,3.503672388,0.665862299,,,,,,,,,,,,,,,,
2.544430296,1.761279934,3.730861305,0.910027375,3.554158814,0.761818224,,,,,,,,,,,,,,,,
2.561259105,1.966492604,3.769567565,1.016433944,3.618669247,0.873925145,,,,,,,,,,,,,,,,
2.578087913,2.429276734,3.806590944,1.161792919,3.667753273,0.977481539,,,,,,,,,,,,,,,,
2.61174553,2.931752203,3.840248561,1.293091026,3.705618092,1.05950327,,,,,,,,,,,,,,,,
2.636988743,3.266410366,3.882320583,1.422108992,3.756104518,1.141841688,,,,,,,,,,,,,,,,
2.662231956,3.509387868,3.918783001,1.515531427,3.81921255,1.259648961,,,,,,,,,,,,,,,,
2.684670368,3.824807343,3.958050222,1.633338701,3.865491774,1.337553771,,,,,,,,,,,,,,,,
2.716069882,4.061613489,4.008536647,1.74734574,3.941221413,1.439020036,,,,,,,,,,,,,,,,
2.736749351,4.215281452,4.067437478,1.857235858,4.042194265,1.539237653,,,,,,,,,,,,,,,,
2.788448021,4.302686849,4.16841033,1.953666812,4.193653543,1.606852217,,,,,,,,,,,,,,,,
2.848061937,4.1742541,4.328284012,1.964074273,4.378770438,1.593724134,,,,,,,,,,,,,,,,
2.883644884,3.997106117,4.462914481,1.875286973,4.547058524,1.524398641,,,,,,,,,,,,,,,,
2.916423029,3.789548895,4.547058524,1.793961952,4.698517802,1.438259989,,,,,,,,,,,,,,,,
2.954810778,3.537406547,4.631202567,1.70275632,4.841562675,1.355604886,,,,,,,,,,,,,,,,
2.965150512,3.425782706,4.706932206,1.616871017,5.001436357,1.269322286,,,,,,,,,,,,,,,,
2.987588923,3.274336318,4.791076249,1.522498524,5.186553252,1.193317593,,,,,,,,,,,,,,,,
3.015636938,3.136964873,4.892049101,1.428759403,5.371670147,1.123531466,,,,,,,,,,,,,,,,
3.040880151,2.907050677,4.993021953,1.339453889,5.548372638,1.054056267,,,,,,,,,,,,,,,,
3.066123364,2.728439649,5.102409209,1.249876929,5.725075129,0.965994467,,,,,,,,,,,,,,,,
3.088561775,2.550039746,5.225820472,1.16590984,5.901777619,0.881145591,,,,,,,,,,,,,,,,
3.11660979,2.390218767,5.346426934,1.09053852,6.07848011,0.808457467,,,,,,,,,,,,,,,,
3.139048201,2.229975539,5.489471808,1.014322703,6.263597005,0.756981561,,,,,,,,,,,,,,,,
3.167096216,2.086199995,5.640931085,0.929873044,6.4487139,0.733489202,,,,,,,,,,,,,,,,
3.192339429,1.974093074,5.809219172,0.846805289,6.633830795,0.734525629,,,,,,,,,,,,,,,,
3.217582641,1.829684157,5.994336067,0.769418693,6.81894769,0.757672513,,,,,,,,,,,,,,,,
3.242825854,1.730878057,6.179452962,0.715869932,7.004064585,0.802238901,,,,,,,,,,,,,,,,
3.268069067,1.601670079,6.364569857,0.681322344,7.18918148,0.863388131,,,,,,,,,,,,,,,,
3.284897876,1.521865151,6.549686752,0.676140206,7.374298375,0.931446879,,,,,,,,,,,,,,,,
3.318555493,1.434459755,6.734803647,0.695832331,7.55941527,0.997778247,,,,,,,,,,,,,,,,
3.335384302,1.350854593,6.919920542,0.733143726,7.744532165,1.059963905,,,,,,,,,,,,,,,,
3.377456324,1.22544685,7.105037437,0.793602004,7.92964906,1.111785286,,,,,,,,,,,,,,,,
3.411113941,1.145641922,7.281739928,0.867464747,8.114765955,1.143569067,,,,,,,,,,,,,,,,
3.453185962,1.043035587,7.429593032,0.935543236,8.29988285,1.159460957,,,,,,,,,,,,,,,,
3.503672388,0.936629017,7.660388122,1.057545574,8.484999745,1.159460957,,,,,,,,,,,,,,,,
3.537330006,0.872025028,7.845505017,1.131477411,8.67011664,1.14495097,,,,,,,,,,,,,,,,
3.613059644,0.770368752,8.030621912,1.190553786,8.855233535,1.120422183,,,,,,,,,,,,,,,,
3.747690114,0.639735686,8.215738807,1.220264711,9.04035043,1.089329354,,,,,,,,,,,,,,,,
3.890734987,0.546471594,8.400855702,1.222337567,9.225467325,1.051327008,,,,,,,,,,,,,,,,
4.053974431,0.488581353,8.585972597,1.202990918,9.41058422,1.01263371,,,,,,,,,,,,,,,,
4.244139968,0.46056326,8.771089492,1.166370475,9.595701115,0.976013267,,,,,,,,,,,,,,,,
4.429256863,0.464018018,8.939377579,1.123685011,9.78081801,0.94561139,,,,,,,,,,,,,,,,
4.614373758,0.486819426,9.275953751,1.028180124,9.965934906,0.921773554,,,,,,,,,,,,,,,,
4.804539296,0.535704263,9.461070646,0.983613736,10.1510518,0.905881664,,,,,,,,,,,,,,,,
4.984607549,0.596680755,9.646187541,0.946302342,10.3361687,0.901045002,,,,,,,,,,,,,,,,
5.148688433,0.666337328,9.831304436,0.911409278,10.52128559,0.902081429,,,,,,,,,,,,,,,,
5.304354913,0.753795506,10.01642133,0.889298822,10.70640249,0.914173085,,,,,,,,,,,,,,,,
5.441790183,0.837189544,10.20153823,0.878934546,10.89151938,0.93386521,,,,,,,,,,,,,,,,
5.568006248,0.921428078,10.38665512,0.875825263,11.07663628,0.956090825,,,,,,,,,,,,,,,,
5.694783273,1.007313381,10.57177202,0.886535015,11.26175317,0.978431598,,,,,,,,,,,,,,,,
5.809219172,1.090809965,10.75688891,0.902081429,11.44687007,1.004918082,,,,,,,,,,,,,,,,
5.943849641,1.176888296,10.94200581,0.925573789,11.63198696,1.024034414,,,,,,,,,,,,,,,,
6.103723323,1.268389501,11.10788978,0.949115502,11.81710386,1.041999159,,,,,,,,,,,,,,,,
6.280425814,1.334271751,11.38917129,1.005576131,12.00222075,1.055818194,,,,,,,,,,,,,,,,
6.470591351,1.36263532,11.56467173,1.03025298,12.18733765,1.061000333,,,,,,,,,,,,,,,,
6.654399339,1.337342647,11.74978862,1.053745339,12.37245454,1.061000333,,,,,,,,,,,,,,,,
6.835776499,1.277613707,11.93490552,1.071710085,12.55757144,1.055818194,,,,,,,,,,,,,,,,
7.020893394,1.199536159,12.12002241,1.080692457,12.74268833,1.042229477,,,,,,,,,,,,,,,,
7.18918148,1.119462528,12.30513931,1.081037933,12.92780523,1.031634883,,,,,,,,,,,,,,,,
