K-Cl,,K-K,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
2.489984642,0.033573007,2.780297123,-0.001870171,2.968146376,0.016728724
2.558293461,0.144230585,2.968146376,0.015232418,3.138918424,0.070458866
2.575370666,0.233013991,3.121345029,0.050892267,3.258458858,0.150149479
2.592447871,0.28834278,3.223684211,0.111037673,3.343844882,0.237388825
2.62660228,0.548902775,3.305555556,0.185062789,3.420692303,0.329839372
2.645374801,0.666637292,3.366959064,0.259087905,3.489001122,0.425378037
2.66075669,0.848836281,3.430926221,0.362650631,3.548771339,0.516091517
2.677833895,1.09125358,3.48046252,0.453042431,3.600002954,0.599728058
2.686372497,1.195477578,3.531694134,0.537965689,3.651234568,0.691084896
2.703449702,1.421296241,3.582925749,0.628035811,3.702466182,0.78372845
2.720526906,1.647114903,3.634157363,0.733546525,3.753697797,0.876372004
2.729065509,1.901884676,3.685388977,0.850637683,3.804929411,0.961295261
2.754681316,2.18560556,3.736620592,0.934274225,3.856161025,1.052652099
2.771758521,2.388263334,3.787852206,1.042358371,3.90739264,1.142722221
2.788835726,2.681634588,3.839083821,1.142722221,3.967162857,1.242764392
2.808759131,3.00460031,3.890315435,1.227645479,4.035471676,1.344093279
2.824685451,3.121691469,3.950085652,1.324792539,4.103780495,1.431911648
2.84006734,3.422783019,4.035471676,1.442527055,4.189166519,1.524876881
2.867378463,3.658252051,4.146473507,1.546751053,4.33432276,1.616584641
2.882760352,3.843539159,4.26316774,1.613660286,4.522172013,1.638341839
2.907559513,4.016820552,4.491433044,1.613912022,4.701482663,1.578018253
2.919824709,4.06279557,4.658789651,1.537315136,4.846638904,1.491054631
2.932089905,4.15115464,4.795407289,1.4530046,4.97471794,1.403925574
2.985223581,4.238560979,4.914947723,1.373595839,5.111335578,1.309351946
3.079148207,3.940042861,5.034488156,1.288672582,5.273569024,1.221445847
3.096225412,3.821343307,5.171105795,1.204913496,5.461418276,1.149506724
3.116148818,3.714867556,5.341877843,1.130907829,5.649267529,1.104588637
3.138918424,3.582979164,5.529727096,1.079673136,5.837116782,1.057565015
3.155995629,3.458811067,5.717576348,1.055108557,6.024966035,0.99229342
3.164534231,3.368740945,5.940062418,1.024098219,6.204276685,0.909440606
3.184457637,3.264516947,6.246969697,0.909475698,6.383587335,0.833325504
3.207227243,3.132306876,6.43481895,0.834027349,6.571436588,0.768053909
3.215765846,3.013607322,6.622668202,0.777177896,6.759285841,0.732259809
3.241381653,2.903593102,6.801978853,0.749630475,6.947135094,0.716819217
3.258458858,2.770417994,7.032521118,0.748402246,7.134984346,0.732259809
3.275536062,2.653326835,7.22037037,0.77226498,7.322833599,0.769106677
3.292613267,2.551676269,7.408219623,0.816481222,7.510682852,0.825605208
3.309690472,2.446165555,7.596068876,0.875787133,7.698532105,0.894035106
3.326767677,2.341941557,7.783918129,0.941760573,7.886381357,0.962465003
3.343844882,2.248011287,7.962280045,1.006759228,8.07423061,1.032649514
3.369460689,2.111297709,8.134000827,1.056512247,8.262079863,1.095464651
3.395076496,1.992598156,8.469852521,1.131785135,8.449929116,1.141084583
3.412153701,1.889017516,8.637778368,1.151963182,8.637778368,1.168807464
3.437769508,1.797660678,8.825627621,1.158981633,8.825627621,1.177931451
3.463385315,1.697296828,9.013476874,1.147050266,9.013476874,1.170912999
3.48046252,1.603366558,9.201326127,1.128451371,9.201326127,1.147401188
3.51461693,1.491422264,9.38917538,1.099675721,9.38917538,1.116520004
3.531694134,1.412932586,9.645333451,1.049563981,9.577024632,1.073707452
3.565848544,1.315142169,9.759181483,1.024344347,9.764873885,1.036158739
3.600002954,1.219925183,10.1747268,0.967728842,9.952723138,0.995802646
3.651234568,1.109267604,10.55042531,0.921407065,10.14057239,0.961412236
3.711004785,1.001505137,10.80316794,0.905966472,10.32842164,0.934742122
3.779313604,0.870260103,10.98589403,0.908282561,10.5162709,0.913335846
3.847622423,0.777616549,11.26197551,0.923551591,10.70412015,0.900351712
3.933008447,0.689154822,11.41567035,0.934274225,10.8919694,0.894736951
4.052548881,0.600049737,11.63653553,0.961552605,11.07981865,0.899298944
4.214782326,0.523811813,11.93367889,0.998610026,11.26766791,0.912634001
4.402631579,0.476788191,12.29230019,1.021770915,11.45551716,0.931583819
4.590480832,0.462049444,12.59115128,1.044931803,11.64336641,0.952288249
4.778330084,0.46976974,12.99246559,1.052652099,11.83121567,0.976150983
4.966179337,0.499247234,13.24862366,1.044931803,12.01906492,1.000715562
5.15402859,0.549078237,13.59870636,1.021770915,12.20691417,1.023525527
5.341877843,0.620666437,13.89755745,0.998610026,12.39476342,1.039667965
5.512649891,0.704380962,14.34795322,0.971579643,12.58261268,1.054406712
5.657806131,0.789679512,14.88376602,0.963622566,12.77046193,1.060021473
5.785885167,0.876739637,,,12.95831118,1.062828853
5.905425601,0.961662895,,,13.14616043,1.05686317
6.033504637,1.057477284,,,13.33400969,1.049493796
6.161583673,1.145847103,,,13.52185894,1.036860584
6.298201311,1.228074384,,,13.70970819,1.021419992
6.468973359,1.302859879,,,13.89755745,1.00738309
6.656822612,1.342163205,,,14.0854067,0.99229342
6.844671865,1.33865398,,,14.27325595,0.980362054
7.032521118,1.296894196,,,14.4611052,0.968430687
7.22037037,1.233026291,,,14.64895446,0.963517771
7.408219623,1.155472407,,,14.83680371,0.957201165
7.596068876,1.077567601,,,14.95634414,0.954861681
7.775379526,1.010576485,,,,
8.005921791,0.940356883,,,,
8.193771044,0.898597099,,,,
8.381620297,0.869119604,,,,
8.569469549,0.855433625,,,,
8.757318802,0.850169787,,,,
8.945168055,0.854380857,,,,
9.133017308,0.864908534,,,,
9.32086656,0.884911119,,,,
9.508715813,0.911581233,,,,
9.696565066,0.943515186,,,,
9.867337114,0.976735854,,,,
10.08934078,1.019665379,,,,
10.27719003,1.052652099,,,,
10.46503928,1.077918523,,,,
10.65288853,1.09265727,,,,
10.84073779,1.098272031,,,,
11.02858704,1.094411883,,,,
11.21643629,1.080374981,,,,
11.40428555,1.063179776,,,,
11.5921348,1.042826268,,,,
11.77998405,1.019314457,,,,
11.9629541,0.998058577,,,,
12.15568256,0.977554673,,,,
12.34353181,0.961412236,,,,
12.53138106,0.950182714,,,,
12.71923031,0.941058728,,,,
12.90707957,0.940707805,,,,
13.09492882,0.940707805,,,,
13.28277807,0.947024411,,,,
13.47062733,0.95790301,,,,
13.65847658,0.970185299,,,,
13.84632583,0.983871279,,,,
14.00428998,0.993784841,,,,
14.22202434,1.011945083,,,,
14.40987359,1.023525527,,,,
14.59772284,1.032649514,,,,
14.7855721,1.033351359,,,,
14.93072834,1.033994717,,,,
