Li-F,,Li-Li,,F-F,
R (A),RDF,R (A),RDF,R (A),RDF
1.510219515,0.052182209,1.841010401,0.004697987,2.011241122,0.066325981
1.561460361,0.202620518,1.965824666,0.023489933,2.113722814,0.164046593
1.578540643,0.356916221,2.090949105,0.089213177,2.176350515,0.273982281
1.612701207,0.607646737,2.159270233,0.173047176,2.210511079,0.337629258
1.629781489,0.923952927,2.191569749,0.245051837,2.261751925,0.472637998
1.681022336,1.697360134,2.242810596,0.353058828,2.321532912,0.644291966
1.732263182,2.563344764,2.294051442,0.488067568,2.372773759,0.790872884
1.783504028,3.269247602,2.353832429,0.680937196,2.424014605,0.94323989
1.834744874,3.678131213,2.381872214,0.803355705,2.46671531,1.066676451
1.877445579,3.72634862,2.41307578,0.897315436,2.500875874,1.180469532
1.937226566,3.516120725,2.465081724,1.038255034,2.55211672,1.315478271
1.988467412,3.149668432,2.506686478,1.216778523,2.586277284,1.408698591
2.039708259,2.760071784,2.537890045,1.310738255,2.663138554,1.55463661
2.056788541,2.563344764,2.553977768,1.382982641,2.812591021,1.695431438
2.108029387,2.169890723,2.577737143,1.463344986,2.97058363,1.648178379
2.159270233,1.830440178,2.620437848,1.566851686,3.075912036,1.544993128
2.210511079,1.552707914,2.680218836,1.680966216,3.226787861,1.387804382
2.261751925,1.313549575,2.808320951,1.786066436,3.377663686,1.253117092
2.312992771,1.112965162,2.953503348,1.723076085,3.487262163,1.172754747
2.364233618,0.966384245,3.0474449,1.620340863,3.649524842,1.061854711
2.517956156,0.673222411,3.098685746,1.564280091,3.776203601,0.970241637
2.63751813,0.549785849,3.182763744,1.423489933,3.88437872,0.897915527
2.791240669,0.480352783,3.30364913,1.274975649,4.044506364,0.796658972
3.064525182,0.480352783,3.397590682,1.191398811,4.215736192,0.727997385
3.491532233,0.719511121,3.508612515,1.099739816,4.362626618,0.704081551
3.594013925,0.812088543,3.63671463,1.017494696,4.564173946,0.739569562
3.645254772,0.866092038,3.779456988,0.931116656,4.738392823,0.819803328
4.021020977,1.267260864,3.909999143,0.847447974,4.892115361,0.911416401
4.396787182,1.352123501,4.108469539,0.765771812,5.034451045,1.002386575
4.448028028,1.328979145,4.337295691,0.7,5.182480156,1.095992635
4.499268874,1.30583479,4.545319465,0.732885906,5.3789034,1.174683443
4.55050972,1.274975649,4.680534918,0.784563758,5.703428759,1.192041709
4.652991413,1.205542583,4.755473105,0.850662468,5.942552708,1.125823137
4.823794233,1.082106022,4.954743062,0.976670625,6.087735105,1.071819641
5.079998464,0.935525104,5.084878544,1.063370115,6.238041587,1.017301827
5.250801284,0.866092038,5.238601083,1.143824303,6.406567037,0.961241055
5.361823118,0.842947683,5.395983682,1.193129812,6.570253073,0.920095534
5.771749887,0.842947683,5.677808336,1.191794201,6.736785823,0.893093786
6.813647092,1.12839473,5.951092849,1.112074755,6.890508361,0.889236394
6.856347797,1.128394732,6.134705881,1.043284588,7.035690759,0.893093786
7.300435131,1.058961666,6.343939336,0.967224839,7.197953438,0.916238142
7.394376682,1.03581731,6.542347697,0.920805369,7.391529968,0.956097865
7.488318233,1.012672956,6.750371471,0.887919463,7.562332789,0.997243385
7.590799926,0.9895286,7.104011887,0.897315436,7.829923874,1.051246881
7.701821759,0.966384245,7.334595695,0.949273487,8.404960037,1.064104856
7.975106272,0.935525104,7.676201336,1.031119324,8.62842706,1.035817311
8.333792195,0.935525104,7.956909361,1.07114094,8.850470727,1.003029474
8.914521785,1.012672956,8.310549777,1.075838926,8.991383054,0.983742511
9.085324605,1.0358173,8.61218425,1.033557047,9.170726015,0.96381265
9.768535887,1.035817311,8.830609212,1.000671141,9.307368272,0.95866946
9.79415631,1.0358173,9.017830609,0.977181208,9.597733067,0.95866946
9.990579554,1.012672956,9.32986627,0.948993289,9.785616169,0.966384245
10.01619998,1.012672956,9.745913819,0.963087248,10.00765984,0.987599904
10.2297035,0.9895286,9.995542348,0.986577181,10.27240421,1.012672956
10.25532393,0.9895286,10.34918276,1.024161074,,
10.63963027,0.966384245,10.64041605,1.038255034,,
10.66525069,0.966384245,10.8692422,1.033557047,,
10.7079514,0.966384245,,,,
10.74211196,0.966384245,,,,
10.77627253,0.966384245,,,,
