Mg-Cl,,Mg-Mg,,Cl-Cl,
X,Y,X,Y,X,Y
2.080652948,0.156404253,2.882263962,0.018086615,2.773089806,0.026394881
2.115182223,0.34865794,2.986006508,0.029901993,2.870883977,0.073012485
2.130246552,0.553697182,3.080255018,0.094692649,2.911359551,0.12596274
2.137067253,0.723415795,3.151714244,0.154620708,2.942591868,0.174804806
2.146467337,0.824502921,3.190165783,0.20966701,2.971002029,0.224723092
2.152191604,1.059675546,3.223117707,0.262468356,2.994790457,0.27809619
2.161651589,1.249034639,3.256062526,0.32137598,3.018574538,0.335204893
2.174070446,1.452156212,3.293721151,0.382336135,3.036855061,0.391955089
2.18442038,1.719919338,3.325619061,0.440268808,3.061235224,0.462353853
2.207551491,2.028882188,3.351753926,0.497175215,3.083153288,0.546402251
2.216732786,2.256142923,3.378678526,0.5509002,3.105066613,0.634521502
2.224517982,2.478431973,3.400625994,0.603701547,3.127293415,0.716025579
2.231812629,2.604388926,3.422570537,0.659017243,3.134968387,0.758319581
2.237863768,2.78877458,3.444517588,0.712177782,3.148902741,0.802618299
2.240838746,3.025841849,3.466465474,0.764619935,3.165241251,0.876541573
2.247652549,3.215316068,3.488410017,0.819935631,3.171300982,0.915804665
2.260098899,3.633149635,3.508524497,0.871803076,3.179305542,0.952816989
2.261318097,3.485608674,3.528636385,0.925897517,3.192067666,1.021960022
2.268082667,3.81606608,3.55057633,0.985164334,3.201196638,1.060033328
2.27901912,4.020805994,3.574344439,1.049511165,3.212147607,1.108984818
2.281419199,4.152909136,3.601780298,1.114204359,3.2225704,1.154857579
2.289884076,4.430285823,3.633931724,1.179436343,3.234039464,1.21554722
2.299779399,4.570914826,3.654826074,1.236599317,3.248130589,1.268769842
2.303236914,4.720433811,3.68594434,1.28904147,3.256115804,1.315898445
2.311693637,5.021158032,3.707896406,1.337891695,3.269850495,1.364273286
2.324453668,5.257626646,3.729844293,1.390333849,3.283849316,1.40994218
2.341799787,5.495691674,3.749956933,1.443781742,3.296892477,1.496286784
2.35740325,5.778285209,3.788410584,1.49701412,3.321699938,1.561862048
2.368017397,5.963081369,3.832369158,1.547929704,3.329491088,1.629936674
2.442330743,6.057429353,3.876323343,1.602616813,3.340072396,1.691908095
2.459873826,5.820419325,3.919491898,1.656957557,3.362009463,1.759631177
2.474155307,5.626397954,4.013749325,1.714086322,3.381921364,1.838740923
2.487696195,5.378041767,4.134787949,1.723011719,3.399831156,1.909430279
2.502440596,5.18578808,4.239376016,1.683704595,3.444343367,1.995925105
2.507077833,5.040913638,4.310965479,1.631711432,3.472249665,2.078392883
2.525619432,4.857725293,4.364832193,1.574001117,3.511834372,2.137465643
2.540252826,4.608086275,4.4101363,1.519373874,3.589715976,2.189270905
2.551346382,4.362937167,4.458337533,1.470613447,3.660636463,2.180492567
2.563346815,4.147720795,4.50379016,1.419697863,3.695285037,2.150481348
2.579939991,3.91504366,4.547872559,1.36420257,3.754073012,2.09336238
2.594252109,3.647245449,4.591950256,1.312748197,3.789768274,2.039325078
2.610847445,3.408382216,4.636027639,1.261563219,3.827566084,1.990983287
2.6288263,3.147967412,4.680108784,1.207145505,3.865371062,1.936483904
2.640825165,2.937240951,4.723401479,1.154805978,3.893737213,1.884941338
2.662312575,2.699375475,4.751752605,1.108439314,3.931543481,1.829333588
2.67583837,2.494236458,4.790325127,1.059517251,3.959912356,1.775451137
2.697930782,2.27512883,4.83440878,1.002944379,3.99299516,1.724800835
2.720033542,2.026387794,4.878489298,0.949065455,4.027660037,1.670318946
2.743693008,1.823058994,4.942746951,0.893210969,4.052570299,1.611216656
2.778897268,1.583483077,5.027180483,0.836458502,4.11536718,1.525467947
2.80281946,1.378344059,5.109774087,0.784734734,4.173862963,1.434909736
2.836692544,1.198063466,5.21436566,0.742415288,4.218970295,1.3728835
2.874495307,1.022743155,5.335440889,0.719884101,4.252754303,1.320269067
2.917364901,0.84833508,5.456493775,0.716553404,4.287940936,1.270044138
2.970928481,0.697374315,5.577531386,0.726349572,4.321807954,1.221171611
3.072805289,0.544798996,5.698555546,0.747705218,4.359172165,1.167891637
3.19393013,0.437694224,5.819577198,0.771216022,4.395487464,1.121576239
3.315037409,0.380876449,5.940584258,0.807265921,4.443078123,1.064189268
3.436132146,0.359977957,6.061587216,0.84684244,4.491453232,1.010543792
3.551714128,0.364222963,6.182596328,0.881129029,4.540255046,0.963423599
3.744339285,0.40416956,6.30359199,0.926975095,4.601294297,0.915155889
3.865412508,0.444878081,6.424600419,0.961849454,4.676496034,0.85880458
3.977311756,0.487545835,6.545604972,1.00005451,4.759112959,0.809572064
4.107551808,0.546758229,6.666607701,1.039826953,4.858244659,0.757889852
4.228617125,0.610106783,6.787615901,1.074897235,4.973875325,0.717338935
4.349680389,0.679333038,6.908631626,1.103502046,5.095000411,0.684996523
4.470744566,0.745946982,7.029645982,1.133282397,5.216111814,0.664409515
4.591805778,0.821050938,7.150689749,1.137788634,5.337208848,0.656165681
4.712869042,0.890277193,7.271710185,1.162344362,5.458283761,0.666926416
4.833931394,0.962115759,7.392759271,1.162279054,5.557337788,0.681972212
4.954992986,1.036131252,7.513813297,1.15796874,5.738905986,0.736061187
5.072762813,1.079735085,7.634880319,1.142490795,5.843433127,0.777618778
5.164114992,1.119246296,7.755954408,1.120939225,5.942453115,0.821906918
5.384228497,1.249470025,7.877034652,1.094097724,6.035966236,0.868680161
5.505290165,1.323267825,7.99812584,1.057851902,6.123973083,0.917429648
5.626370077,1.344819395,8.119209504,1.028071551,6.211978361,0.967526108
5.835529318,1.321308591,8.240296589,0.995352349,6.305489148,1.016304844
5.956635001,1.269062361,8.361375237,0.969882312,6.404502447,1.066340071
6.077749351,1.191999172,8.48245229,0.945783738,6.509022814,1.113716586
6.198864841,1.111670593,8.603524213,0.92609344,6.624551356,1.160900163
6.319976454,1.042444338,8.724586333,0.914827847,6.745600498,1.193800241
6.441086698,0.97713655,8.845644462,0.906990912,6.86667123,1.208152904
6.562193522,0.921624931,8.966695297,0.905423526,6.987754657,1.211599166
6.683296925,0.875909479,9.087737695,0.911105303,7.123654126,1.202573896
6.804393562,0.849568672,9.208772799,0.923056628,7.251977399,1.18413705
6.919334829,0.836153689,9.329806306,0.936379417,7.373110695,1.144741397
7.046577713,0.823010171,9.450840041,0.949506282,7.494240765,1.10811666
7.167657398,0.845214819,9.571869901,0.965963845,7.615371813,1.070652251
7.288745065,0.844561741,9.69290204,0.980462174,7.736501917,1.033999525
7.409826346,0.862194844,9.81393573,0.993628224,7.857630879,0.998326416
