Na-Cl,,Na-Na,
X,Y,X,Y
0.096187325,-7.0798E-05,0.138449415,0.005231313
0.240156278,-0.000634797,0.282475602,0.005163522
0.384125709,-0.000668624,0.426501788,0.005095731
0.52809514,-0.000702452,0.570527975,0.005027941
0.67206457,-0.000736279,0.714554161,0.00496015
0.816034001,-0.000770106,0.858580348,0.004892359
0.960003431,-0.000803934,1.002606535,0.004824569
1.103972862,-0.000837761,1.146632721,0.004756778
1.247942292,-0.000871589,1.290658908,0.004688987
1.391911723,-0.000905416,1.434685094,0.004621197
1.535881154,-0.000939243,1.578711281,0.004553406
1.679850584,-0.000973071,1.722737467,0.004485615
1.823820015,-0.001006898,1.866763654,0.004417824
1.967797082,0.007442018,2.010789841,0.004350034
2.087804062,0.043465488,2.154816027,0.004282243
2.169461769,0.126789275,2.298842214,0.004214452
2.207921773,0.20248874,2.4428684,0.004146662
2.232000799,0.295925824,2.586894587,0.010451197
2.256069802,0.378229307,2.730920773,0.042245036
2.270139317,0.45874581,2.87494696,0.107493585
2.301598982,0.606457476,2.970964418,0.178818442
2.304358153,0.709840286,3.042977511,0.265527833
2.327274876,0.781408065,3.119791477,0.367050622
2.328507697,0.881610205,3.179002243,0.473958346
2.340567435,0.950794763,3.243013881,0.588749564
2.37667792,1.082003745,3.31284476,0.717148028
2.37675524,1.167891523,3.371037158,0.848202278
2.410556011,1.398826323,3.430476537,0.958165198
2.421677381,1.529506185,3.479501323,1.060402781
2.441268931,1.753583421,3.529065891,1.154238502
2.449375696,1.874063008,3.579074983,1.237851741
2.449453015,1.959950786,3.629750864,1.339386833
2.455832027,2.045837084,3.718177198,1.465259921
2.47285826,2.112634703,3.840836862,1.556401725
2.485398252,2.3114461,3.986148997,1.621493206
2.493940884,2.51224658,4.115899861,1.607447413
2.507747704,2.637496372,4.200278839,1.552229148
2.514126716,2.72338267,4.301492046,1.522388816
2.520505728,2.809268967,4.37121901,1.45135008
2.533469548,2.886564938,4.500842577,1.382945873
2.546386246,3.019210833,4.603261199,1.307863529
2.546463566,3.105098611,4.747287386,1.243010425
2.552842578,3.190984909,4.827301934,1.185545969
2.56661396,3.27686947,4.945141541,1.147815162
2.568281412,3.379095799,5.037340122,1.102749111
2.582178601,3.470113355,5.176903959,1.054661205
2.587321863,3.529467265,5.299387767,1.001664231
2.598294764,3.602917549,5.444141359,0.942941734
2.612664007,3.67983725,5.595441595,0.883105827
2.622137863,3.744934904,5.723464872,0.825694635
2.663223073,3.841479506,5.867491059,0.780489536
2.754952058,3.696721111,6.006716373,0.750898895
2.763227435,3.627575153,6.155543432,0.746899244
2.766233996,3.536530903,6.299569619,0.74736248
2.776318481,3.469272482,6.443595805,0.770659885
2.786680659,3.40278653,6.587621992,0.802453723
2.800180224,3.321349003,6.731648178,0.84964735
2.818504621,3.21478021,6.875674365,0.905337411
2.826428825,3.13246921,7.019700552,0.959965417
2.856705747,3.002914669,7.163726738,1.014062397
2.87422641,2.918931374,7.312117355,1.065888388
2.885226567,2.807274654,7.451779111,1.110573758
2.906034908,2.713747498,7.595805298,1.142898624
2.928859668,2.625468566,7.739831485,1.16035473
2.952427036,2.487088246,7.883857671,1.165066183
2.969706673,2.364216921,8.027883858,1.162343257
2.983905507,2.251843718,8.171910044,1.145813624
3.002633087,2.131596403,8.315936231,1.128752964
3.025416649,2.055246342,8.459962417,1.100540734
3.028536072,1.966494886,8.603988604,1.068080287
3.06520734,1.832167299,8.748014791,1.043585247
3.091730531,1.679074022,8.892040977,1.010062745
3.12362136,1.565344725,9.036067164,0.982381542
3.161991608,1.456726273,9.18009335,0.956824448
3.18075853,1.360950154,9.324119537,0.932329408
3.216669272,1.270282376,9.468145723,0.914206694
3.261871991,1.135873259,9.61217191,0.904580415
3.315095205,1.026115236,9.756198097,0.902919542
3.352340787,0.937435287,9.900224283,0.90869305
3.42222713,0.827673349,10.04425047,0.914466558
3.520106884,0.717189102,10.18827666,0.928205474
3.623999539,0.622449537,10.33230284,0.940882335
3.759902536,0.546735612,10.47632903,0.960993576
3.903831875,0.502167381,10.62035522,0.985884062
4.047780782,0.47933618,10.7643814,1.005464276
4.191747826,0.476651496,10.90840759,1.0213273
4.335731575,0.492522812,11.05243378,1.039314433
4.479730597,0.525359616,11.19645996,1.05092924
4.62374012,0.569860192,11.34048615,1.058826856
4.767761097,0.627084884,11.48451234,1.06353831
4.911794961,0.698624205,11.62853852,1.059222302
5.047842753,0.783751049,11.77256471,1.058092457
5.175890215,0.866626544,11.9165909,1.055369531
5.303950027,0.963220226,12.06061708,1.046274278
5.432008765,1.058621022,12.20464327,1.032930809
5.545192804,1.131019653,12.34866946,1.017994257
5.664104012,1.219075935,12.49269564,1.004119761
5.808137875,1.290615256,12.63672183,0.991838345
5.952151216,1.339357204,12.78074801,0.983805147
6.096133056,1.353107835,12.9247742,0.971523732
6.240086736,1.335578349,13.06880039,0.962959507
6.384013211,1.287829089,13.21282657,0.961829662
6.52793205,1.231597086,13.35685276,0.959637762
6.671844684,1.168472853,13.50087895,0.960632026
6.815748249,1.095275363,13.64490513,0.963750398
6.959657065,1.027909759,13.78893132,0.965275689
7.103574949,0.970617412,13.93295751,0.976359468
7.247504765,0.926579353,14.07698369,0.981601949
7.391438877,0.887312837,14.22100988,0.993216756
7.535383011,0.859179921,14.36503607,1.002707454
7.679335737,0.840590092,14.50906225,1.006887881
7.823302304,0.837375236,14.65308844,1.01425447
7.967271735,0.837341409,14.79711463,1.022683114
8.111245461,0.842079125,14.94114081,1.023146351
8.255230642,0.859540956,15.085167,1.031574994
8.399219164,0.880713987,15.22919319,1.027258987
8.543207208,0.901356847,15.37321937,1.028784277
8.687212435,0.94108588,15.51724556,1.023937242
8.83121098,0.973392512,15.66127175,1.020152261
8.975215252,1.012061202,15.80529793,1.016367281
9.119213797,1.044367835,15.93332121,1.009631252
9.26320566,1.069252066,,
9.407197045,1.093606127,,
9.551180794,1.109477443,,
9.695154043,1.113684988,,
9.839123474,1.11365116,,
9.983078108,1.097182017,,
10.12703274,1.080712874,,
10.27098833,1.065304074,,
10.41493629,1.041412531,,
10.55888853,1.02229253,,
10.7028341,0.995750129,,
10.84678539,0.975569786,,
10.99074528,0.964932529,,
11.13470039,0.948993558,,
11.27865741,0.935175272,,
11.42262446,0.932490587,,
11.56659341,0.931926588,,
11.71056332,0.932422933,,
11.85453943,0.939811506,,
11.99851459,0.946139736,,
12.14249786,0.961480881,,
12.2864754,0.970459969,,
12.43046011,0.987391628,,
12.57444386,1.003262945,,
12.71842379,1.01489289,,
12.8624042,1.027053007,,
13.00638222,1.036562266,,
13.15035308,1.038118953,,
13.29432346,1.039145468,,
13.43829194,1.038051298,,
13.58225994,1.036426956,,
13.72622937,1.036393129,,
13.8701926,1.029467072,,
