U-Cl,,U-U,,Cl-Cl,,,
X,Y,X,Y,X,Y,,
0.577281919,6.17E-04,3.476651859,-0.000692012,2.547683924,0,,
0.730307691,1.59E-03,3.820959846,0.011765217,2.711171662,0.006944444,,
1.036359236,0.001060027,3.982105354,0.060516821,2.843104341,0.09571107,,
1.189385008,0.000616842,4.096874683,0.218143107,2.915258075,0.230440146,,
1.495436553,0.000616842,4.140635369,0.327018996,2.955557464,0.354359015,,
1.658026436,0.001429348,4.18295168,0.457629437,3.016130166,0.568253874,,
1.95451387,0.001060027,4.249900455,0.683100028,3.068201435,0.803598907,,
2.126667864,0.001313276,4.269028677,0.804772896,3.111771273,1.04166335,,
2.426343335,0.037992147,4.30728512,0.928680158,3.169155938,1.283627826,,
2.504981579,0.272535728,4.360419069,1.16010913,3.207412381,1.521529768,,
2.532611232,0.507079309,4.412490338,1.397415234,3.261609009,1.764523418,,
2.543238022,0.752456313,4.460310892,1.635560928,3.325369747,1.994191959,,
2.557052849,0.981109221,4.532573062,1.856156479,3.365122616,2.097222222,,
2.57618107,1.219376791,4.587832369,2.077699954,3.392370572,2.180555556,,
2.589995897,1.698214033,4.624345151,2.1694922,3.457992083,2.241075692,,
2.614437513,2.174884591,4.706362281,2.286639678,3.514986376,2.229166667,,
2.624001624,2.655563515,4.818516118,2.270514963,3.569482289,2.173611111,,
2.633565735,3.130392391,4.901977624,2.213559078,3.637075178,2.07862494,,
2.658007351,3.616271357,5.01124271,2.052797178,3.665045322,1.999900509,,
2.671822178,4.149275708,5.131815568,1.871197248,3.733438473,1.866801974,,
2.690950399,4.559388431,5.282824419,1.658229863,3.781259027,1.796482012,,
2.717066277,5.293865409,5.399719106,1.476986717,3.83727739,1.635585801,,
2.728035727,5.483106495,5.536273354,1.274807983,3.873712098,1.564105115,,
2.738419619,5.590277778,5.560183631,1.215088746,3.953413021,1.414603895,,
2.752043597,5.75,5.65476206,1.057191623,4.001233575,1.339447031,,
