U-F,,U-U,,F-F,
X,Y,X,Y,X,Y
1.279683377,8.88E-16,3.134907047,0.006960036,1.878361095,0.004902184
1.622691293,8.88E-16,3.228363109,0.006091902,2.002725802,0.014846829
1.865072811,0.061446864,3.462003263,0.062994108,2.095208363,0.084777728
1.922314649,0.299775483,3.586174948,0.294566682,2.159459405,0.207530476
1.952687869,0.61056728,3.63407118,0.487619119,2.213539044,0.340727436
1.966706278,0.893578806,3.66170517,0.650426583,2.241233459,0.459696652
1.981308788,1.137741356,3.690138103,0.813504715,2.270438478,0.587016486
1.990070293,1.371052238,3.742371448,1.097590181,2.289908491,0.718180911
2.004088703,1.642778027,3.783258474,1.334156563,2.313708903,0.863751268
2.016354811,1.933168687,3.859191525,1.574443518,2.33901992,1.00537416
2.025116317,2.288018261,3.981852605,1.813076885,2.375576547,1.119706916
2.039134726,2.593384224,4.057785655,2.057745846,2.391588954,1.256567131
2.054321336,3.05957192,4.11035469,2.303210597,2.414178301,1.404228985
2.071844347,3.614092202,4.162923725,2.560047897,2.442647385,1.539154472
2.085862757,3.997850621,4.279945215,2.907623609,2.4660114,1.681332358
2.097544764,4.310262935,4.368869464,2.75003742,2.501057423,1.809726944
2.118572378,4.952102979,4.41408689,2.551713815,2.526291711,1.869402214
2.139787978,5.386169735,4.449132913,2.312325999,2.54758404,1.943047448
2.181312816,5.808486753,4.49001994,2.062086514,2.673467744,1.999326448
2.230189262,5.591421301,4.519224959,1.814668463,2.766923805,1.881284405
2.25875647,5.312378386,4.554270982,1.565297111,2.854538863,1.764374595
2.270438478,5.088110562,4.600797599,1.293498524,2.918789905,1.623896123
2.293802494,4.609190241,4.676932063,0.924874108,2.988881951,1.500789968
2.317166509,4.143291922,4.72476787,0.803272963,3.045781385,1.359077982
2.340530524,3.710672055,4.799593144,0.641745248,3.121714435,1.226805226
2.36389454,3.269370853,4.93997865,0.561945389,3.203488489,1.095345008
2.387258555,2.86424188,5.107655743,0.594923188,3.291103547,0.982525071
2.41062257,2.469241132,5.217325626,0.666891184,3.390188009,0.867218813
2.445668594,2.042770543,5.439115927,0.826134525,3.5290741,0.756192935
2.51576064,1.284238886,5.588128663,0.935646477,3.703444333,0.732891043
2.59169369,0.858853465,5.844327177,1.039215686,3.810516492,0.733239369
2.650103728,0.639649753,6.029023747,1.058823529,3.926824201,0.782891783
2.74355979,0.433033977,6.242321094,1.087567185,4.027746207,0.893977438
2.866220871,0.29699555,6.370823179,1.07233947,4.061679658,0.941134893
2.994722955,0.261814372,6.499325263,1.023368848,4.109716879,0.989125464
3.12322504,0.262603584,6.627827348,0.989985168,4.262563194,1.060039914
3.251727124,0.298512743,6.756329433,0.952840678,4.323875831,1.066635068
3.380229209,0.35612524,6.884831517,0.910606709,4.416590177,1.023339107
3.508731294,0.441754773,7.141835687,0.844792851,4.511436954,1.004989273
3.65042599,0.55658516,7.270337771,0.83802176,4.637992037,0.940847179
3.781512887,0.692748092,7.398839856,0.840532854,4.728666669,0.948027455
3.859191525,0.781510661,7.52734194,0.875518868,4.81429636,0.961341449
3.987693609,0.923884557,7.655844025,0.923875032,4.921817828,0.981913885
4.116195694,1.066878549,7.78434611,0.99392151,5.013751078,1.018572342
4.254710928,1.203962196,7.912848194,1.081447615,5.142838017,1.038270156
4.373199863,1.302329537,8.041350279,1.125948367,5.237668432,1.051053871
4.501701948,1.346981263,8.169852364,1.15388133,5.331809301,1.041496782
4.630204032,1.338265601,8.298354448,1.135658335,5.412898548,1.0342793
4.758706117,1.289368766,8.426856533,1.115949669,5.541400632,1.021778177
4.887208202,1.196636323,8.555358617,1.067980141,5.62848469,1.007247729
5.015710286,1.082279463,8.683860702,1.028472874,5.734988189,1.001932452
5.144212371,0.993729844,8.812362787,1.010382224,5.78088179,1.001347104
5.272714455,0.902260141,8.940864871,1.006830768,5.850973836,1.000439056
5.398296038,0.850184959,9.069366956,0.996176403,5.900946869,1.008399699
5.541400632,0.834904954,9.197869041,0.991046523,6.018415947,0.997402569
5.716630748,0.878943,9.326371125,0.992624947,6.147635348,0.997298477
5.845132832,0.948472602,9.45487321,0.993019553,6.230639086,0.997754827
5.973634917,1.020726866,9.583375295,0.991835735,6.278924718,1.00777107
6.102137002,1.080087358,9.711877379,1.001700889,6.412878406,1.017259891
6.230639086,1.109982369,9.840379464,1.003673919,6.469589244,1.024412513
6.359141171,1.093249514,9.922153518,1.006436162,6.575842414,1.018667116
6.487643256,1.060278129,,,6.7060968,1.022496632
6.61614534,1.02176457,,,6.838103486,1.0026298
6.744647425,0.988047516,,,6.963100969,0.993953001
6.87314951,0.979246374,,,7.097444057,0.990300853
7.001651594,0.976577631,,,7.233344747,0.990844684
7.130153679,0.981844035,,,7.352111825,0.989073492
7.258655763,0.977779592,,,7.48061391,0.990809759
7.515659933,0.984286511,,,7.609115994,0.990178389
7.644162017,0.98577649,,,7.737618079,0.989531047
7.772664102,0.982584262,,,7.870792967,0.995327039
7.901166187,0.994317218,,,7.994622248,0.997360221
8.029668271,0.997158382,,,8.111442325,1.006793727
8.286672441,1.008470425,,,8.123124333,1.006199399
8.415174525,1.025368186,,,8.245336106,1.012169605
8.54367661,1.021632581,,,8.380128502,1.0153148
8.672178694,1.017485134,,,8.508630587,1.021168125
8.800680779,1.011171436,,,8.637132671,1.016301316
8.929182864,1.00564695,,,8.765634756,1.009750854
9.057684948,0.998544039,,,8.894136841,1.009689622
9.186187033,0.989862704,,,9.022638925,1.004068525
9.314689118,0.994597978,,,9.15114101,0.992624947
9.443191202,0.994597978,,,9.279643095,0.996965615
9.571693287,0.994597978,,,9.408145179,0.996176403
9.700195372,1.001700889,,,9.536647264,0.996176403
9.954782574,1.013635683,,,9.665149348,0.993387852
,,,,9.793651433,0.99791267
,,,,9.927021021,1.000401429
,,,,10.00392757,1.017287831
