Na-K,,Na-Zn,,Cl-Cl,,Na-Cl,,K-Cl,,Zn-Cl,,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,
3.269405024,0,3.352788354,-0.002385062,2.91147331,0,2.122186495,-0.012077295,2.52514297,0.001327649,2.086118705,0.000846354,0.001692709
3.428089137,0.051983943,3.4691854,0.050141085,3.059592046,0.097537721,2.293676313,0.01610306,2.662644987,0.098549905,2.202928241,0.213351634,0.426703267
3.523299605,0.134039228,3.543256248,0.127937999,3.123071504,0.202300459,2.368703108,0.193236715,2.707068715,0.2245538,2.227836853,0.485661519,0.971323038
3.57564359,0.241240488,3.585582446,0.213276451,3.154503827,0.319706976,2.411575563,0.475040258,2.726107456,0.333152745,2.27696011,1.39428736,2.788574721
3.617408633,0.34116265,3.627908645,0.316476438,3.186243556,0.437113492,2.422293676,0.668276973,2.744608379,0.593035777,2.29763833,2.208943557,4.417887114
3.659724397,0.452334326,3.670234844,0.473261035,3.207403375,0.534651214,2.443729904,0.893719807,2.750787305,0.45061961,2.311265895,2.979393604,5.958787207
3.70204016,0.557550378,3.701979493,0.844667584,3.228563194,0.624963919,2.465166131,1.183574879,2.757300873,0.713348319,2.339468512,4.474824513,8.949649027
3.789425286,1.081645425,3.753888015,1.304002676,3.249723014,0.71347037,2.486602358,1.400966184,2.782685861,0.861455838,2.340415997,3.83825595,7.676511901
3.810032448,1.196787519,3.798212666,1.609873677,3.270882833,0.803783075,2.497320472,1.90821256,2.810455173,1.064756239,2.350518236,4.974985527,9.949971054
3.84176927,1.288107111,3.830956541,1.850583948,3.281155336,0.895902034,2.508038585,1.586151369,2.820763342,1.25733572,2.360620475,5.475146541,10.95029308
3.873506093,1.395308371,3.852119641,1.973630087,3.291735246,0.990771922,2.518756699,2.020933977,2.834866113,1.422120225,2.381772437,6.490624963,12.98124993
3.894113255,1.518391299,3.884863516,2.160183911,3.325012008,1.197550842,2.529474812,2.30273752,2.873648733,1.846986298,2.381772437,6.107926005,12.21585201
