Li-Cl,,K-Cl,,Eu-Cl,
X,Y,X,Y,X,Y
1.920195954,0.100928481,2.064039409,0.002151748,1.991946031,0.023561654
1.949038755,0.154231795,2.369458128,0.002769379,2.093596059,0.002211519
1.977738785,0.224175389,2.428571429,0.002888921,2.18226601,0.002390831
2.025177645,0.658606532,2.497536946,0.003028386,2.24137931,0.002510373
2.029709229,0.786355345,2.593639653,0.028912395,2.319227081,0.030424451
2.032226775,0.87317379,2.666648503,0.20475373,2.369578011,0.095636288
2.042296962,1.000313708,2.688802912,0.290867771,2.38468329,0.174418948
2.065063865,1.418924134,2.704411701,0.376906566,2.39223593,0.246055239
2.071504861,1.476410069,2.724048564,0.471758861,2.404823663,0.295171579
2.075079559,1.614905268,2.744188936,0.575727576,2.417411395,0.498795019
2.077542613,1.751320496,2.754762631,0.663492456,2.424964035,0.735221658
2.090293823,1.802763195,2.768357383,0.740473785,2.429999128,0.811968644
2.098690004,2.261081668,2.782455643,0.816815367,2.432516675,0.900854074
2.102718078,2.355344312,2.810148655,1.093330562,2.440069314,1.128237655
2.105508087,2.435962354,2.843883779,1.411817763,2.447621954,1.33908536
2.107753171,2.546550571,2.859420637,1.589727973,2.4501395,1.432104759
2.112788265,2.603402831,2.875604865,1.693405216,2.455174593,1.527196233
2.128900562,3.043703137,2.90833297,1.898102877,2.462727233,1.75923053
2.142998823,3.204956448,2.9351868,2.293984737,2.467980296,2.089925137
2.14551637,3.316578708,2.951131261,2.363260965,2.477832512,2.380906701
2.148033916,3.384794292,2.95890187,2.536903387,2.485385152,2.623069222
2.161460831,3.931767049,2.96623654,2.608229189,2.487902698,2.725080004
2.165765726,4.032024509,3.006517285,2.836195701,2.492937792,3.021185733
2.168174288,3.806499883,3.056868216,3.063838079,2.492937792,2.802602109
2.170691835,4.13360529,3.087078774,3.088013993,2.503007978,3.23048829
2.1958673,4.616469358,3.117289333,3.130448271,2.504806225,3.308446775
2.198711801,4.668360003,3.142464798,3.148068551,2.508043071,3.435129949
2.20320197,4.736713796,3.212956101,3.087235055,2.510560617,3.645967471
2.208455033,4.811135865,3.240649113,3.017426977,2.510560617,3.844397995
2.213708095,4.873156026,3.263307032,2.951949385,2.513078164,3.901761909
2.216007673,4.961007523,3.285964951,2.89349954,2.518113257,4.067647607
2.246218231,5.287307688,3.338833428,2.685461102,2.520630803,4.00150919
2.256288417,5.384820827,3.384149265,2.458804529,2.524407123,4.490875435
2.266358603,5.46700383,3.407814203,2.369393291,2.525665897,4.284696265
2.272232879,5.545044379,3.425940538,2.298987111,2.526672915,4.589785231
2.351955185,5.423253504,3.445829156,2.22784038,2.528183443,4.700165264
2.367060465,5.282729097,3.504991499,2.045031882,2.53070099,4.919270725
2.369578011,5.357145634,3.568937181,1.843630196,2.535736083,5.130940132
2.377130651,5.191285392,3.595623175,1.765138746,2.540051877,5.23790055
2.389718384,5.105014239,3.618281093,1.688706135,2.540771176,5.337648776
2.389718384,5.018200885,3.635903919,1.633553283,2.543288722,5.552826966
2.404823663,4.952087924,3.769333886,1.237892208,2.546813287,5.760566048
2.412997515,4.863224115,3.852412921,1.047380883,2.55000218,5.858754266
2.444097389,4.430873825,3.927939317,0.912146123,2.550841362,5.948669794
2.445104407,4.305203196,3.958149876,0.869834032,2.553358908,6.185344624
2.45769214,4.185343544,3.988360434,0.83027792,2.554617682,6.405481031
2.468601508,4.07994939,4.018570993,0.79037731,2.558394001,6.489201545
