Li-F,,Na-F,,K-F,,Li-Li,,F-F,,Li-Na,,Li-K,,Na-Na,,Na-K,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.295916271,0.012526245,1.814470301,0.06291591,2.110786889,0.049936754,2.003035402,0.040259232,2.350977476,0.032476267,2.178131568,0.017843059,2.420572413,0.027650477,2.353227734,0.026918732,2.642809855,0.067496789,2.467713689,0.011762765
1.369995418,0.012526245,1.875080512,0.168494258,2.163072776,0.151260504,2.07711455,0.071314188,2.430191723,0.093682482,2.249965893,0.054510855,2.500593738,0.062267888,2.429551704,0.043707948,2.716889002,0.10185338,2.541792836,0.012526245
1.444074565,0.02855932,1.922221787,0.362854398,2.201702206,0.315914024,2.151193697,0.13544649,2.50715843,0.214470003,2.326289863,0.097351991,2.568730708,0.111524334,2.501386029,0.082355807,2.790968149,0.181255277,2.615871983,0.012526245
1.498203055,0.156862745,1.958419552,0.557364507,2.252210715,0.50322561,2.226552882,0.258292791,2.578991395,0.378908111,2.406682573,0.189080714,2.642809855,0.228584662,2.575465176,0.187115401,2.865047296,0.288905927,2.68995113,0.018634083
1.547977784,0.310065224,1.969363063,0.754933988,2.272414119,0.672630867,2.289250289,0.45553539,2.643755615,0.571428571,2.470194809,0.317541776,2.719644012,0.401460645,2.649544323,0.333951234,2.939126443,0.432440127,2.764030277,0.032376719
1.561254307,0.523141525,1.986680266,0.966330634,2.295503724,0.86795081,2.343126032,0.637148144,2.689109322,0.747052723,2.522225375,0.478467975,2.787308261,0.590317924,2.72362347,0.511078545,3.009838356,0.613842924,2.838109425,0.075895067
1.57539669,0.751574677,1.999668168,1.16616965,2.316669194,1.057511934,2.397001776,0.827159176,2.730357938,0.921939738,2.569279684,0.649429524,2.841139935,0.771610557,2.790968149,0.699318727,3.077183036,0.792726238,2.912188572,0.140790849
1.592232859,1.043414825,2.00976987,1.336094801,2.339758798,1.254071623,2.450877519,1.021369346,2.767397511,1.079107505,2.618107294,0.836521098,2.904396358,1.012005388,2.848211126,0.88384755,3.144527715,0.972449379,2.986267719,0.245387579
1.606824206,1.33385526,2.024361218,1.541012775,2.359962202,1.455630286,2.501386029,1.209880685,2.814538787,1.277870132,2.66824846,1.051147138,2.950575039,1.203402014,2.90208687,1.06231095,3.211872394,1.143774243,3.060346866,0.369071304
1.619170731,1.561168642,2.037830153,1.752369429,2.380165606,1.66698694,2.558629006,1.407480161,2.846140237,1.412639103,2.711045669,1.23120621,2.996850454,1.361766703,2.952595379,1.248272812,3.272482605,1.315309064,3.134426013,0.541617736
1.631517256,1.787362253,2.051299089,1.963726083,2.40036901,1.861547039,2.627264698,1.569051354,2.8852507,1.544752121,2.762679307,1.443356871,3.028901684,1.496303301,2.999731219,1.473836722,3.333092817,1.500701043,3.205137926,0.724700189
1.646108603,2.065905128,2.064768025,2.173683024,2.420572413,2.070104267,2.703420066,1.690654813,2.912944999,1.646054773,2.801919813,1.615177361,3.063377376,1.626907103,3.040143462,1.671389427,3.40380473,1.66775042,3.272482605,0.905263158
1.659577539,2.394487741,2.078236961,2.394837669,2.441737884,2.274062438,2.855617682,1.765479238,2.945860911,1.762227747,2.847251882,1.789069021,3.098487109,1.739846574,3.100753673,1.795509426,3.477883877,1.786853266,3.339827285,1.087505783
1.659577539,2.599195758,2.091705897,2.614592601,2.467713689,2.483299527,2.920269933,1.734453104,3.019491094,1.920095709,2.891993321,1.967082026,3.139710858,1.846411194,3.174832821,1.873632079,3.551963024,1.855566447,3.410539198,1.269977451
1.673046474,2.777659158,2.105174833,2.824549542,2.501386029,2.66974129,2.996369421,1.681264012,3.092095072,1.984928515,2.952595379,2.156893247,3.195036224,1.956765299,3.251684984,1.961232756,3.626042171,1.873889962,3.484618345,1.431835166
1.679780942,3.054382406,2.118643768,3.03310677,2.555261772,2.902297233,3.089305078,1.627515035,3.240680951,1.948569763,3.026674526,2.20065931,3.249696105,2.040874548,3.338884346,2.115618374,3.696754084,1.857627842,3.558697492,1.572315447
1.68651541,3.254261414,2.132112704,3.255661127,2.629340919,2.922911187,3.161363885,1.599037239,3.300962434,1.864836576,3.100753673,2.239596779,3.303907405,2.071878479,3.394264234,2.096292455,3.787669401,1.744861878,3.632776639,1.696762652
1.692127467,3.485214049,2.14558164,3.488013475,2.696685598,2.766228169,3.235443032,1.564680649,3.349508082,1.780948949,3.154617187,2.275758546,3.365923348,2.079508094,3.477883877,2.043382474,3.861748548,1.660115622,3.706855786,1.781508908
