Na-Na,,Na-Cl,,Na-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.823046176,0,0.165664764,0,0.195761794,0,0.161075053,0,0.124273632,0,0.174556782,0
1.985929922,0,0.31861637,0,0.348665694,0,0.31412176,0,0.277178934,0,0.327474835,0
2.128952745,0,0.471567977,0,0.501569593,0,0.467168467,0,0.430084237,0,0.480429048,0
2.28190265,0,0.624519584,0,0.807377392,0,0.620215173,0,0.582989539,0,0.633383261,0
2.434854808,0,0.777471191,0,1.104102359,0,0.77326188,0,0.735894841,0,0.786337473,0
2.587806967,0,0.943218882,0,1.266089091,0,0.939062479,0,0.89790165,0,1.27069248,0
2.740765883,0.002712968,1.074301103,0,1.418992991,0,1.066601401,0,1.105415988,0,1.423646693,0
2.90284068,0.022274491,1.236326011,0,1.57189689,0,1.232402,0,1.245579182,0,1.576600905,0
3.046714128,0.04970291,1.389277618,0,1.72480079,0,1.385448707,0,1.398484484,0,1.729555118,0
3.172084702,0.206159221,1.542229225,0,1.877722763,0,1.538495413,0,1.551389787,0,1.882518371,0
3.294258542,0.396684037,1.695180832,0,2.11977542,0,1.69154212,0,1.704295089,0,2.028277468,0
3.405917189,0.583396433,1.848132439,0,2.259964438,0,1.844588827,0,1.917255827,0,2.188417756,0
3.493476758,0.754561043,1.997948348,0.021016952,2.412868338,0,2.00401248,0,2.125969196,0.024593298,2.341371969,0
3.559195673,0.936210558,2.148381865,0.038791315,2.565772237,0,2.15068224,0,2.283121867,0.154751867,2.494326181,0
3.646766827,1.119910711,2.19727079,0.114073276,2.718676137,0,2.303728947,0,2.354142624,0.376838353,2.647280394,0
3.727050684,1.299445222,2.265564317,0.239835462,2.871589074,0,2.456775653,0,2.379626841,0.567486503,2.800252686,0
3.825564129,1.501668223,2.269507885,0.403132968,3.113650767,0,2.60982236,0,2.397829853,0.76025382,2.95492447,0
3.959593256,1.713491283,2.316392328,0.630254252,3.25388497,0.008501681,2.762869067,0,2.434235877,1.053567605,3.097046363,0
4.11899783,1.79913039,2.346780142,0.833797664,3.419618218,0.031727701,2.90921871,0.076970148,2.443337383,1.293522358,3.259106285,0
4.276205418,1.806164951,2.359840356,1.003769178,3.563105232,0.13545139,3.007263621,0.261581816,2.450715284,1.462221047,3.412051457,0
4.43117209,1.687064369,2.398538792,1.252809936,3.595390616,0.326325548,3.088779285,0.501258751,2.458837744,1.648034108,3.56500567,0
4.552134751,1.552180326,2.424536412,1.526313199,3.672334815,0.441669473,3.158239726,0.700096939,2.469938439,1.814275666,3.717762123,0.046453184
4.704965262,1.420286799,2.437630037,1.714360238,3.764247565,0.684569014,3.213506592,0.913480213,2.483949681,2.008628307,3.857613376,0.150005865
4.857791266,1.283518338,2.469046999,1.964468481,3.830591126,0.904476812,3.264522161,1.102020872,2.513099158,2.283625877,3.969737704,0.350559268
4.936404416,1.17811174,2.502348668,2.249117451,3.886547447,1.104848396,3.31553773,1.302813848,2.545274251,2.510931421,4.02611923,0.532375775
5.048828278,1.117432695,2.515419718,2.424951297,3.938202215,1.290559158,3.362302001,1.520772156,2.589871631,2.762038504,4.089036566,0.752247456
5.188910522,0.983124228,2.545575693,2.649589752,3.985653031,1.488017555,3.438825355,1.726393542,2.672695337,2.865085977,4.122339362,0.937980154
5.341756801,0.868292967,2.616402532,2.876904552,4.032174856,1.66396006,3.569667078,1.907141089,2.736405879,2.649700664,4.185222799,1.16702163
5.494645883,0.799773572,2.690319077,2.924624987,4.101853217,1.899631442,3.680641184,1.949469521,2.761890096,2.458889848,4.23955002,1.411984536
5.647539469,0.73612911,2.745653064,2.86031209,4.191672058,2.06849751,3.808688229,1.869919397,2.792366242,2.248501102,4.289143912,1.623864346
5.800439815,0.679797048,2.783529311,2.664548391,4.267612168,2.218273935,3.96355692,1.752206933,2.82098099,2.040563547,4.357376678,1.883541702
5.953371698,0.657589519,2.849434495,2.462110104,4.358118616,2.284733476,4.080771263,1.548135161,2.851084856,1.864409486,4.449340011,2.127161868
6.106314845,0.647569324,2.897437532,2.228456613,4.510932147,2.259901653,4.198520345,1.350982302,2.889311182,1.672090854,4.550520759,2.340186995
6.259267003,0.647298995,2.957081899,1.988209869,4.650611486,2.128978593,4.318843918,1.20929437,2.922780067,1.436707309,4.703077219,2.447291103
6.412246195,0.676278265,3.011309633,1.772823727,4.784683574,1.958456405,4.395367271,1.069400398,2.956152256,1.194075724,4.859531267,2.432914701
6.565238902,0.719882336,3.067018043,1.570414336,4.891341596,1.758292481,4.548413978,0.9881,3.001441737,0.952829554,4.982210908,2.300733228
6.718238368,0.770798806,3.125390781,1.430285001,4.99085597,1.595349018,4.686623487,0.883752755,3.064060098,0.74974384,5.059385374,2.111853372
6.871249097,0.83390261,3.192372415,1.219154804,5.077910811,1.471581704,4.790382244,0.858894564,3.135658613,0.555292637,5.125572552,1.939776008
7.024259827,0.897006414,3.275779455,1.028391644,5.1328743,1.343785695,4.90552296,0.857210197,3.209684196,0.392971256,5.184600171,1.73418664
7.17728182,0.972297551,3.379251348,0.856763883,5.220498417,1.179785163,5.058569667,0.89353205,3.317446028,0.282800688,5.256251357,1.500499935
7.33030156,1.045151221,3.531981717,0.736641156,5.355771377,1.005836644,5.211616374,0.897997876,3.462706065,0.19479715,5.353872599,1.259966593
7.483307784,1.103380091,3.684743692,0.633616898,5.494098799,0.837469686,5.36466308,0.875508603,3.615611367,0.13317791,5.428497828,1.021840556
7.63630725,1.154296562,3.837604998,0.584330685,5.651982016,0.706780896,5.517709787,0.806460523,3.76851667,0.108237416,5.551290573,0.835249225
7.789297705,1.195463166,3.990529515,0.569241411,5.804551551,0.615927935,5.670756494,0.739862907,3.921421972,0.094545072,5.662984186,0.622126799
7.942256621,1.202505237,4.143463062,0.559037413,5.957274713,0.566643839,5.8238032,0.697769926,4.1439266,0.10191012,5.857474731,0.484961777
8.095211032,1.204672374,4.296464334,0.585472991,6.110106318,0.546702472,5.976849907,0.697334825,4.329169445,0.144174114,6.01066398,0.420896381
8.248163191,1.204402045,4.449497212,0.629007039,6.262992144,0.541432468,6.129896614,0.728755751,4.482074747,0.193989095,6.163699551,0.398400722
8.401097327,1.184631983,4.602543634,0.679869002,6.415968338,0.560614739,6.282943321,0.779780384,4.634980049,0.244851345,6.316653764,0.39791257
8.554011188,1.142924721,4.755603602,0.73805888,6.56898068,0.589577918,6.435990027,0.855309653,4.787885351,0.305494594,6.469472379,0.434103598
8.706920545,1.096342526,4.908668085,0.798691396,6.722074354,0.640548144,6.589036734,0.940640776,4.940790654,0.363692593,6.622236755,0.484966297
8.859836659,1.057072731,5.061746113,0.866651828,6.875204176,0.701299279,6.742083441,1.023521435,5.093695956,0.436562091,6.774946891,0.550500669
9.012739257,1.003178135,5.214842201,0.944382813,7.028433403,0.788947915,6.895130147,1.091699314,5.246601258,0.50209584,6.927593749,0.633151991
9.165655371,0.96390834,5.367924745,1.014785884,7.181725888,0.893713143,7.048176854,1.128021166,5.399506561,0.560293839,7.080159249,0.73781082
9.318569233,0.922201078,5.521029863,1.097402146,7.335000299,0.993587915,7.201223561,1.142288846,5.552411863,0.616046589,7.232733788,0.840024371
9.471496611,0.895118616,5.674121436,1.172690493,7.488220489,1.078791324,7.354270267,1.139403282,5.705317165,0.671799338,7.385199849,0.971581266
9.624426241,0.870473621,5.827194949,1.238208286,7.641395495,1.151768596,7.507316974,1.1242654,5.858222467,0.69820909,7.53765687,1.105583439
9.777355872,0.845828625,5.980205251,1.269529142,7.794525317,1.212519731,7.660363681,1.101776127,6.01112777,0.702611594,7.690240449,1.205351712
9.93030803,0.845558296,6.133161373,1.271538336,7.947528622,1.239037683,7.813410387,1.067034537,6.164033072,0.692342599,7.842851147,1.297784148
10.08326019,0.845287967,6.28608589,1.256449061,8.100531927,1.265555636,7.966457094,1.032292947,6.316938374,0.657621106,7.995669762,1.333975176
10.23621911,0.852330038,6.438956226,1.212048125,8.253417753,1.260285632,8.119503801,1.014704601,6.469843676,0.608228115,8.148533576,1.35793981
10.38919604,0.878871842,6.591799472,1.152991359,8.40624032,1.237899037,8.272550507,0.987314401,6.622748979,0.558835124,8.301542028,1.342779987
10.54217523,0.907851113,6.744629173,1.086606677,8.558963483,1.188614942,8.425597214,0.967275592,6.775654281,0.511887382,8.454695117,1.288495705
10.69515217,0.934392917,6.897458873,1.020221996,8.711686645,1.139330846,8.578643921,0.949687247,6.928559583,0.482056389,8.607902446,1.219539752
10.84814037,0.973122054,7.050293089,0.956279952,8.864373659,1.080265841,8.731690627,0.934549365,7.081464886,0.454670646,8.761091694,1.155474355
11.00112182,1.004538791,7.203145365,0.902108463,9.017051637,1.018755608,8.884737334,0.914510556,7.234370188,0.437065902,8.914335182,1.076737287
11.15409425,1.026205662,7.356038276,0.869920719,9.169738652,0.959690603,9.037784041,0.892021283,7.38727549,0.426796907,9.06756963,1.000445498
11.30706668,1.047872533,7.508908612,0.825519783,9.322497961,0.920187417,9.190830748,0.886685255,7.540180792,0.418973162,9.220713679,0.948606495
11.46004588,1.076851804,7.661810554,0.798217317,9.47523016,0.873348548,9.343877454,0.886250154,7.693086095,0.403813667,9.373830609,0.904103327
