F-U,,F-F,,F-Li,,F-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.798965686,0.000932626,1.992235689,-0.009618291,1.450321759,0.046631286,1.787596862,0.04366384
1.840651373,0.000932626,2.033921376,0.000932626,1.490112642,0.117137789,1.829282549,0.085208076
1.88233706,0.008647984,2.075607063,0.003900071,1.520429505,0.263155888,1.867178628,0.205488532
1.924022747,0.062655491,2.11729275,0.009241473,1.543167153,0.432893767,1.897495491,0.356263022
1.960024022,0.219633355,2.158978437,0.022298233,1.559679016,0.581958444,1.920233139,0.512757616
1.97761863,0.377713413,2.200664124,0.047818264,1.571589212,0.746256006,1.93981278,0.654858687
1.991694316,0.553047047,2.242349811,0.08283412,1.582958036,0.901849062,1.957046473,0.815114871
2.00208867,0.712526043,2.284035497,0.132687203,1.594326859,1.083555638,1.970129643,0.949723849
2.011183729,0.905113252,2.325721184,0.211027763,1.605695683,1.269614468,1.988987454,1.10236359
2.01686814,1.086275797,2.367406871,0.31726231,1.615169703,1.430647841,2.003604513,1.245096774
2.02634216,1.271518579,2.409092558,0.441895019,1.623127879,1.584717608,2.015604938,1.413238827
2.033921376,1.494299545,2.450778245,0.561186325,1.634117742,1.781004233,2.02634216,1.59385734
2.041500592,1.716031308,2.506201261,0.72083386,1.645107605,1.976420407,2.054764219,1.789708739
2.047185004,1.900691199,2.537939227,0.899672936,1.653444743,2.15790937,2.066133043,1.945573811
2.052111494,2.058677994,2.575835306,1.044879933,1.664434606,2.353325544,2.086975887,2.133101526
2.057290625,2.226022134,2.614236666,1.179681716,1.675424468,2.541778113,2.105923926,2.281948589
2.061080233,2.416433217,2.655417072,1.320654529,1.683761606,2.712821668,2.12676677,2.431666104
2.068027847,2.621424348,2.697102759,1.454387404,1.6961049,2.907926967,2.158978437,2.580236205
2.071276082,2.816529647,2.738788446,1.568337309,1.708015096,3.113881811,2.200664124,2.647300472
2.078313926,3.041292443,2.780474132,1.648458336,1.71938392,3.281443564,2.242349811,2.653235363
2.083186279,3.26642829,2.822159819,1.703539776,1.730752744,3.43377243,2.284035497,2.596260411
2.086434514,3.460974013,2.863845506,1.743396807,1.740605724,3.582401881,2.325721184,2.470440724
2.092660298,3.691643439,2.905531193,1.779817254,1.757279999,3.736471648,2.367406871,2.326816365
2.09834471,3.914043584,2.94721688,1.802765499,1.783807254,3.882417209,2.407197754,2.18728708
2.101592946,4.104485754,2.988902567,1.794880573,1.821703333,3.94526111,2.445093833,2.04692691
2.10781873,4.33577693,3.030588254,1.771310577,1.855809805,3.847081057,2.482989912,1.911789445
2.113503142,4.557741849,3.072273941,1.73688821,1.88233706,3.709052452,2.522780795,1.759440796
2.116751377,4.747064869,3.113959628,1.700685376,1.905074707,3.568039445,2.565887585,1.62649924
2.122977162,4.965765598,3.155645315,1.66566952,1.924022747,3.430943465,2.606152169,1.498899086
2.128029972,5.19861115,3.197331002,1.608694567,1.942970786,3.276873698,2.647837856,1.377233823
2.133082783,5.385758043,3.239016689,1.555280549,1.961918826,3.112358522,2.689523543,1.27456021
2.138514554,5.567029394,3.280702375,1.497712108,1.978972061,2.95992085,2.73120923,1.181382423
2.143188404,5.769844398,3.322388062,1.440737155,1.996025297,2.808136016,2.772894917,1.107789776
2.148241214,5.964607734,3.364073749,1.38554267,2.014973336,2.65014922,2.814580604,1.041318998
2.153294025,6.150666563,3.405759436,1.331535163,2.037079383,2.49259765,2.85626629,0.967726351
2.158978437,6.344652711,3.447445123,1.273966721,2.047816605,2.359853924,2.897951977,0.914905822
2.167189254,6.526048412,3.48913081,1.221739681,2.071185854,2.184675728,2.939637664,0.862678783
2.174136868,6.696439129,3.530816497,1.174260554,2.09834471,1.981829636,2.981323351,0.815793145
2.180958163,6.842674841,3.572502184,1.129155383,2.122977162,1.824526766,3.023009038,0.781964267
2.1892953,7.02873367,3.614187871,1.077521833,2.145714809,1.684166596,3.064694725,0.757631214
2.202558928,7.197655502,3.655873558,1.037164575,2.172242064,1.539182158,3.106380412,0.736859096
2.226243977,7.366577334,3.697559245,1.001555229,2.202558928,1.395557798,3.148066099,0.710152087
2.257508242,7.306189819,3.745876745,0.943304275,2.236665399,1.253075905,3.189751786,0.70124975
2.274561478,7.16582965,3.770698677,0.907216842,2.276456282,1.120253047,3.231437473,0.687599501
2.288583027,7.016329748,3.811247482,0.916092801,2.318141969,0.989685448,3.27312316,0.672762274
2.295404321,6.866177009,3.855556743,0.907875259,2.359827655,0.895320682,3.314808847,0.665640405
2.304878341,6.705578861,3.894618855,0.898870312,2.401513342,0.811045232,3.356494533,0.654957602
2.311194354,6.553249995,3.977990229,0.85793087,2.443199029,0.74694841,3.39818022,0.6496162
2.321390204,6.353046343,4.019675916,0.858524359,2.484884716,0.705997663,3.439865907,0.650209689
2.328879191,6.166987513,4.061361603,0.845863258,2.526570403,0.659112025,3.481551594,0.647242243
2.336458407,5.988545127,4.10304729,0.841313175,2.56825609,0.62350268,3.523237281,0.647835732
2.344037623,5.803574361,4.144732977,0.856743892,2.609941777,0.592641247,3.564922968,0.650803178
2.351616838,5.625131975,4.311475725,0.874548564,2.651627464,0.562966793,3.606608655,0.660299003
