Li-Li,,Be-F,,Be-Be,,F-F,,Li-Be,,Li-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.187500493,0.017563527,0.992313068,-0.009070295,2.160735561,0.007448737,2.135078556,0.03188607,2.038303694,0,1.436464088,-0.000356888
2.30455421,0.07456801,1.292802236,0.126984127,2.337995338,0.030023894,2.188886125,0.105002141,2.106703146,0.006366723,1.517830236,0.059495446
2.37478644,0.140693211,1.341719078,0.326530612,2.454131054,0.094762029,2.225573105,0.177644459,2.166863574,0.023461214,1.566638107,0.151137652
2.421607927,0.197697695,1.348707198,1.052154195,2.515255115,0.189219525,2.256145587,0.302399743,2.243294781,0.061009072,1.591042042,0.310040193
2.468429414,0.272943613,1.376659679,2.267573696,2.551929552,0.249282172,2.274489077,0.461107415,2.286096257,0.10527602,1.611378655,0.470624242
2.5152509,0.368711146,1.397624039,3.591836735,2.575156695,0.346244845,2.298947063,0.590205446,2.322783236,0.152704893,1.627647945,0.615233962
2.562072387,0.487280471,1.43256464,5.024943311,2.600828801,0.443278071,2.323405049,0.750097504,2.355393884,0.198868996,1.652051881,0.774136503
2.608893874,0.591028631,1.474493361,6.367346939,2.629353363,0.547502493,2.347863035,0.923017803,2.37985187,0.251103994,1.676455816,1.129775523
2.655715361,0.723279033,1.481481481,7.455782313,2.645376845,0.632245715,2.372321021,1.195426494,2.396157194,0.281711427,1.700859751,1.492981331
2.702536847,0.849828987,1.495457722,8.326530612,2.661079661,0.745945221,2.392702677,1.432303616,2.414500684,0.328191722,1.725263687,1.891498815
2.749358334,0.983219478,1.502445842,9.015873016,2.686402486,0.900217524,2.413084332,1.644966632,2.445073167,0.385106369,1.738694222,2.073942473
2.796179821,1.117750059,1.516422082,9.396825397,2.704739705,1.001392649,2.433465987,1.86815752,2.45730216,0.42968951,1.742761545,2.148769595
2.843001308,1.260261268,1.523410203,9.832199546,2.713908314,1.081124163,2.457923973,2.096349148,2.475645649,0.495141354,1.761064496,2.340871417
2.889822795,1.381110773,1.530398323,10.04988662,2.72002072,1.164339163,2.472598765,2.249529687,2.500103636,0.559644621,1.786273525,2.547287079
2.936644281,1.474598126,1.537386443,9.941043084,2.73006993,1.275994083,2.487273556,2.364651968,2.524561622,0.624147888,1.806610138,2.725526966
2.983465768,1.552124224,1.544374563,9.759637188,2.748174048,1.394750428,2.500725449,2.460350326,2.546981442,0.686437808,1.81067746,2.809602385
3.030287255,1.620529604,1.551362683,9.487528345,2.771976172,1.570709293,2.51365028,2.557469946,2.563286766,0.763167184,1.822074335,2.929031517
3.170751715,1.699575821,1.558350804,9.26984127,2.799045399,1.784900954,2.521711644,2.639044277,2.587744753,0.846431205,1.837016575,3.026052819
3.217573202,1.750043791,1.565338924,8.907029478,2.829432789,1.998706969,2.544977822,2.723223708,2.612202739,0.921685017,1.845739652,3.128083618
3.358037662,1.659292653,1.579315164,8.453514739,2.843287577,2.079253994,2.595344692,2.68602597,2.636660725,1.005792218,1.857734807,3.180228408
3.428269892,1.586326914,1.593291405,7.800453515,2.857549858,2.178473854,2.650789703,2.632708544,2.652966049,1.071165014,1.894481047,3.121480455
3.498502123,1.515641354,1.628232006,6.839002268,2.877415177,2.281648529,2.663951416,2.555101175,2.665195042,1.097488038,1.950958234,3.03184242
3.545323609,1.465477409,1.656184486,5.950113379,2.888045288,2.361102854,2.682035816,2.48226146,2.677424035,1.161042728,1.962396963,2.963740652
3.592145096,1.403912566,1.691125087,4.444444444,2.911569342,2.459076042,2.690274841,2.4295563,2.689653028,1.189500051,1.96930304,2.905448362
3.638966583,1.335507186,1.733053809,2.866213152,2.945713546,2.597860417,2.699446586,2.35138685,2.69780569,1.246730891,1.981505008,2.831672182
3.68578807,1.264821627,1.78895877,1.578231293,2.986739187,2.512764291,2.706580166,2.282297689,2.722263676,1.323565665,1.993706976,2.759157134
3.732609556,1.194136067,1.858839972,0.634920635,3.03998964,2.369738101,2.720847324,2.179058743,2.738569001,1.388701317,2.002858451,2.686642085
3.767725672,1.123450508,1.984626136,0.126984127,3.064491064,2.257137537,2.74530531,2.056474833,2.760581188,1.465915522,2.005908943,2.648177581
3.82625253,1.075566741,2.110412299,0.01814059,3.083708884,2.107117376,2.751419807,1.991333624,2.77525598,1.507273499,2.030312879,2.514497666
3.880877598,1.014001899,2.389937107,-0.01814059,3.100823621,1.978963195,2.767725131,1.878422196,2.787484973,1.557548104,2.042514846,2.456485627
3.978422362,0.927355084,2.543675751,0.009070295,3.112233446,1.872513704,2.78105957,1.793936022,2.799713966,1.590748315,2.046582169,2.383340013
4.072065336,0.866930332,2.781271838,0.136054422,3.123512044,1.782163056,2.792096754,1.728400018,2.811942959,1.640785776,2.060817798,2.334155893
