Na-Cl,,Na-K,,Na-Na,,K-K,,K-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y
2.067196078,0.029636845,2.909181298,0.027628781,2.332193505,-0.00108126,3.097034693,0.027540003,2.345621116,0.027895114
2.130958738,0.11091934,2.949436126,0.029219908,2.372449389,0.003730169,3.137290048,0.030741281,2.375813426,0.032711298
2.156109024,0.150920754,2.989691481,0.032421186,2.412702366,-0.000314232,3.17754514,0.033137483,2.439572386,0.102722738
2.178021381,0.192209728,3.029948422,0.040452916,2.452957986,0.003692121,3.217800759,0.037143837,2.474997025,0.15074217
2.188053763,0.318400576,3.070205099,0.047679571,2.493212285,0.003673098,3.258055587,0.038734964,2.510083727,0.304763373
2.202617318,0.401517742,3.110462568,0.057321452,2.533467641,0.006874375,3.298315698,0.056427599,2.531193017,0.376980173
2.221674116,0.547227407,3.150721623,0.071793785,2.573722468,0.008465502,3.338579509,0.08539129,2.566064343,0.523717461
2.235120276,0.632720074,3.190985169,0.099952401,2.613976767,0.008446479,3.378843584,0.115160056,2.575032202,0.592144643
2.253378702,0.779419209,3.231252151,0.138576997,2.654231065,0.008427455,3.419108451,0.147344048,2.598411925,0.768215114
2.26605483,0.854906301,3.271519132,0.177201592,2.694485364,0.008408431,3.459373847,0.181138192,2.604186817,0.842187325
2.272135857,0.985567186,3.311783999,0.209385585,2.734739663,0.008389407,3.499637922,0.210906958,2.621006842,0.986609926
2.280877518,1.046185242,3.352048338,0.239959426,2.77499449,0.009980534,3.539901732,0.239870649,2.629754448,1.065342179
2.284472904,1.098674467,3.38896238,0.28341606,2.821892456,0.031977709,3.580167393,0.274469868,2.643603798,1.21121532
2.293782926,1.236222973,3.422525702,0.338467365,2.871693675,0.050627744,3.62043728,0.321950293,2.653980269,1.288497667
2.301091542,1.310884524,3.456088706,0.392552579,2.936033879,0.077530773,3.660708225,0.372651019,2.670356089,1.442259355
2.311112223,1.472216924,3.491887849,0.445992676,2.97629584,0.100858936,3.69315124,0.421208578,2.676863962,1.510687699
2.31928548,1.553123152,3.519862568,0.507970271,3.016561236,0.13465308,3.721126531,0.484930503,2.687647904,1.661392742
2.32747878,1.695100101,3.546238233,0.564888147,3.056827953,0.1724726,3.747982943,0.546506089,2.698396334,1.703895651
2.33478803,1.771693833,3.567647566,0.622132492,3.093742312,0.216895324,3.77148232,0.600435044,2.701770279,1.763067108
2.34624573,1.931093373,3.597071968,0.676516599,3.130660792,0.273877224,3.801692795,0.660600163,2.715235145,1.905559113
2.352982523,2.01562312,3.630636241,0.734466175,3.170934115,0.33182363,3.833023954,0.728412969,2.721971542,1.988881247
2.361175087,2.155357358,3.66755414,0.789676909,3.211204267,0.38010913,3.858755453,0.769459661,2.736874402,2.13240767
2.368484518,2.232503142,3.69392905,0.84429457,3.251477325,0.43725046,3.90575072,0.866690576,2.74664458,2.211875509
2.376581246,2.372260428,3.720785179,0.905007575,3.286900731,0.481512874,3.939314992,0.924640152,2.75787521,2.360809175
2.381396676,2.443104799,3.754353574,0.975516328,3.318606531,0.555162301,3.975753077,0.978033942,2.764383453,2.430364625
2.393435778,2.621825877,3.775456326,1.027813262,3.344024384,0.613978308,4.003567868,1.039436559,2.783989714,2.595418845
2.400172175,2.705148011,3.802312228,1.087836203,3.369921624,0.673311637,4.036654395,1.101871782,2.796665524,2.669939846
2.408366494,2.85023025,3.832043966,1.149467935,3.394860202,0.731955354,4.063510609,1.162843561,2.812814406,2.813638197
2.413664784,2.932172934,3.861775326,1.20994956,3.419321346,0.796033557,4.095959944,1.23065584,2.827378028,2.896956632
2.42185933,3.077945238,3.889590117,1.271352177,3.442821581,0.852579007,4.127287866,1.288606473,2.846439317,3.056352579
2.425886211,3.153160391,3.922197992,1.335512788,3.466322742,0.911942221,4.160854411,1.353479697,2.85652905,3.136050288
2.433237946,3.288409606,3.950012783,1.396915405,3.493178559,0.971706387,4.197769351,1.399673587,2.876698474,3.264852841
2.442081145,3.366382743,3.983099574,1.460155703,3.518916928,1.033685039,4.238034483,1.432662655,2.916971004,3.32038402
