U-U,,U-Na,,U-Cl,,Na-Na,,Na-Cl,,Cl-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.020,0.000,0.020,0.000,0.020,0.000,0.020,0.000,0.020,0.000,0.020,0.000
0.060,0.000,0.060,0.000,0.060,0.000,0.060,0.000,0.060,0.000,0.060,0.000
0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.100,0.000
0.140,0.000,0.140,0.000,0.140,0.000,0.140,0.000,0.140,0.000,0.140,0.000
0.180,0.000,0.180,0.000,0.180,0.000,0.180,0.000,0.180,0.000,0.180,0.000
0.220,0.000,0.220,0.000,0.220,0.000,0.220,0.000,0.220,0.000,0.220,0.000
0.260,0.000,0.260,0.000,0.260,0.000,0.260,0.000,0.260,0.000,0.260,0.000
0.300,0.000,0.300,0.000,0.300,0.000,0.300,0.000,0.300,0.000,0.300,0.000
0.340,0.000,0.340,0.000,0.340,0.000,0.340,0.000,0.340,0.000,0.340,0.000
0.380,0.000,0.380,0.000,0.380,0.000,0.380,0.000,0.380,0.000,0.380,0.000
0.420,0.000,0.420,0.000,0.420,0.000,0.420,0.000,0.420,0.000,0.420,0.000
0.460,0.000,0.460,0.000,0.460,0.000,0.460,0.000,0.460,0.000,0.460,0.000
0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000
0.540,0.000,0.540,0.000,0.540,0.000,0.540,0.000,0.540,0.000,0.540,0.000
0.580,0.000,0.580,0.000,0.580,0.000,0.580,0.000,0.580,0.000,0.580,0.000
0.620,0.000,0.620,0.000,0.620,0.000,0.620,0.000,0.620,0.000,0.620,0.000
0.660,0.000,0.660,0.000,0.660,0.000,0.660,0.000,0.660,0.000,0.660,0.000
0.700,0.000,0.700,0.000,0.700,0.000,0.700,0.000,0.700,0.000,0.700,0.000
0.740,0.000,0.740,0.000,0.740,0.000,0.740,0.000,0.740,0.000,0.740,0.000
0.780,0.000,0.780,0.000,0.780,0.000,0.780,0.000,0.780,0.000,0.780,0.000
0.820,0.000,0.820,0.000,0.820,0.000,0.820,0.000,0.820,0.000,0.820,0.000
0.860,0.000,0.860,0.000,0.860,0.000,0.860,0.000,0.860,0.000,0.860,0.000
0.900,0.000,0.900,0.000,0.900,0.000,0.900,0.000,0.900,0.000,0.900,0.000
0.940,0.000,0.940,0.000,0.940,0.000,0.940,0.000,0.940,0.000,0.940,0.000
0.980,0.000,0.980,0.000,0.980,0.000,0.980,0.000,0.980,0.000,0.980,0.000
1.020,0.000,1.020,0.000,1.020,0.000,1.020,0.000,1.020,0.000,1.020,0.000
1.060,0.000,1.060,0.000,1.060,0.000,1.060,0.000,1.060,0.000,1.060,0.000
1.100,0.000,1.100,0.000,1.100,0.000,1.100,0.000,1.100,0.000,1.100,0.000
