U-Cl,,Na-Cl,,Cl-Cl,,Na-Na,,Na-U,,U-U,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.369306156,0.066528429,2.00366581,0.017731273,2.276138183,0.012852078,2.701546663,0.012301533,3.119220443,0.013277046,3.58224769,0.011472443
2.422042745,0.214842462,2.124608386,0.03248342,2.522242263,0.012071331,2.821961873,0.056894617,3.239459865,0.036345462,3.706706038,0.013714869
2.44313738,0.364968944,2.211701649,0.12677194,2.638262757,0.012071331,2.92783457,0.10903613,3.355480359,0.110213901,3.820441281,0.060503303
2.469505674,0.552299411,2.259014754,0.259811217,2.754283252,0.028892878,3.038435141,0.181069959,3.455093915,0.192441642,3.925035514,0.198713327
2.485326651,0.739434691,2.300748591,0.522094264,2.875983071,0.102157515,3.166800565,0.33295832,3.544453135,0.315098734,4.01073247,0.324133091
2.501147627,0.948967649,2.348211521,0.86862879,2.965229605,0.285109686,3.279305287,0.461781563,3.607209675,0.432790394,4.060848191,0.433467105
2.511694945,1.176269106,2.369306156,1.059052966,3.028513511,0.453349496,3.39134124,0.604919131,3.85120429,0.96971321,4.105151247,0.5691094
2.522242263,1.37624442,2.390400792,1.255801193,3.075976441,0.604072692,3.488376562,0.730728087,3.903940879,1.097331306,4.180807968,0.763074026
2.53278958,1.571301028,2.411495427,1.461137636,3.12343937,0.770957348,3.59998636,0.885993337,3.961797896,1.271293443,4.249813926,0.935371135
2.543336898,1.745654831,2.453684698,1.87551907,3.1709023,0.939598686,3.68983033,1.02616178,4.01385772,1.427203028,4.325631833,1.109997327
2.553884216,1.973668719,2.474779333,2.082534119,3.244733524,1.095943259,3.806905556,1.184831297,4.063127484,1.545126487,4.429695722,1.350626263
2.560915761,2.220453065,2.495873968,2.267649217,3.283992984,1.343574498,3.936637564,1.280711463,4.120160891,1.654567689,4.49007039,1.489222786
2.571463079,2.421144064,2.516968604,2.432777193,3.371301336,1.577859303,4.048087554,1.357005987,4.193992115,1.796273257,4.559381335,1.543301326
2.58025251,2.689679182,2.543336898,2.644749985,3.455679877,1.742050382,4.157076503,1.400916338,4.283644315,1.95591826,4.696747591,1.566148099
2.590799828,3.039495634,2.58025251,2.817490244,3.566426713,1.844768288,4.287160088,1.415333816,4.400719542,2.037172723,4.821557517,1.567319219
2.596073486,2.907080954,2.658185468,2.988799133,3.682447208,1.827520878,4.39966481,1.415440886,4.518029153,2.074804725,5.027230212,1.348319705
2.603105032,3.282229855,2.749009593,2.886000787,3.798467702,1.74320021,4.561709963,1.375059814,4.631705799,2.033744534,5.129539193,1.237531715
2.606620804,3.498730979,2.801746181,2.703306005,3.914488197,1.614164035,4.679922108,1.342129497,4.857528212,1.857687819,5.261631365,1.182346707
2.617168122,3.669691135,2.843935452,2.54169139,4.030508691,1.467880451,4.798119033,1.32528767,5.010204679,1.742502006,5.362484238,1.071109268
2.627715439,3.97129479,2.886124723,2.380076775,4.146529185,1.323513245,4.918827225,1.271416132,5.121402691,1.616838093,5.475491213,1.064431374
