Be-F,,Li-F,,Be-Li,,Li-Li,,Be-Be,,F-F,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.328610311,0.125376751,1.522268145,0.091017047,1.954202826,0.001030035,1.770786264,0.00011606,2.098801067,-0.042942302,2.123089983,0.01614205
1.356400699,0.315877384,1.581099051,0.239145174,2.059479208,0.00910106,1.84551153,0.00011606,2.171585417,-0.032503911,2.20713073,0.08071025
1.37103222,0.581955982,1.602654416,0.445052471,2.153243761,0.036912004,1.920236796,0.00011606,2.246310683,-0.01097473,2.263947282,0.23773443
1.37932777,0.834371831,1.624166235,0.656756086,2.241211201,0.124407823,1.994962062,0.00011606,2.321035949,0.024254839,2.290466522,0.38979424
1.383573523,1.013012775,1.638998068,0.887118325,2.302920733,0.268034759,2.069687327,0.010554451,2.395761214,0.032083632,2.321035949,0.563975567
1.390366729,1.198573813,1.654622442,1.09882194,2.365946588,0.412360011,2.144412593,0.024254839,2.47048648,0.049698417,2.341415567,0.718780632
1.397159935,1.493403988,1.668888175,1.343406486,2.422934038,0.608763953,2.219137859,0.062094006,2.546343947,0.089222949,2.375381596,0.992850526
1.405520804,1.949887033,1.683153907,1.584663795,2.473099252,0.777926734,2.293863125,0.127986348,2.619937012,0.193161052,2.396610365,1.199470862
1.41231401,2.389855171,1.698531255,1.816396073,2.518944683,0.97323505,2.368588391,0.221279467,2.686438923,0.347982304,2.416989983,1.367219065
1.418774682,2.832834384,1.70964741,2.038211879,2.571478809,1.158386008,2.448108861,0.339095129,2.746290643,0.509161589,2.434256048,1.537459072
1.425900422,3.266479267,1.726891703,2.274480841,2.619414457,1.321676567,2.517189771,0.486316735,2.794012915,0.705196744,2.454635666,1.700921374
1.432824267,3.758154242,1.738518536,2.535775177,2.661218802,1.487837683,2.584540833,0.641081332,2.856269072,0.867088103,2.467089877,1.854017773
1.439486834,4.326929447,1.759464254,2.769007973,2.70824869,1.649661418,2.645911035,0.790785793,2.915488453,1.016937699,2.493885301,2.030238108
1.446410679,4.920730026,1.779432163,2.998543839,2.756706892,1.787038098,2.705745929,0.953443311,2.960582265,1.059188645,2.521812925,2.18811877
1.453073246,5.494473504,1.796449487,3.181650612,2.809241018,1.965012663,2.776180749,1.0990829,3.011900419,1.004629354,2.554131262,2.32550986
1.459997091,6.100648761,1.835548161,3.359146751,2.858604982,2.115238505,2.850906015,1.263403588,3.063585618,0.94243176,2.587669283,2.363247296
1.465091995,6.657199841,1.892384651,3.342162619,2.91099976,2.262336175,2.925631281,1.381562181,3.114699692,0.830783634,2.643621171,2.272825577
1.473452864,7.246065603,1.916840193,3.186434875,2.95879811,2.415605761,2.998788884,1.462025431,3.159837031,0.717377728,2.689377817,2.117785266
1.48024607,7.842810343,1.943635616,2.999848638,3.027529371,2.539244969,3.079610616,1.521803293,3.218586,0.537548213,2.732402311,1.915415808
1.487039276,8.431274629,1.965936545,2.831529585,3.105311579,2.588449778,3.147809076,1.526778619,3.28660183,0.379206641,2.79995697,1.647098421
1.49535264,8.864267112,1.991874241,2.656034139,3.170639577,2.513705348,3.218163713,1.51791608,3.348627372,0.301776061,2.853270362,1.494343754
1.501322427,9.341388561,2.010812876,2.484743044,3.219979889,2.380628379,3.29925761,1.481715165,3.421535317,0.225193864,2.898881888,1.40940214
1.507418894,9.761115589,2.032324694,2.329752874,3.267839032,2.24856992,3.373982876,1.423651616,3.493996181,0.204045249,2.986770135,1.29537116
1.508824403,9.956166291,2.054248223,2.166734566,3.307021274,2.099482033,3.448708141,1.353309967,3.568721447,0.227966561,3.0614954,1.239674977
