U-U,,U-Na,,U-F,,Na-Na,,Na-F,,F-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.00E-02,0.00E+00,2.00E-02,0.00E+00,2.00E-02,0.00E+00,2.00E-02,0.00E+00,2.00E-02,0.00E+00,2.00E-02,0.00E+00
6.00E-02,0.00E+00,6.00E-02,0.00E+00,6.00E-02,0.00E+00,6.00E-02,0.00E+00,6.00E-02,0.00E+00,6.00E-02,0.00E+00
1.00E-01,0.00E+00,1.00E-01,0.00E+00,1.00E-01,0.00E+00,1.00E-01,0.00E+00,1.00E-01,0.00E+00,1.00E-01,0.00E+00
1.40E-01,0.00E+00,1.40E-01,0.00E+00,1.40E-01,0.00E+00,1.40E-01,0.00E+00,1.40E-01,0.00E+00,1.40E-01,0.00E+00
1.80E-01,0.00E+00,1.80E-01,0.00E+00,1.80E-01,0.00E+00,1.80E-01,0.00E+00,1.80E-01,0.00E+00,1.80E-01,0.00E+00
2.20E-01,0.00E+00,2.20E-01,0.00E+00,2.20E-01,0.00E+00,2.20E-01,0.00E+00,2.20E-01,0.00E+00,2.20E-01,0.00E+00
2.60E-01,0.00E+00,2.60E-01,0.00E+00,2.60E-01,0.00E+00,2.60E-01,0.00E+00,2.60E-01,0.00E+00,2.60E-01,0.00E+00
3.00E-01,0.00E+00,3.00E-01,0.00E+00,3.00E-01,0.00E+00,3.00E-01,0.00E+00,3.00E-01,0.00E+00,3.00E-01,0.00E+00
3.40E-01,0.00E+00,3.40E-01,0.00E+00,3.40E-01,0.00E+00,3.40E-01,0.00E+00,3.40E-01,0.00E+00,3.40E-01,0.00E+00
3.80E-01,0.00E+00,3.80E-01,0.00E+00,3.80E-01,0.00E+00,3.80E-01,0.00E+00,3.80E-01,0.00E+00,3.80E-01,0.00E+00
