Ca-Cl,,Cl-Cl,,Ca-Ca,
X,Y,X,Y,X,Y
2.279309812,0.057333033,2.769661309,0.034783955,0.070177956,0.010182543
2.322588978,0.147257287,2.856365363,0.05909582,0.174368542,0.006847867
2.340585534,0.246911437,2.910555396,0.118992282,0.279506315,0.007794152
2.363318025,0.348322148,2.94489093,0.179433431,0.378013777,0.000713655
2.37184271,0.433617554,2.979226464,0.231813646,0.486940299,0.018250836
2.379420207,0.521258395,3.006458094,0.293275871,0.591130884,0.018202711
2.387944891,0.620623795,3.034873708,0.36068147,0.694374282,0.011120026
2.400258324,0.736500147,3.064341753,0.428737972,0.799512055,0.000518968
2.410677382,0.84690571,3.07749713,0.488985345,0.907491389,0.016297837
2.419202067,0.958533501,3.100229621,0.556979819,1.007893226,0.018010211
2.422646383,1.028637612,3.118767427,0.623803732,1.110189437,0.017962961
2.428673938,1.092633762,3.133802143,0.68958704,1.216274397,0.017913961
2.433409874,1.223267567,3.156285878,0.77567839,1.322359357,0.017864961
2.433409874,1.175195085,3.17695178,0.867559056,1.424655568,0.017817711
2.43826062,1.309444044,3.191159587,0.948406109,1.525057405,0.017771336
2.445034443,1.393700997,3.210629545,1.022085456,1.633036739,0.017721461
2.452353617,1.450723731,3.236940299,1.093726054,1.737227325,0.017673336
2.457089552,1.53523922,3.252726751,1.164720124,1.84141791,0.017625211
2.461825488,1.628548455,3.270723307,1.237537062,1.945608496,0.017577086
2.465614237,1.718047505,3.290614237,1.321850134,2.059270953,0.017524586
2.471297359,1.821029424,3.309557979,1.404160623,2.163461538,0.017476461
2.471297359,1.762892988,3.330606582,1.469534036,2.267652124,0.017428336
2.473450057,1.914384265,3.348629449,1.536781589,2.37184271,0.017380211
2.480420699,2.005554307,3.366389208,1.597701488,2.476033295,0.017332086
2.485505166,2.142483156,3.395857252,1.656778132,2.578329506,0.017284836
2.488231917,2.077994421,3.422273249,1.727278751,2.684414466,0.017235836
2.48989257,2.197756109,3.444269039,1.79615294,2.788605052,0.017187711
2.493623913,2.278991855,3.462291906,1.862830528,2.892795637,0.017139586
2.496871412,2.335940333,3.482419633,1.922911833,2.996986223,0.018423847
2.499712974,2.396518164,3.509651263,1.98372267,3.101176808,0.021573448
2.500717566,2.475172879,3.565836682,2.05383573,3.205367394,0.023657141
2.502439724,2.529400188,3.595608496,2.125644238,3.309557979,0.040397078
2.50510497,2.582161437,3.64380023,2.096291725,3.413748565,0.073392122
2.514973211,2.6726999,3.698622273,2.056272621,3.519517796,0.134344334
2.518226177,2.722855323,3.753683506,2.017156468,3.583381171,0.202022244
2.518656716,2.775617604,3.797359357,1.971278534,3.631601607,0.273771156
2.521287792,2.857691358,3.83315565,1.919282455,3.687248852,0.332614701
2.522244546,2.917292976,3.869331228,1.854337314,3.72347876,0.399283879
2.528128588,2.968098573,3.896814007,1.805993909,3.774732109,0.471401498
2.532864524,3.059942184,3.934701493,1.751957679,3.803279277,0.548007901
2.537600459,3.145923297,3.976798699,1.697221589,3.830510907,0.621381232
2.546010333,3.231707297,4.010476464,1.638860222,3.848270666,0.69491597
2.549225029,3.417280514,4.048363949,1.57808212,3.877870264,0.767084302
2.550455142,3.32165271,4.085067451,1.509693787,3.918599311,0.835949839
2.554965557,3.492779728,4.098880597,1.468527787,3.93706946,0.914352215
2.5586969,3.570234036,4.145522388,1.413789597,3.954697666,0.993406369
2.566016073,3.634451654,4.190442021,1.356365225,3.988088404,1.072682709
2.570752009,3.710661937,4.242537313,1.296006289,4.019948335,1.156581655
2.580223881,3.828173995,4.28989667,1.240290685,4.067307692,1.241326168
2.589695752,3.931148243,4.337256028,1.186333831,4.094370182,1.306752848
2.589695752,3.989121832,4.379879449,1.129594477,4.1199292,1.380906292
2.598306544,4.052805899,4.427238806,1.079822795,4.161079219,1.461952602
2.599167623,4.129817403,4.484070034,1.024998475,4.18728473,1.547304979
2.607778416,4.208957146,4.540901263,0.976850889,4.20820178,1.617726714
2.618111366,4.326690871,4.626148106,0.948150414,4.256745121,1.701977698
2.627583238,4.44168916,4.67695178,0.896489594,4.31778607,1.759597399
2.64547455,4.533656973,4.743362514,0.866346999,4.357146958,1.825923151
2.703358209,4.66130241,4.825057405,0.844487745,4.44065729,1.882653098
2.733800947,4.560709872,4.891360505,0.816447409,4.53695465,1.865021126
2.748011317,4.489036017,4.976607348,0.824550392,4.651649298,1.874738979
