Na-Na,,Na-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
2.229459459,0.007669617,2.100432432,0.023677483,2.604648649,0.008967552
2.282972973,0.00863105,2.128378378,0.027138643,2.669459459,0.008194035
2.336486486,0.009832842,2.175945946,0.076892822,2.734864865,0.010029499
2.387451737,0.010759938,2.211621622,0.183972468,2.80027027,0.012428712
2.443513514,0.013197859,2.225,0.240216323,2.865675676,0.020255654
2.497027027,0.015841801,2.211621622,0.139626352,2.931081081,0.039200262
2.550540541,0.023533268,2.241351351,0.330639135,2.996486486,0.077269748
2.604054054,0.036993336,2.231441441,0.282399213,3.052972973,0.126376598
2.657567568,0.052135912,2.262972973,0.451130777,3.105297297,0.176617502
2.711081081,0.074969955,2.271081081,0.516224189,3.135495495,0.222137941
2.764594595,0.106216541,2.277027027,0.577030482,3.175608108,0.27347591
2.818108108,0.139385994,2.286216216,0.648574238,3.204594595,0.325014749
2.865675676,0.178873437,2.306096096,0.838167814,3.236108108,0.387705015
2.907297297,0.219974716,2.311216216,0.891482301,3.263355856,0.442315634
2.952702703,0.261356932,2.321621622,0.959488692,3.290810811,0.496946083
2.987897898,0.306915765,2.325585586,1.020203212,3.325765766,0.565943953
3.015810811,0.345943953,2.332522523,1.065666994,3.354774775,0.636086529
3.042567568,0.381637168,2.336486486,1.111779744,3.379459459,0.691327434
3.074444444,0.427575658,2.343918919,1.168510324,3.403333333,0.750867257
3.100540541,0.469788594,2.347387387,1.226286463,3.43042042,0.816924141
3.126636637,0.512078788,2.354984985,1.3143778,3.459966216,0.889643559
3.151741742,0.556888452,2.3625,1.390163647,3.486396396,0.956569431
3.180810811,0.605152409,2.366216216,1.467305801,3.506990991,1.009603409
3.210540541,0.660693215,2.372162162,1.537340216,3.52722973,1.063473724
3.241351351,0.717010816,2.379429429,1.607254452,3.551621622,1.123992134
3.274864865,0.775417896,2.385375375,1.680804108,3.576640927,1.177665402
