Sr-Sr,,Cl-Cl,,Sr-Cl,
X,Y,X,Y,X,Y
2.667012431,-0.005743421,1.328490042,-0.017636577,2.079669111,-0.003394134
3.08954371,-0.006054478,1.750427707,-0.019724375,2.316851842,-0.012034705
3.395528838,0.038361486,2.172398113,-0.020035433,2.398957455,0.240561432
3.563399308,0.230794825,2.524956793,0.0294541,2.435302897,0.551717577
3.736522683,0.453473723,2.739130491,0.202340453,2.469684543,0.87055078
3.853483117,0.685655241,2.882884587,0.370329157,2.499631897,1.04962687
3.927482334,0.87949026,3.027077145,0.562113499,2.534364112,1.289007956
4.049253116,1.117931334,3.124826071,0.777918406,2.559268864,1.5676881
4.217578437,1.335016954,3.222722323,1.001718648,2.58751311,1.811528521
4.52617383,1.520905921,3.320655403,1.227517723,2.615757359,2.055368942
4.95,1.590776132,3.402493428,1.42800976,2.655123263,2.333488519
5.299298343,1.438161377,3.516803934,1.694440265,2.688655619,2.642980858
5.530386849,1.240104039,3.8,1.796395501,2.750311802,2.98807253
5.738266928,1.056455583,4.053164647,1.540798891,2.808218842,3.195066468
6.016148459,0.849968582,4.166032616,1.304850119,2.9,3.381280466
6.388994522,0.701334213,4.279342552,1.09288735,3.063032914,3.053473782
6.81085377,0.664599964,4.416095289,0.8809073,3.124627439,2.791720888
7.235499489,0.778888701,4.718609108,0.758975889,3.163402966,2.542691674
7.661177841,0.949144779,5.143886099,0.938115672,3.230448146,2.324766966
8.086610329,1.1060753,5.566527644,0.974227805,3.265451749,2.115860494
8.510239805,1.165285066,5.987041187,0.894851773,3.300315753,1.905621549
8.932459657,1.148094968,6.409535406,0.922968571,3.343945079,1.703038514
9.353253492,1.053616638,6.832979043,1.002610858,3.387524755,1.497790367
9.774030934,0.958249937,7.255718803,1.044053214,3.431054781,1.289877108
10.19580823,0.917073836,7.677476407,1.03219334,3.475081302,1.108614964
10.61838868,0.91942789,8.098906629,1.002566056,3.49570438,0.94336077
11.04141169,0.945767947,8.520680602,0.991594552,3.586488133,0.727417615
11.46471335,0.987210303,8.942765593,0.997502088,3.679857935,0.476546234
11.88783471,1.018880583,9.364343136,0.975870138,3.887245703,0.310564114
12.31067742,1.035448565,9.785887939,0.952461448,4.431838973,0.655605208
12.733012,1.024477061,10.20792382,0.955703872,4.9852732,0.748203495
13.15511712,1.001068371,10.63028709,0.976713706,5.367931214,0.932401171
13.57725501,0.979436421,11.05247029,0.987951465,5.631952558,1.109707506
,,11.4744407,0.987640407,6.037339687,1.241700173
,,11.89629652,0.981110756,6.557117119,1.152644463
,,12.31823419,0.979022958,7.076231056,1.027973173
,,12.74020459,0.9787119,7.596333468,0.956361829
,,13.16202767,0.970405508,8.116936882,0.911643884
,,13.58385076,0.962099116,8.638637098,0.925800674
,,,,9.160919561,0.971211954
,,,,9.683120782,1.012262142
,,,,10.204821,1.026418932
,,,,10.72615561,1.02095081
,,,,11.24721941,1.000945717
,,,,11.76822905,0.978033229
,,,,12.28957721,0.973291955
,,,,12.81131804,0.989629291
,,,,13.3330318,1.00451293
,,,,13.87426139,1.006753174
