Zn-Cl,,Zn-Zn,,Cl-Cl,
X,Y,X,Y,X,Y
2.066517777,0.302480434,2.620064858,0.008082229,2.84560905,0.00991601
2.081148102,0.525859737,2.716454912,0.025466085,2.951501741,0.043177295
2.089543644,0.722697409,2.811184363,0.061777524,3.022162206,0.100795205
2.098464423,0.938213109,2.860135672,0.120676985,3.066979498,0.161349546
2.109371357,1.22748307,2.896602687,0.167912155,3.103092167,0.229232502
2.120275472,1.524826317,2.934646434,0.218279312,3.128696272,0.298912729
2.124994458,2.249985332,2.969999348,0.276117684,3.146976138,0.35622737
2.125656666,1.876424786,3.007668005,0.328457211,3.171349293,0.432646891
2.12802483,2.099922549,3.042186799,0.385722811,3.190843234,0.497719565
2.128455063,1.743523438,3.090856257,0.441202709,3.201781153,0.557881676
2.130985035,2.379294751,3.148813542,0.498098854,3.213947821,0.61319586
2.136432816,2.54021314,3.211776364,0.551977779,3.236209848,0.701965035
2.142368724,3.054577276,3.265511277,0.607532937,3.24705855,0.759383226
2.144362744,2.757426842,3.301523199,0.657580471,3.258089924,0.818648672
2.1487563,3.276250567,3.329888052,0.711998185,3.269280528,0.886893919
2.152619618,3.471240961,3.349080436,0.768211864,3.280038475,0.949392135
2.154768036,3.587923775,3.367962055,0.828795721,3.289330485,0.999677976
2.158036292,3.721239172,3.388714691,0.899496844,3.302714683,1.059781247
2.159342169,3.922027966,3.401517596,0.963304885,3.311200884,1.124674363
2.166156912,4.108808238,3.412296803,0.998095276,3.324577836,1.191003644
2.168153244,4.749967444,3.425790452,1.044215636,3.332142105,1.265187996
2.168805417,4.405142325,3.436700926,1.124980144,3.345212402,1.32910217
2.168860608,4.247097479,3.443639889,1.161887208,3.352925681,1.378181861
2.17286002,4.615270132,3.457500237,1.218783352,3.357846799,1.42208023
2.179539422,5.18961947,3.471701452,1.308653399,3.368284071,1.470689696
2.179594612,5.031574624,3.474942851,1.360161651,3.374753762,1.539534185
2.181907252,5.41407508,3.491376065,1.423298173,3.380202797,1.586731445
2.183323802,4.860119912,3.498356875,1.503633531,3.388697361,1.644440704
2.19027744,5.962602445,3.507724492,1.559298157,3.396553919,1.724874976
2.190332631,5.804557599,3.525989068,1.624767037,3.408854137,1.796801812
2.190387821,5.646512753,3.535081983,1.691337442,3.42044482,1.842491202
2.192645382,6.186738772,3.538942523,1.751168706,3.423882302,1.889381896
