Composition,Source,Temperature (K),Average SCL (A),Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/s),Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/s),Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/s),Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/s),Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/s),Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/s)
1.0LiF,"Walz, 2019",1121,3.45284,Li-F,3.45284,1.87565,1.24144,2.9291,0.16012,2.81091,0.59498,-12.2554,936.70403,5.08315,135.74834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaF,"Walz, 2019",1266,3.93783,Na-F,3.93783,2.16571,1.32521,3.40781,0.15604,3.26768,0.56455,-14.52799,843.21438,10.40219,90.03402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KF,"Walz, 2019",1131,4.37744,K-F,4.37744,2.48153,1.33662,3.90487,0.16015,3.77818,0.60016,-13.05939,667.7966,12.78567,72.27038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiCl,"Walz, 2019",878,4.26448,Li-Cl,4.26448,2.37101,1.33983,3.75177,0.14956,3.49375,0.57188,-10.15554,506.75508,5.8038,93.44217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaCl,"Lu, 2021",1200,4.54379,Na-Cl,4.54379,2.6622,1.27969,4.19256,0.15891,3.98532,0.54037,-13.42183,601.5845,13.94577,65.67909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walz, 2019",1043,5.10197,K-Cl,5.10197,2.98569,1.41236,4.59394,0.15406,4.4897,0.53797,-12.52127,645.25431,18.59244,58.91112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Roy, 2021",1073,4.54014,Mg-Cl,4.54014,2.43757,1.72897,3.43774,0.10287,4.13184,0.24611,-16.06111,1131.15506,14.41908,88.57115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0CaCl2,"Bu, 2021",1100,4.75468,Ca-Cl,4.75468,2.70371,1.33147,3.95616,0.12455,4.44323,0.26888,-14.07598,1052.71423,18.8111,74.80801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0SrCl2,"McGreevy, 1987",1198,5.06131,Sr-Cl,5.06131,2.90019,0.96597,3.88504,0.08924,4.95139,0.22717,-12.13355,867.08248,25.23872,58.61335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",1473,2.28737,Li-F,2.32172,1.81931,0.88914,2.93737,0.09569,0,0,-17.25091,898.34471,5.08315,132.93974,Na-F,2.23583,2.19106,0.39227,3.37671,0.08477,0,0,-12.19473,1162.02219,10.40219,105.69266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiF-0.5BeF2,"Sun, 2024",900,1.96301,Be-F,1.87016,1.53366,1.66556,2.25102,0,2.94859,0.14211,-17.22533,2990.08531,6.11258,221.17159,Li-F,2.05586,1.86018,0.52753,2.78532,0.09182,3.21574,0.094,-8.62204,811.91353,5.08315,126.38287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Fayfar, 2024",973,2.09139,Be-F,1.6236,1.54691,1.30236,2.32285,0.0012,2.95953,0.03108,-19.53051,780.23078,6.11258,112.97935,Li-F,2.33237,1.84038,0.75482,2.69093,0.12812,3.58128,0.13207,-9.75176,440.96115,5.08315,93.13941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,"Jiang, 2016",727,2.69271,K-Cl,2.9913,2.91568,0.53635,4.51536,0.10815,0,0,-6.53898,267.62457,18.59244,37.93978,Li-Cl,2.39412,2.16312,0.9842,3.46729,0.06213,0,0,-10.20828,452.5252,5.8038,88.30092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637LiCl-0.363KCl,"Jiang, 2016",750,2.87166,K-Cl,2.94631,2.93915,0.35639,4.35696,0.08069,0,0,-6.23595,402.76463,18.59244,46.54333,Li-Cl,2.82912,2.20237,1.12722,3.38122,0.08628,0,0,-9.90964,529.96549,5.8038,95.55813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Manga, 2014",1100,2.88656,K-Cl,3.04886,2.96275,0.61153,4.5806,0.09762,4.68481,0.14529,-11.09355,224.17174,18.59244,34.7234,Na-Cl,2.72426,2.57069,0.85777,4.14884,0.07501,4.02973,0.15681,-14.18834,1209.43883,13.94577,93.12596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7LiCl-0.3CaCl2,"Liang, 2024",1073,2.78866,Ca-Cl,2.62244,2.61724,0.56789,3.82444,0.02357,4.95248,0.05852,-15.21559,529.97457,18.8111,53.07871,Li-Cl,2.8599,2.25607,0.85061,3.63149,0.1154,3.89371,0.23571,-11.26089,266.2389,5.8038,67.72977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Wei, 2022",1023,2.81705,Ca-Cl,2.85866,2.67223,0.4782,3.92275,0.01598,4.70432,0.13997,-8.82043,568.43696,18.8111,54.97105,Na-Cl,2.77379,2.68712,0.47761,4.13861,0.09189,4.27259,0.09066,-9.14005,392.48603,13.94577,53.05068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.718KCl-0.282CaCl2,"Wei, 2022",1300,4.11762,Ca-Cl,2.5789,2.57547,0.75775,4.01863,0.01824,4.66249,0.04803,-22.20748,680.74451,18.8111,60.15683,K-Cl,4.72197,4.7217,0.40008,6.86793,0.18497,4.62549,0.21833,-5.20235,105.35925,18.59244,23.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
