Composition,Source,Temperature (K),Average SCL (A),Average SCL (A) [b_PH=zero],Average SCL (A) [b_PH=fraction],Average SCL (A) [b_PH=L_classical],Average SCL (A) [b_PH=L_quantum],Average SCL (A) [b_PH=O_CSV],Experimental SCL (A),Deviation,Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH
0.85KCl-0.15UCl3,"Andersson, 2024",1250,4.15317,,,,,,0,,K-Cl,4.26888,3.03804,0.89864,4.72963,0.16755,4.6917,0.28122,-11.89586,102.65754,18.59244,23.4978,0.05542,U-Cl,3.49749,2.73841,0.5012,4.30863,0.00532,5.39337,0.00382,-23.85538,352.97805,30.85476,33.82305,0.31404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75KCl-0.25UCl3,"Andersson, 2024",1250,3.90272,,,,,,0,,K-Cl,3.95442,3.07247,0.69865,4.71431,0.1588,5.02913,0.1662,-10.82426,92.15588,18.59244,22.2635,0.08763,U-Cl,3.74763,2.75765,0.74851,4.0249,0.01093,4.75416,0.01041,-22.95865,334.72206,30.85476,32.93678,0.2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65KCl-0.35UCl3,"Andersson, 2024",1250,3.76079,,,,,,0,,K-Cl,3.72987,3.09691,0.54315,4.74462,0.13878,5.00667,0.11236,-10.07305,87.88423,18.59244,21.74139,0.13036,U-Cl,3.81822,2.75545,0.87008,4.04583,0.02231,4.70889,0.03238,-21.40405,308.78609,30.85476,31.635,0.2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5KCl-0.5UCl3,"Andersson, 2024",1250,3.77993,,,,,,0,,K-Cl,3.50882,3.08627,0.35574,4.72133,0.10267,4.96776,0.0509,-9.10415,84.06845,18.59244,21.26416,0.19077,U-Cl,4.05104,2.76161,0.99713,3.88815,0.03839,4.53357,0.07177,-19.81618,287.31357,30.85476,30.51526,0.19077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.625LiF-0.3125BeF2-0.0625ThF4,"Yin, 2025",973,2.79675,,,,,,0,,Be-F,2.72407,1.54291,0.96359,2.39643,0.00235,2.95748,0.03876,-17.99053,940.92415,6.11258,124.06945,0.19172,Li-F,2.86319,1.85626,0.69559,2.71874,0.12165,3.17236,0.14235,-9.74643,257.80447,5.08315,71.21616,0.10879,Th-F,2.49562,2.26213,0.12704,3.2977,0.00383,0,0,-14.61939,454.13809,17.5606,50.8539,0.49311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.3BeF2-0.1ThF4,"Yin, 2025",973,2.73859,,,,,,0,,Be-F,2.65285,1.54151,0.9069,2.39425,0.00221,2.9548,0.03149,-17.98756,950.6892,6.11258,124.71159,0.20655,Li-F,2.81614,1.84861,0.65762,2.71925,0.11393,3.12475,0.10945,-9.77991,266.44874,5.08315,72.40027,0.1253,Th-F,2.53047,2.26306,0.19637,3.30067,0.0062,0,0,-14.49721,442.9693,17.5606,50.22467,0.47674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5455LiF-0.2727BeF2-0.1818ThF4,"Yin, 2025",973,2.65858,,,,,,0,,Be-F,2.52681,1.54151,0.78624,2.39425,0.00192,2.9548,0.02184,-17.98756,950.6892,6.11258,124.71159,0.23998,Li-F,2.7322,1.84861,0.57023,2.71925,0.09879,3.12475,0.07593,-9.77991,266.44874,5.08315,72.40027,0.16003,Th-F,2.63531,2.26306,0.34048,3.30067,0.01076,0,0,-14.49721,442.9693,17.5606,50.22467,0.43341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5454LiF-0.3636NaF-0.091UF4,"Grizzi, 2024",1473,2.87588,,,,,,0,,Li-F,2.9208,1.82187,0.7549,2.91272,0.09724,0,0,-16.75526,359.4849,5.08315,84.09567,0.15791,Na-F,2.86695,2.24121,0.33963,3.48224,0.08292,0,0,-11.93888,196.33988,10.40219,43.44521,0.1976,U-F,2.64229,2.22704,0.23517,3.25273,0.00497,0,0,-24.40211,610.2846,17.59412,58.89554,0.42282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"900K-AIMD-Zhang, 2026",900,3.21533,,,,,,0,,Na-F,3.23384,2.25947,0.66432,3.57683,0.14865,3.61675,0.18275,-7.40621,122.91299,10.40219,34.37451,0.0773,U-F,3.14972,2.21955,0.56069,3.25747,0.00791,3.98002,0.00696,-15.6081,439.72975,17.59412,49.993,0.27406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"900K-CMD-Zhang, 2026",900,3.32581,,,,,,0,,Na-F,3.38219,2.21955,0.80799,3.30138,0.13729,3.50098,0.19703,-8.87128,183.96988,10.40219,42.05436,0.07998,U-F,3.12594,2.21955,0.59274,3.21755,0.00452,6.57881,0.02379,-16.0241,445.04855,17.59412,50.29443,0.28357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
