Li-Li,,Be-F,,Be-Be,,F-F,,Li-F,,Th-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.923076923,0,1.190412783,1.78E-15,2.268145161,0.004684572,1.968325792,0,1.415789474,0,1.918720376,0.000872915
1.986737401,0.000986301,1.238348868,1.78E-15,2.34375,0.01561524,2.056561086,0,1.485287696,0.009279457,1.968837626,0.02525867
2.055702918,0.00690411,1.30758988,0.018062397,2.400345622,0.029798326,2.121040724,0.013489839,1.514985524,0.03406614,2.005983114,0.108969036
2.108572168,0.016943936,1.342136916,0.110563833,2.45159304,0.05024569,2.182126697,0.053959355,1.538550822,0.067705997,2.030222528,0.263192111
2.196118264,0.046701129,1.369879224,0.373095516,2.477216749,0.067445531,2.229638009,0.131044149,1.557413056,0.117404689,2.052119347,0.492857074
2.234586272,0.073308654,1.385480817,0.797241411,2.543346774,0.14678326,2.290723982,0.364225648,1.570445145,0.175344614,2.068297516,0.790210861
2.254739877,0.096863042,1.401006991,1.26672704,2.577149213,0.235474749,2.311085973,0.493342677,1.580219212,0.239120063,2.083685991,1.018163109
2.270634664,0.121180354,1.410710849,1.695260652,2.609879032,0.321673954,2.341628959,0.6899089,1.595779556,0.353744563,2.091461711,1.302604982
2.302177007,0.140927431,1.413945469,1.949748189,2.629250755,0.382334932,2.36199095,0.871058164,1.609165288,0.489222488,2.099074467,1.568571424
2.319557482,0.1618713,1.422783222,2.421996454,2.638646115,0.427649899,2.389140271,1.081114226,1.62037061,0.60334643,2.115858485,1.967605246
2.335006793,0.186285867,1.428321555,2.777656833,2.663171665,0.508782117,2.409502262,1.250700771,1.633135793,0.735770129,2.127494904,2.298235694
2.353766671,0.211042375,1.431983917,3.049187855,2.671956936,0.533164309,2.440045249,1.466538192,1.64020913,0.839080577,2.131355603,2.567225992
2.376204956,0.247561644,1.434571613,3.356742504,2.677081678,0.568887056,2.450226244,1.582165382,1.64829473,0.9479271,2.143452461,2.874478619
2.389815063,0.278746637,1.446147902,4.03961715,2.686306213,0.595083738,2.4739819,1.817274001,1.655951642,1.068104814,2.150604778,3.150232143
2.402321648,0.307059329,1.450324047,4.585303028,2.695530748,0.651181681,2.494343891,1.973370708,1.668185813,1.245627119,2.159816135,3.493821975
2.411885507,0.334141034,1.457860873,5.181032879,2.702705387,0.678701427,2.507918552,2.069726699,1.675957042,1.386409686,2.166047575,3.792485942
2.425127774,0.357283582,1.466849467,5.65217609,2.706365917,0.713290119,2.518099548,2.123686055,1.68430445,1.521541314,2.174504345,4.110745636
2.440577085,0.383397594,1.470799351,6.159030557,2.7103925,0.754116116,2.531150032,2.160687436,1.696993589,1.687370389,2.187495904,4.419281542
2.459888724,0.406110057,1.478637858,6.536544658,2.713979819,0.788251185,2.541855204,2.196916608,1.705738807,1.870234874,2.191839892,4.575347975
2.471475707,0.432705446,1.483737829,7.0296997,2.720641983,0.818946287,2.554333588,2.235288915,1.718599421,2.068157445,2.201972125,4.835532538
2.473535615,0.459537534,1.490063307,7.396862041,2.725766725,0.851581883,2.56561086,2.260511563,1.727305067,2.212176641,2.208317957,4.966012494
2.490143624,0.488356298,1.495026596,7.718627893,2.734735023,0.906268558,2.574426002,2.291561494,1.735242569,2.306258398,2.214949766,5.138184007
2.492074788,0.511621945,1.500414089,8.068345121,2.74114095,0.938022111,2.578972855,2.313280288,1.746892772,2.49280688,2.219582605,5.247042836
2.502374329,0.535366308,1.509690205,8.386527794,2.753952805,1.006821475,2.589366516,2.331814996,1.758651048,2.683314485,2.227764442,5.428673592
2.515616595,0.561326447,1.520116407,8.735107466,2.766764659,1.062390193,2.609246265,2.321592587,1.764383009,2.814916903,2.23473655,5.5433143
2.525548295,0.586333712,1.527804074,8.978581371,2.784188781,1.129337268,2.621962561,2.304387496,1.775984042,2.92002165,2.236343773,5.634415494
2.535479995,0.612617555,1.534450717,9.166525554,2.794438265,1.176173758,2.633484163,2.274001402,1.785474615,3.033166038,2.241787122,5.700325733
2.548722262,0.638194721,1.541861452,9.244013492,2.800075481,1.220023903,2.667420814,2.200770848,1.800907352,3.146291811,2.247510824,5.836920178
2.562454983,0.664683729,1.556419566,9.218594589,2.802637852,1.246516699,2.711538462,2.077435179,1.812598819,3.195393639,2.252299606,5.940553746
2.582195769,0.695162045,1.568603841,9.086093401,2.810324964,1.321710877,2.772624434,1.880868956,1.821424879,3.253031089,2.256182292,6.032522795
2.59592849,0.723406348,1.579227696,8.952928298,2.810324964,1.293926518,2.826923077,1.730553609,1.826905379,3.301623751,2.261274575,6.120862245
2.597130103,0.749831527,1.590793005,8.302576158,2.818012077,1.354346473,2.874434389,1.595655221,1.836842105,3.327205882,2.273324573,6.050488599
2.609783824,0.778390416,1.602696405,7.849934361,2.823136819,1.393817903,2.945701357,1.478100911,1.857151105,3.33847432,2.283837057,5.964983713
2.619347683,0.807797318,1.616422028,7.39344137,2.82826156,1.423917625,3.050904977,1.341275403,1.881578947,3.327205882,2.301435249,5.897022838
2.626827112,0.841649449,1.621845352,6.939459005,2.833386302,1.468041833,3.135746606,1.244919411,1.893384862,3.310835344,2.318002628,5.826547231
2.638475402,0.869346647,1.632099042,6.504197562,2.836680779,1.513744269,3.257918552,1.125437982,1.900765174,3.267225481,2.331143233,5.769543974
2.647426193,0.898138055,1.644099534,5.916243596,2.848760528,1.549278007,3.339366516,1.044498949,1.913438725,3.219349685,2.342821758,5.699960601
2.65760312,0.926108806,1.651938041,5.677356828,2.857586472,1.58573579,3.437782805,0.959705676,1.927000827,3.167562109,2.350345846,5.469797972
2.669226887,0.963052082,1.655463722,5.372166793,2.860547434,1.631837245,3.529411765,0.901892081,1.939920898,3.075976379,2.368845731,5.152539017
2.674891635,0.992445306,1.665469478,5.005353722,2.869259495,1.671440982,3.582260686,0.869057905,1.960867111,2.922092056,2.385146461,4.903035265
2.687766061,1.016381156,1.672715026,4.552541414,2.882071349,1.701430448,3.646659451,0.826904498,1.985302278,2.760333291,2.405276418,4.560793589
2.692915831,1.041593585,1.685578083,4.021725264,2.90487645,1.747010028,3.689755704,0.801897864,2.00725106,2.610630184,2.418129526,4.178449027
2.704359765,1.077763314,1.704360332,3.370783196,2.941437907,1.758708125,3.7307253,0.784385397,2.029826285,2.41568786,2.43535643,3.863436299
2.725653657,1.110414854,1.717816349,2.887549389,2.956380105,1.810803798,3.814479638,0.740014015,2.055092545,2.258875575,2.449274163,3.5847858
2.74338358,1.140656091,1.739995111,2.185953576,2.986704804,1.755251319,3.849219028,0.723778924,2.076183952,2.090673077,2.46695046,3.292590449
2.7504216,1.167336585,1.754044087,1.821626877,3.033827268,1.747227461,3.883401293,0.721584763,2.100762015,1.940947789,2.484204299,2.932639197
