r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_Th-F,S_i_Be-F,S_i_Li-F,S_i_Th-F,Average_SCL,SCL_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.002984343162081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.005968686324162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0089530294862431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0119373726483241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0149217158104052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0179060589724862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0208904021345672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0238747452966483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0268590884587293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0298434316208104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0328277747828914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0358121179449724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0387964611070535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0417808042691345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0447651474312156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0477494905932966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0507338337553776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0537181769174587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0567025200795397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0596868632416208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0626712064037018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0656555495657828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0686398927278639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0716242358899449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.074608579052026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.077592922214107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.080577265376188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0835616085382691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0865459517003501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0895302948624312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0925146380245122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0954989811865932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.0984833243486743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1014676675107553,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1044520106728364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1074363538349174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1104206969969985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1134050401590795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1163893833211605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1193737264832416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1223580696453226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1253424128074036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1283267559694847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1313110991315657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1342954422936468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1372797854557278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1402641286178089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1432484717798899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.146232814941971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.149217158104052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.152201501266133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1551858444282141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1581701875902951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1611545307523761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1641388739144572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1671232170765382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1701075602386193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1730919034007003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1760762465627814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1790605897248624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1820449328869434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1850292760490245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1880136192111055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1909979623731865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1939823055352676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1969666486973486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.1999509918594297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2029353350215107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2059196781835917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2089040213456728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2118883645077538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2148727076698349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.2178570508319159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.220841393993997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
