Composition,Source,Temperature (K),Average SCL (A),Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 1 PMF at Peak (kJ/mol),Pair 1 Bond Strength (kJ/mol/A²),Pair 1 Reduced Mass (g/mol),Pair 1 Fundamental Frequency (rad/ps),Pair 1 b_PH,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 2 PMF at Peak (kJ/mol),Pair 2 Bond Strength (kJ/mol/A²),Pair 2 Reduced Mass (g/mol),Pair 2 Fundamental Frequency (rad/ps),Pair 2 b_PH,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 3 PMF at Peak (kJ/mol),Pair 3 Bond Strength (kJ/mol/A²),Pair 3 Reduced Mass (g/mol),Pair 3 Fundamental Frequency (rad/ps),Pair 3 b_PH,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 4 PMF at Peak (kJ/mol),Pair 4 Bond Strength (kJ/mol/A²),Pair 4 Reduced Mass (g/mol),Pair 4 Fundamental Frequency (rad/ps),Pair 4 b_PH,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 5 PMF at Peak (kJ/mol),Pair 5 Bond Strength (kJ/mol/A²),Pair 5 Reduced Mass (g/mol),Pair 5 Fundamental Frequency (rad/ps),Pair 5 b_PH,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y,Pair 6 PMF at Peak (kJ/mol),Pair 6 Bond Strength (kJ/mol/A²),Pair 6 Reduced Mass (g/mol),Pair 6 Fundamental Frequency (rad/ps),Pair 6 b_PH
1.0LiF,"Walz, 2019",1121,3.43493,Li-F,3.43493,1.87565,1.24124,2.79035,0.15585,2.80577,0.55566,-12.25391,33.97919,5.08315,25.85472,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaF,"Walz, 2019",1266,3.9007,Na-F,3.9007,2.16571,1.31205,3.40781,0.15615,3.27405,0.52188,-14.42292,42.11716,10.40219,20.12181,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KF,"Walz, 2019",1131,4.36137,K-F,4.36137,2.48153,1.31757,3.91232,0.15978,3.77818,0.55944,-12.92438,29.04816,12.78567,15.07293,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiCl,"Walz, 2019",878,4.26876,Li-Cl,4.26876,2.37101,1.32677,3.67506,0.14962,3.64717,0.50848,-10.08404,24.50608,5.8038,20.54853,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaCl,"Lu, 2021",1200,4.52002,Na-Cl,4.52002,2.6622,1.26349,4.19256,0.15891,4.11285,0.53377,-13.29471,22.28788,13.94577,12.64192,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walz, 2019",1043,4.96118,K-Cl,4.96118,2.93357,1.38697,4.59394,0.15377,4.4897,0.47218,-12.36395,22.56185,18.59244,11.01588,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Roy, 2021",1073,4.53833,Mg-Cl,4.53833,2.43757,1.71525,3.43774,0.10237,4.13184,0.23898,-15.99007,294.97357,14.41908,45.2296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0CaCl2,"Bu, 2021",1100,4.75167,Ca-Cl,4.75167,2.70371,1.31894,3.95616,0.12393,4.53766,0.26751,-13.98951,37.06172,18.8111,14.0364,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0SrCl2,"McGreevy, 1987",1198,4.58459,Sr-Cl,4.58459,2.90019,0.91166,3.88504,0.14444,5.73926,0.16784,-11.55714,18.27588,25.23872,8.50953,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",1473,2.30804,Li-F,2.34998,1.81931,0.88914,2.93737,0.09569,0,0,-17.25091,65.52523,5.08315,35.90357,0.39034,Na-F,2.24514,2.19106,0.39081,3.37671,0.08474,0,0,-12.14897,46.58765,10.40219,21.16279,0.5855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiF-0.5BeF2,"Sun, 2024",900,1.96303,Be-F,1.87019,1.53366,1.66556,2.25102,0,2.94859,0.14211,-17.22533,524.72187,6.11258,92.65143,0.5,Li-F,2.05586,1.86018,0.52753,2.78532,0.09182,3.21574,0.09273,-8.62204,26.33035,5.08315,22.75945,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Fayfar, 2024",973,2.09071,Be-F,1.6236,1.54691,1.30236,2.32285,0.0012,2.95953,0.03108,-19.53051,923.81379,6.11258,122.93619,0.66,Li-F,2.33134,1.84038,0.75482,2.69093,0.12812,4.29753,0.12649,-9.75176,45.72161,5.08315,29.99122,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,"Jiang, 2016",727,2.69271,K-Cl,2.9913,2.91568,0.53635,4.51536,0.10815,0,0,-6.53898,14.17783,18.59244,8.73246,0.5,Li-Cl,2.39412,2.16312,0.9842,3.46729,0.06213,0,0,-10.20828,124.20283,5.8038,46.26042,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637LiCl-0.363KCl,"Jiang, 2016",750,2.87169,K-Cl,2.94638,2.93915,0.35385,4.3012,0.07944,0,0,-6.19134,13.87694,18.59244,8.6393,0.637,Li-Cl,2.82912,2.20237,1.12722,3.38122,0.08628,0,0,-9.90964,121.03763,5.8038,45.66717,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Manga, 2014",1100,3.10884,K-Cl,3.23053,2.96275,0.61096,4.57563,0.09819,4.67985,0.1451,-11.08502,18.68856,18.59244,10.02582,0.38095,Na-Cl,2.98715,2.57565,0.85239,4.14884,0.07525,4.18854,0.15762,-14.13081,23.18648,13.94577,12.89425,0.38095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7LiCl-0.3CaCl2,"Liang, 2024",1073,2.80417,Ca-Cl,2.6256,2.61724,0.56789,3.82444,0.02357,4.95248,0.05852,-15.21559,30.29636,18.8111,12.69077,0.68271,Li-Cl,2.8807,2.25607,0.85061,3.63149,0.1154,3.89371,0.2346,-11.26089,23.24424,5.8038,20.01251,0.29259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Wei, 2022",1023,2.85551,Ca-Cl,2.90907,2.67223,0.4782,3.92275,0.01598,4.70432,0.13917,-8.82043,35.67379,18.8111,13.77106,0.46593,Na-Cl,2.79983,2.68712,0.47761,4.13861,0.09189,4.27259,0.0862,-9.14005,12.75297,13.94577,9.56279,0.48437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.718KCl-0.282CaCl2,"Wei, 2022",1300,4.11759,Ca-Cl,2.5789,2.57547,0.75775,4.01863,0.01824,4.66249,0.04812,-22.20748,279.518,18.8111,38.54764,0.718,K-Cl,4.72192,4.7217,0.39311,6.86793,0.18524,4.63289,0.21626,-5.01235,3.74373,18.59244,4.48729,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.465LiF-0.115NaF-0.42KF,"Frandsen, 2020",873,2.33796,K-F,2.62983,2.62983,0.44742,3.89017,0.09304,3.85543,0.11659,-7.67648,43.36307,12.78567,18.41613,0.47919,Li-F,2.05789,1.85577,1.04755,2.80598,0.04435,2.99454,0.13665,-13.11257,255.62059,5.08315,70.91388,0.535,Na-F,2.40443,2.26017,0.17125,3.35676,0.02087,3.47584,0.01016,-10.10761,37.51594,10.40219,18.9909,0.51684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.345NaF-0.065MgF2-0.59KF,"Solano, 2021",1073,2.94184,K-F,3.19297,2.56096,0.66201,3.77029,0.11679,0,0,-10.07095,28.32857,12.78567,14.88506,0.24933,Mg-F,1.95036,1.95036,0.27009,3.03817,0.00331,3.4561,0.00572,-21.75103,439.63864,10.66328,64.20999,0.935,Na-F,2.69916,2.24676,0.56475,3.50353,0.05125,0,0,-13.4404,31.49363,10.40219,17.39999,0.38024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33NaCl-0.45MgCl2-0.22KCl,"Jiang, 2024",750,2.6361,K-Cl,3.05117,3.05106,0.21029,4.60621,0.0455,4.96168,0.01578,-6.39828,13.51197,18.59244,8.52493,0.75546,Mg-Cl,2.42483,2.2883,1.32878,3.57685,0.01282,3.68793,0.07916,-13.43187,405.31372,14.41908,53.01843,0.55,Na-Cl,2.64748,2.63635,0.40072,4.08042,0.06305,4.3174,0.039,-7.89067,22.69958,13.94577,12.75815,0.65364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Jiang, 2024",750,2.77891,K-Cl,3.13637,3.12538,0.40984,4.544,0.11184,4.92081,0.06462,-6.57537,86.6204,18.59244,21.5845,0.58885,Mg-Cl,2.41813,2.37174,1.29776,3.50959,0.03444,3.69431,0.04213,-14.23684,408.4174,14.41908,53.22103,0.62,Na-Cl,2.73386,2.73379,0.29142,4.10068,0.03932,4.30756,0.01727,-8.62117,19.36682,13.94577,11.78441,0.78775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.417NaCl-0.058KCl-0.525CaCl2,"Wei, 2022",1023,2.89586,Ca-Cl,2.98055,2.62386,1.02412,3.9507,0.04698,4.74829,0.14814,-15.03174,33.78192,18.8111,13.40093,0.41569,K-Cl,3.07856,3.07856,0.04719,4.36068,0.01299,4.42776,0.00136,-7.59376,9.65693,18.59244,7.20695,0.87766,Na-Cl,2.76381,2.66858,0.41874,3.98051,0.08334,4.16687,0.06841,-9.38376,14.34685,13.94577,10.14278,0.49957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535NaCl-0.315MgCl2-0.15CaCl2,"Wei, 2022",1023,2.56401,Ca-Cl,2.66524,2.62021,0.30433,3.8782,0.01377,4.898,0.01464,-15.20618,32.08242,18.8111,13.0595,0.60048,Mg-Cl,2.00674,1.98004,1.16212,2.81375,0.00174,3.95264,0.04529,-20.29217,428.51575,14.41908,54.51482,0.685,Na-Cl,2.86374,2.65743,0.50694,3.97497,0.11914,4.28017,0.10951,-8.73038,18.11142,13.94577,11.39607,0.39504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
