Salt Composition,PDF Source,Melting Temp (K),Min Measured Temp (K),KTM at Melt Temp (W/m-K),"KTM, Mix Data at Melt Temp (W/m-K)",PGM at Melt Temp (W/m-K),"PGM, Mix Data at Melt Temp (W/m-K)",SCM at Melt Temp (W/m-K),"SCM, Mix Data at Melt Temp (W/m-K)",KTM at Min Meas Temp (W/m-K),"KTM, Mix Data at Min Meas Temp (W/m-K)",PGM at Min Meas Temp (W/m-K),"PGM, Mix Data at Min Meas Temp (W/m-K)",SCM at Min Meas Temp (W/m-K),"SCM, Mix Data at Min Meas Temp (W/m-K)",TC Experimental (W/m-K),TC Experimental at Min Temp (W/m-K),Exp. Reference,TC MSTDB (W/m-K),MSTDB Reference,c_vol (J/m^3-K),c_vol' (J/m^3-K²),c_vol mix (J/m^3-K),c_vol' mix (J/m^3-K²),v_s (m/s),v_s' (m/s/K),v_s mix (m/s),v_s' mix (m/s/K)
LiF,"Walz, 2019",1121.2,1121.2,1.349841494,,0.80194503,,1.324874583,,1.349841494,,0.80194503,,1.324874583,,1.260675242,1.260675242,"LiF (Golyshev, 1992),LiF (Smirnov, 1987),LiF (Khlebnikov, 1981)",,,4476075.184,-1213.263426,,,2571.7112,-1.174,,
NaF,"Walz, 2019",1268,1276.210826,0.842268101,,0.53047696,,0.888905568,,0.840146122,,0.527103337,,0.883252482,,1.179152046,1.214436199,"NaF (Smirnov, 1987),NaF (Polyakov, 1975)",,,3257796.285,-1063.332381,,,2078.72,-0.96,,
KF,"Walz, 2019",1131.2,1130.597015,0.582682279,,0.364097191,,0.588123103,,0.582682279,,0.364097191,,0.588123103,,0.622771723,0.622008254,"KF (Smirnov, 1987)",,,2198743.689,-750.2168787,,,1833.136,-0.845,,
LiCl,"Walz, 2019",883,965.577342,0.686319474,,0.410384186,,0.680963095,,0.667633936,,0.386465374,,0.641273875,,0.655514261,0.621715384,"LiCl (Nagasaka, 1992)",,,2303686.483,-663.7886493,,,2079.483,-0.849,,
NaCl,"Lu, 2021",1073.8,1087.318087,0.486812881,,0.310170753,,0.498003805,,0.4840583,,0.306645102,,0.492343092,,0.491042596,0.486784838,"NaCl (Harada, 1992),NaCl (Nagasaka 1992)",,,1853848.979,-646.8466711,,,1773.623,-0.915,,
KCl,"Walz, 2019",1042.7,1052.163878,0.374235699,,0.261868348,,0.418822714,,0.372191917,,0.259267834,,0.414663547,,0.367498215,0.365931545,"KCl (Harada, 1992),KCl (Nagasaka, 1992)",,,1508405.084,-575.6594452,,,1632.6594,-0.878,,
MgCl2,"Roy, 2021",987,986.8621064,0.438292203,,0.288610578,,0.517917956,,0.438292203,,0.288610578,,0.517917956,,0.543906858,0.543661972,"MgCl2 (Filatov, 2005)",,,1628871.879,-278.432366,,,2101,6.39E-16,,
CaCl2,"Bu, 2021",1045,1070,0.448735993,,0.3731109,,0.631324887,,0.445755323,,0.371163926,,0.628030497,,0.971442614,1.175001686,"CaCl2 (Janz, 1978)",,,1928974.585,-390.790195,,,2065.03,-4.98E-15,,
SrCl2,"McGreevy, 1987",1146,,0.383511708,,0.335994082,,0.568752578,,,,,,,,,,,,,1799756.603,-381.3809722,,,1873.13,4.15E-15,,
0.6LiF-0.4NaF,"Grizzi, 2024",930,933.1,1.014056452,1.166301487,0.791122263,0.721033925,0.821663765,0.748869647,1.013257414,1.165210873,0.789642858,0.719876389,0.820127247,0.747667423,0.867137392,0.86544945,"0.6LiF-0.4NaF (Ruth, 2023)",,,4176953.778,-1150.547623,3924687.987,-1081.610762,2589.813964,-1.063237271,2512.09,-0.787
0.5LiF-0.5BeF2,"Sun, 2024",654,,0.985322438,1.04273593,0.702707167,0.732448298,0.733917831,0.764979911,,,,,,,,,,,,4146145.756,-384.7768871,4321625.771,-884.0477594,2704.538841,-0.283017794,2704.538841,-0.283017794
0.66LiF-0.34BeF2,"Fayfar, 2023",713.15,742,1.002661372,1.460407957,0.778696675,1.126257406,0.835655265,1.208638694,0.99913347,1.453353571,0.772516055,1.107962932,0.829022558,1.18900605,1.100035844,1.103485294,"0.66LiF-0.34BeF2 (Redkin, 2022),0.66LiF-0.34BeF2 (Kato, 1983),0.66LiF-0.34BeF2 (Bobrova, 2023)",,,4334227.338,-587.7057757,4976942.541,-1177.870136,2768.007911,-0.538406484,3486.468349,-1.101929884
