Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",784.15,0.27052898678453985
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",788.350505050505,0.269980053899086
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",792.5510101010101,0.2694309032537784
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",796.7515151515152,0.2688815351304495
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",800.9520202020202,0.2683319498179435
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",805.1525252525253,0.2677821476121766
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",809.3530303030303,0.2672321288161966
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",813.5535353535354,0.2666818937402431
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",817.7540404040403,0.2661314427018088
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",821.9545454545454,0.2655807760256996
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",826.1550505050504,0.2650298940440967
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",830.3555555555555,0.26447879709661765
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",834.5560606060606,0.2639274855303787
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",838.7565656565656,0.26337595970005684
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",842.9570707070707,0.26282421996795247
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",847.1575757575757,0.26227226670405246
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",851.3580808080808,0.26172010028609344
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",855.5585858585858,0.2611677210996251
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",859.7590909090909,0.2606151295380743
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",863.959595959596,0.26006232600280926
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",868.160101010101,0.2595093109032045
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",872.3606060606061,0.25895608465670517
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",876.5611111111111,0.2584026476888925
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",880.7616161616161,0.25784900043354936
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",884.9621212121212,0.25729514333272635
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",889.1626262626262,0.25674107683680747
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",893.3631313131312,0.25618680140457717
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",897.5636363636363,0.25563231750328663
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",901.7641414141414,0.2550776256087216
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",905.9646464646464,0.25452272620526917
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",910.1651515151515,0.25396761978598587
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",914.3656565656565,0.2534123068526659
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",918.5661616161616,0.25285678791590965
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",922.7666666666667,0.2523010634951917
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",926.9671717171717,0.2517451341189307
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",931.1676767676768,0.2511890003245583
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",935.3681818181818,0.25063266265858913
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",939.5686868686869,0.2500761216766903
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",943.7691919191918,0.24951937794375226
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",947.969696969697,0.24896243203395896
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",952.1702020202019,0.24840528453085922
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",956.3707070707071,0.2478479360274373
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",960.571212121212,0.2472903871261849
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",964.7717171717171,0.24673263843917315
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",968.9722222222222,0.2461746905881241
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",973.1727272727272,0.24561654420448378
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",977.3732323232323,0.24505819992949462
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",981.5737373737373,0.24449965841426824
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",985.7742424242424,0.24394092031985945
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",989.9747474747475,0.24338198631733923
"0.63NaCl-0.37UCl3, AIMD","Present Model, Mix Data",994.1752525252525,0.24282285708786863
