Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",784.15,0.26764032399139226
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",788.350505050505,0.2670918152358606
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",792.5510101010101,0.26654310319345187
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",796.7515151515152,0.26599418822517357
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",800.9520202020202,0.2654450706992328
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",805.1525252525253,0.2648957509910936
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",809.3530303030303,0.2643462294835355
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",813.5535353535354,0.2637965065667111
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",817.7540404040403,0.26324658263820516
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",821.9545454545454,0.262696458103093
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",826.1550505050504,0.26214613337399956
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",830.3555555555555,0.2615956088711593
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",834.5560606060606,0.26104488502247536
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",838.7565656565656,0.26049396226357946
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",842.9570707070707,0.2599428410378928
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",847.1575757575757,0.2593915217966856
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",851.3580808080808,0.25884000499913895
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",855.5585858585858,0.2582882911124051
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",859.7590909090909,0.25773638061166937
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",863.959595959596,0.2571842739802114
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",868.160101010101,0.25663197170946717
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",872.3606060606061,0.2560794742990919
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",876.5611111111111,0.25552678225702125
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",880.7616161616161,0.25497389609953536
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",884.9621212121212,0.25442081635132124
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",889.1626262626262,0.25386754354553637
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",893.3631313131312,0.2533140782238719
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",897.5636363636363,0.2527604209366172
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",901.7641414141414,0.2522065722427237
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",905.9646464646464,0.25165253270986887
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",910.1651515151515,0.2510983029145219
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",914.3656565656565,0.25054388344200773
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",918.5661616161616,0.2499892748865731
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",922.7666666666667,0.24943447785145142
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",926.9671717171717,0.2488794929489289
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",931.1676767676768,0.24832432080041042
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",935.3681818181818,0.24776896203648616
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",939.5686868686869,0.24721341729699775
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",943.7691919191918,0.2466576872311054
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",947.969696969697,0.24610177249735493
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",952.1702020202019,0.2455456737637451
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",956.3707070707071,0.24498939170779493
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",960.571212121212,0.2444329270166123
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",964.7717171717171,0.24387628038696121
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",968.9722222222222,0.24331945252533071
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",973.1727272727272,0.2427624441480032
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",977.3732323232323,0.2422052559811237
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",981.5737373737373,0.24164788876076818
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",985.7742424242424,0.24109034323301387
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",989.9747474747475,0.24053262015400786
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",994.1752525252525,0.23997472029003783
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",998.3757575757576,0.23941664441760144
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1002.5762626262626,0.23885839332347672
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1006.7767676767677,0.23829996780479298
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1010.9772727272727,0.23774136866910114
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1015.1777777777777,0.23718259673444483
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1019.3782828282829,0.23662365282943149
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1023.5787878787878,0.23606453779330408
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1027.779292929293,0.2355052524760122
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1031.979797979798,0.23494579773828456
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1036.180303030303,0.23438617445170049
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1040.380808080808,0.23382638349876242
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1044.581313131313,0.23326642577296836
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1048.7818181818182,0.2327063021788846
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1052.9823232323233,0.23214601363221835
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1057.1828282828283,0.2315855610598913
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1061.3833333333332,0.23102494540011226
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1065.5838383838384,0.230464167602451
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1069.7843434343436,0.2299032286279119
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1073.9848484848485,0.22934212944900767
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1078.1853535353534,0.22878087104983316
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1082.3858585858586,0.22821945442613997
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1086.5863636363636,0.22765788058541048
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1090.7868686868687,0.22709615054693238
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1094.9873737373737,0.2265342653418736
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1099.1878787878788,0.22597222601335673
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1103.3883838383838,0.2254100336165346
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1107.588888888889,0.22484768921866502
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1111.789393939394,0.22428519389918591
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1115.9898989898988,0.22372254874979144
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1120.190404040404,0.22315975487450698
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1124.3909090909092,0.2225968133897651
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1128.5914141414141,0.22203372542448166
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1132.791919191919,0.22147049212013112
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1136.9924242424242,0.22090711463082338
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1141.1929292929292,0.22034359412337964
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1145.3934343434344,0.21977993177740898
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1149.5939393939393,0.21921612878538457
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1153.7944444444445,0.21865218635272016
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1157.9949494949494,0.21808810569784726
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1162.1954545454546,0.21752388805229136
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1166.3959595959595,0.21695953466074913
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1170.5964646464645,0.21639504678116525
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1174.7969696969697,0.21583042568480912
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1178.9974747474748,0.21526567265635257
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1183.1979797979798,0.21470078899394662
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1187.3984848484847,0.21413577600929873
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1191.5989898989899,0.2135706350277499
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1195.799494949495,0.21300536738835266
"0.64NaCl-0.36UCl3, CMD","Present Model, Mix Data",1200.0,0.21243997444394774
