Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",900.0,0.5523735747705208
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",903.030303030303,0.5517575337049475
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",906.060606060606,0.5511408530679779
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",909.0909090909091,0.5505235324725022
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",912.1212121212121,0.5499055715384514
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",915.1515151515151,0.5492869698928509
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",918.1818181818181,0.5486677271698738
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",921.2121212121212,0.5480478430108973
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",924.2424242424242,0.547427317064554
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",927.2727272727273,0.5468061489867891
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",930.3030303030303,0.546184338440914
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",933.3333333333334,0.5455618850976609
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",936.3636363636364,0.544938788635238
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",939.3939393939394,0.5443150487393846
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",942.4242424242424,0.5436906651034265
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",945.4545454545455,0.5430656374283305
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",948.4848484848485,0.5424399654227609
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",951.5151515151515,0.5418136488031343
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",954.5454545454545,0.5411866872936762
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",957.5757575757576,0.5405590806264755
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",960.6060606060606,0.5399308285415415
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",963.6363636363636,0.5393019307868597
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",966.6666666666666,0.538672387118448
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",969.6969696969697,0.5380421973004125
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",972.7272727272727,0.537411361105005
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",975.7575757575758,0.5367798783126783
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",978.7878787878788,0.5361477487121434
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",981.8181818181818,0.5355149721004269
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",984.8484848484849,0.534881548282926
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",987.8787878787879,0.5342474770734674
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",990.9090909090909,0.5336127582943636
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",993.939393939394,0.5329773917764692
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",996.969696969697,0.5323413773592396
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1000.0,0.5317047148907869
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1003.030303030303,0.531067404227939
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1006.060606060606,0.5304294452362948
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1009.0909090909091,0.5297908377902841
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1012.1212121212121,0.5291515817732242
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1015.1515151515151,0.528511677077377
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1018.1818181818182,0.527871123604008
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1021.2121212121212,0.5272299212634435
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1024.2424242424242,0.5265880699751291
0.78NaF-0.22UF4 900K,"Present Model, Mix Data",1027.2727272727273,0.5259455696676872
